nus_code,name,level,education_level,field,n_styrk_linked,n_styrk_with_exposure,mean_exposure
754905,"Master, computational science, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
754999,"Informasjons- og datateknologi, andre, uspesifiserte, høyere nivå",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
755111,"Master, teknologi, teknisk kybernetikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
755112,"Master, teknologi, teknisk kybernetikk, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
759917,"Master, teknologi, ingeniørvitenskap og IKT, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.939398
516411,"Fagskoleutdanning, 3D og animasjon, toårig",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516414,"Fagskoleutdanning, 3D design og animasjon, ettårig. UTGÅTT KODE",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516420,"Fagskoleutdanning, 3D design, ettårig",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516421,"Fagskoleutdanning, 3D spilldesign, toårig",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516422,"Fagskoleutdanning, 3D design, halvårig",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516427,"Fagskoleutdanning, 3D Art and Games Technology – Content Creation, ettårig",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516428,"Fagskoleutdanning, 3D Art and Games Technology – Interactive 3D, ettårig",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516429,"Fagskoleutdanning, 3D Art and Games Technology, ettårig",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516431,"Fagskoleutdanning, 3D Art and Games Technology – Content Creation",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
516432,"Fagskoleutdanning, 3D Art and Games Technology - Interactive 3D, toårig",5,Påbygging til videregående utdanning,Humanistiske og estetiske fag,3,3,0.931296
554141,"Fagskoleutdanning, spillutvikling, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.931296
754111,"Master of Science, informatikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",1,1,0.924342
754134,"Master, informatikk: programmering og systemarkitektur, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",1,1,0.924342
755105,"Master, elektronikk, informatikk og teknologi, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",1,1,0.924342
7539,"Matematikk og statistikk, andre",4,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753901,"Cand.real.-utdanning, matematiske fag. UTGÅTT KODE",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753902,"Cand.scient.-utdanning, matematiske fag. UTGÅTT KODE",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753903,"Mag.scient.-utdanning, matematiske fag. UTGÅTT KODE",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753904,"Master of Philosophy, system dynamics, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753905,"Master, modellering og dataanalyse, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753906,"Master, matematikk og statistikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753907,"Master, systemdynamikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753908,"Master, matematiske fag, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753909,"Master, aktuarfag, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753910,"Master, stokastisk modellering, statistikk og risikoanalyse, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
753999,"Matematikk og statistikk, andre, uspesifiserte, høyere nivå",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.886795
754115,"Master, informatikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.871494
711726,"Master, datalingvistikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå",Humanistiske og estetiske fag,4,4,0.87133
654,Informasjons- og datateknologi,3,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
6541,Informasjons- og datateknologi,4,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654102,"Drift av datasystemer, lavere nivå",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654103,"Høgskolekandidat, data og multimediateknikk, toårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654105,"Høgskolekandidat, industriell informasjonsteknologi, toårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654106,"Høgskolekandidat, informasjonsbehandling, toårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654112,"Høgskolekandidat, IT-administrasjon, treårig. UTGÅTT KODE",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654113,"Informatikk og multimedia, lavere nivå",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654117,"Diplomøkonom, informasjonsteknologi. UTGÅTT KODE",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654118,"Videreutdanning, informatikk",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654119,"Høgskolekandidat, informatikk og matematikk, toårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654125,"Høgskolekandidat, ingeniørfag, data, toårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654126,"Bachelor, IT-støttet bedriftsutvikling, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654127,"Bachelor, portaldesign, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654128,"Bachelor, anvendt datateknologi, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654130,"Bachelor, IT og logistikk, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654131,"Videreutdanning, informasjons- og datateknologi",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654135,"Bachelor, kunstig intelligens, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654136,"Digitalisering, utdannings- og endringsledelse i skoleutvikling",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
6542,Informasjonsmodellering,4,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654299,"Informasjonsmodellering, uspesifisert, lavere nivå",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
6549,"Informasjons- og datateknologi, andre",4,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654901,"Bachelor, informatikk, språk og kultur, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654999,"Informasjons- og datateknologi, andre, uspesifiserte, lavere nivå",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754,Informasjons- og datateknologi,3,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
7541,Informasjons- og datateknologi,4,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754103,"Mag.scient.-utdanning, databehandling. UTGÅTT KODE",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754104,"Master of Philosophy, informatics, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754112,"Master, teknologi, informasjons- og kommunikasjonsteknologi, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754113,"Master, bioinformatikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754114,"Master of Science, IT management, 1½-årig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754116,"Master, informatikk, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754117,"Master, teknologi, informatikk, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754119,"Master, teknologi, datateknikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754121,"Master, informasjons- og kommunikasjonsteknologi, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754123,"Master, informatikk, 1½-årig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754124,"Master, teknologi, medieteknikk, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754125,"Master, teknologi, medieteknikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754126,"Master, informasjonssystemer, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754127,"Master, advanced computing technologies and systems – IMPACTS, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754128,"Master of Science, information systems, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754129,"Master, helseinformatikk, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754130,"Master, IT og ledelse, 1½-årig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754131,"Master, universell utforming av IKT, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754135,"Master, informatikk: robotikk og intelligente systemer, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754136,"Master, informatikk: språkteknologi, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754137,"Master, informatikk: digital økonomi og ledelse, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754139,"Master, teknologi, anvendt robotikk, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754140,"Master, helseinformatikk, 1½-årig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754141,"Sivilingeniørutdanning, informasjonsteknologi og økonomi",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754142,"Master, digitalisering i helsesektoren, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754143,"Videreutdanning, IT-arkitektur",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754144,"Master, kunstig intelligens, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754145,"Master, teknologi/sivilingeniør, 5 årig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754146,"Sivilingeniørutdanning, data science, femårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754199,"Informasjons- og datateknologi, uspesifisert, høyere nivå",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
7542,Informasjonsmodellering,4,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754201,"Master, computational engineering, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
754299,"Informasjonsmodellering, uspesifisert, høyere nivå",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",5,5,0.854852
654121,"Bachelor, informatikk, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.853877
654122,"Bachelor, ingeniørfag, data, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",3,3,0.853877
5541,Informasjons- og datateknologi,4,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554101,"Teknisk fagskole, linje for EDB. UTGÅTT KODE",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554102,"Fagskoleutdanning, datateknikk – drift og sikkerhet , UTGÅTT KODE, SE NY",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554103,"Fagskoleutdanning, programmering, UTGÅTT KODE, SE NY",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554105,"Fagskoleutdanning, webutvikling, UTGÅTT KODE, SE NY",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554107,"Fagskoleutdanning, utvikling av apps, UTGÅTT KODE, SE NY",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554131,"Fagskoleutdanning, programmering, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554132,"Fagskoleutdanning, programmering, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554134,"Fagskoleutdanning, utvikler .NET, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554135,"Fagskoleutdanning, utvikling av apps, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554138,"Fagskoleutdanning, webutvikler, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554146,"Fagskoleutdanning, user interface design, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554147,"Fagskoleutdanning, python for finance, halvårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554150,"Fagskoleutdanning, digitale verktøy, 5 studiepoeng",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554152,"Fagskoleutdanning, data analyst 1, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554154,"Fagskoleutdanning, AR and VR Development 1, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554155,"Fagskoleutdanning, AR and VR Development 2, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554156,"Fagskoleutdanning, Secure Application Development and Deployment, halvårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554157,"Fagskoleutdanning, data analyst 2, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554159,"Fagskoleutdanning, MS 365 App Maker and Administrator",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554160,"Fagskoleutdanning, virtuelle verktøy, halvårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554161,"Fagskoleutdanning, kommunikasjon i frisør- og hudpleierfaget, 10 studiepoeng",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554162,"Fagskoleutdanning, kjemi for frisørfaget, 10 studiepoeng",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554163,"Fagskoleutdanning, ledelse, økonomi og markedsføring for frisører, 10 studiepoeng",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554165,"Fagskoleutdanning, cybersikkerhet, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554166,"Fagskoleutdanning, sceneteknisk produksjon",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554169,"Fagskoleutdanning, WebApp utvikling og design, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554170,"Fagskoleutdanning, data analyst 2, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554171,"Fagskoleutdanning, søkeroptimalisering og digital synlighet, halvårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554174,"Fagskoleutdanning, Service Design",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554175,"Fagskoleutdanning, QA Programvaretesting, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554176,"Fagskoleutdanning, Utvikling av single page applications for web frontend",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554177,"Fagskoleutdanning, søkeroptimalisering og digital synlighet",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554180,"Fagskoleutdanning, dataanalytiker",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554181,"Fagskoleutdanning, programvareutvikling, 1 år heltid, 2 år deltid.",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554182,"Fagskoleutdanning, UI-design, ettårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554183,"Fagskoleutdanning, fullstack-utvikling",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554184,"Fagskoleutdanning, DevOps Engineering",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554185,"Fagskoleutdanning, Cloud Security and Infrastructure",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554186,"Fagskoleutdanning, Applied Artificial Intelligence",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
554199,"Informasjons- og datateknologi, uspesifisert, påbygging til videregående utdanning",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",13,13,0.841384
654132,"Bachelor, applied data science, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",2,2,0.826663
754133,"Master, data science, toårig",5,"Universitets-/høgskoleutdanning, høyere nivå","Naturvitenskapelige fag, håndverksfag og tekniske fag",2,2,0.826663
554106,"Fagskoleutdanning, nettverk og IT-sikkerhet, UTGÅTT KODE, SE NY",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",6,6,0.824974
554121,"Fagskoleutdanning, nettverk og IT-sikkerhet, toårig",5,Påbygging til videregående utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",6,6,0.824974
454103,"IKT-tjenesteutviklerfaget, Vg3 (gammel ordning)",5,Videregående avsluttende utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",2,2,0.820237
454106,"IT-utviklerfaget, Vg3",5,Videregående avsluttende utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",2,2,0.820237
682904,"Bachelor, informasjonssikkerhet, treårig",5,"Universitets-/høgskoleutdanning, lavere nivå",Samferdsels- og sikkerhetsfag og andre servicefag,4,4,0.817833
454101,"IKT-servicefaget, Vg3",5,Videregående avsluttende utdanning,"Naturvitenskapelige fag, håndverksfag og tekniske fag",4,4,0.817222
