styrk08,eloundou_beta,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
2310,0.485747,73.05,4,35,0,0,
2320,0.381031,55.92,3,3,0,0,
2330,0.333333,49.62,3,1,0,0,
2341,0.329318,49.37,3,2,0,0,
2342,0.230075,36.02,2,2,0,0,
2351,0.4875,74.56,4,1,0,0,
2352,0.312962,47.36,3,5,0,0,
2353,0.405465,59.95,3,3,1,6,
2354,0.36,53.4,3,1,1,6,
2355,0.405992,61.21,4,2,1,6,
2356,0.552632,84.38,5,1,1,2,
2359,0.370729,54.91,3,2,1,3,
2411,0.568333,87.15,5,3,0,0,
2412,0.498718,77.33,4,2,1,2,
2413,0.517664,80.6,5,3,1,2,
2421,0.466311,69.52,4,2,0,0,
2422,0.56642,86.9,5,1,1,2,
2423,0.488693,75.06,4,4,1,2,
2424,0.552632,84.38,5,1,1,2,
2431,0.700863,94.21,5,2,1,2,
2432,0.590909,88.16,5,1,0,0,
2433,0.517675,80.86,5,2,1,9,
2434,0.515571,79.6,4,3,1,9,
2511,0.62602,91.18,5,2,0,0,
2512,0.872807,98.74,5,2,0,0,
2513,0.841346,98.49,5,1,1,2,
2514,0.95,99.5,5,1,0,0,
2519,0.764845,96.47,5,1,1,2,
2521,0.923365,99.24,5,1,0,0,
2522,0.72973,94.96,5,1,1,2,
2523,0.635223,91.69,5,1,0,0,
2529,0.70851,94.71,5,2,1,2,
2611,0.425,63.22,4,1,0,0,
2612,0.458333,67.76,4,2,0,0,
2619,0.5,78.09,4,1,0,0,
2621,0.5,78.09,4,2,0,0,
2622,0.535088,82.87,5,2,0,0,
2631,0.552632,84.38,5,1,0,0,
2632,0.492706,76.32,4,3,0,0,
2633,0.492036,76.07,4,3,1,2,
2634,0.441462,65.99,4,3,0,0,
2635,0.271629,42.82,3,8,0,0,
2636,0.386364,56.68,3,2,0,0,
2641,0.741399,95.47,5,3,1,2,
2642,0.648529,91.94,5,2,1,2,
2643,0.701628,94.46,5,2,1,2,
2651,0.34181,50.88,3,2,1,5,
2652,0.559345,85.89,5,2,0,0,
2653,0.146131,23.17,2,2,0,0,
2654,0.499121,77.58,4,3,0,0,
2655,0.1875,28.21,2,1,0,0,
2656,0.65,92.19,5,2,0,0,
2659,0.526316,81.36,5,1,1,3,
3112,0.425714,63.48,4,5,1,3,
3113,0.396508,58.69,3,2,1,4,
3114,0.40566,60.2,4,1,1,4,
3115,0.356357,52.64,3,4,1,4,
3116,0.334387,49.87,3,1,1,4,
3117,0.389754,57.18,3,2,1,4,
3118,0.509867,78.59,4,4,1,2,
3119,0.363616,54.16,3,10,1,4,
3121,0.416667,61.96,4,1,1,2,
3122,0.4,59.19,3,1,1,3,
3123,0.416667,61.96,4,1,1,2,
3131,0.312103,46.85,3,4,1,3,
3132,0.217399,32.75,2,4,1,3,
3133,0.151515,24.18,2,1,0,0,
3134,0.202026,30.98,2,4,1,2,
3135,0.104167,17.38,1,1,1,2,
3139,0.803571,97.73,5,1,1,2,
3141,0.436111,65.74,4,2,0,0,
3142,0.383433,56.17,3,1,0,0,
3143,0.326923,49.12,3,1,0,0,
3151,0.251255,38.79,2,2,1,17,
3152,0.297135,45.84,3,2,1,17,
3153,0.307181,46.35,3,3,1,17,
3154,0.335772,50.38,3,2,1,17,
3155,0.40566,60.2,4,1,1,4,
3211,0.314571,47.61,3,5,0,0,
3212,0.254297,39.55,2,2,0,0,
3213,0.426471,63.73,4,1,0,0,
3214,0.163865,26.45,2,4,0,0,
3230,0.358012,53.15,3,1,1,3,
3240,0.193078,28.72,2,2,1,2,
3251,0.227083,35.52,2,2,1,2,
3254,0.285714,44.33,3,1,0,0,
3256,0.343961,52.14,3,2,0,0,
3257,0.357678,52.9,3,4,1,17,
3258,0.18109,27.46,2,1,0,0,
3259,0.312237,47.1,3,10,1,3,
3311,0.571403,87.41,5,2,1,9,
3312,0.607955,89.92,5,2,0,0,
3313,0.802326,97.23,5,1,1,2,
3315,0.517083,80.1,5,3,0,0,
3321,0.561408,86.15,5,3,1,9,
3322,0.572343,87.66,5,4,1,9,
3323,0.489376,75.31,4,3,0,0,
3324,0.556703,85.64,5,3,1,9,
3331,0.513651,79.09,4,2,1,2,
3332,0.486486,73.3,4,1,0,0,
3333,0.393651,58.44,3,2,1,2,
3334,0.47943,70.78,4,4,1,9,
3339,0.54374,83.38,5,7,1,9,
3341,0.489583,75.57,4,1,0,0,
3342,0.695652,93.7,5,1,0,0,
3343,0.803491,97.48,5,2,0,0,
3351,0.402147,59.7,3,3,1,3,
3352,0.580645,87.91,5,1,0,0,
3353,0.603152,89.42,5,2,1,3,
3354,0.613152,90.43,5,2,1,3,
3355,0.363179,53.9,3,2,1,3,
3359,0.291667,45.34,3,1,1,3,
3411,0.412629,61.71,4,6,1,2,
3412,0.392857,57.68,3,1,0,0,
3421,0.0,0.0,1,1,0,0,
3422,0.324167,48.61,3,3,1,6,
3423,0.252751,39.29,2,4,1,10,
3431,0.385417,56.42,3,1,0,0,
3432,0.398727,58.94,3,3,0,0,
3433,0.354257,52.39,3,3,1,5,
3434,0.386508,56.93,3,2,1,2,
3511,0.735786,95.21,5,1,0,0,
3512,0.611111,90.18,5,1,0,0,
3513,0.634615,91.44,5,1,0,0,
3514,0.785538,96.73,5,2,1,2,
3521,0.393546,58.19,3,5,1,2,
3522,0.40566,60.2,4,1,1,4,
4110,0.595022,88.66,5,2,0,0,
4131,0.743243,95.72,5,1,0,0,
4132,0.892857,98.99,5,1,0,0,
4211,0.428241,64.23,4,2,1,2,
4212,0.337821,50.63,3,5,0,0,
4214,0.60783,89.67,5,2,0,0,
4221,0.518893,81.11,5,3,1,9,
4222,0.550758,83.88,5,2,1,3,
4223,0.761885,96.22,5,2,0,0,
4224,0.483333,72.29,4,2,0,0,
4225,0.74881,95.97,5,2,1,3,
4226,0.533333,82.62,5,1,1,3,
4227,0.672414,92.44,5,1,0,0,
4229,0.68,93.2,5,1,1,2,
4311,0.788068,96.98,5,2,1,2,
4312,0.68075,93.45,5,5,0,0,
4313,0.837838,98.24,5,1,0,0,
4321,0.324974,48.87,3,3,1,2,
4322,0.596154,89.17,5,1,0,0,
4323,0.673913,92.95,5,1,0,0,
4411,0.550895,84.13,5,2,1,2,
4412,0.234429,36.78,2,5,1,4,
4413,0.975,99.75,5,1,0,0,
4415,0.595588,88.92,5,2,0,0,
4416,0.62069,90.93,5,1,0,0,
5111,0.239841,38.29,2,3,1,17,
5112,0.276428,43.58,3,2,1,17,
5113,0.335487,50.13,3,3,1,10,
5120,0.193279,28.97,2,5,1,2,
5131,0.156652,24.94,2,2,1,2,
5132,0.194444,29.22,2,1,0,0,
5141,0.199314,30.48,2,3,1,10,
5142,0.200133,30.73,2,6,1,10,
5151,0.265306,42.07,3,1,0,0,
5152,0.153486,24.43,2,2,1,4,
5153,0.0,0.0,1,1,1,3,
5161,0.526316,81.36,5,1,1,3,
5163,0.126856,19.4,1,3,0,0,
5164,0.238907,37.78,2,4,1,10,
5165,0.36,53.4,3,1,1,6,
5169,0.221113,33.5,2,5,1,10,
5211,0.26087,41.06,3,1,1,4,
5212,0.19525,29.47,2,2,1,4,
5221,0.480769,71.28,4,1,1,7,
5222,0.486486,73.3,4,1,0,0,
5223,0.342481,51.13,3,2,0,0,
5230,0.235604,37.28,2,2,0,0,
5241,0.233333,36.52,2,1,0,0,
5242,0.128205,19.9,1,1,0,0,
5243,0.26087,41.06,3,1,1,4,
5244,0.805556,97.98,5,1,0,0,
5245,0.230535,36.27,2,2,1,17,
5246,0.064693,10.58,1,3,1,2,
5249,0.532258,82.37,5,1,0,0,
5311,0.24933,38.54,2,2,1,10,
5312,0.316667,47.86,3,1,0,0,
5321,0.113347,18.14,1,2,0,0,
5322,0.218792,33.0,2,3,1,10,
5329,0.216049,32.49,2,8,1,2,
5411,0.277723,44.08,3,2,1,3,
5413,0.271986,43.07,3,2,0,0,
5414,0.317232,48.36,3,4,1,2,
5419,0.309155,46.6,3,8,1,2,
6111,0.140351,21.66,2,2,1,13,
6112,0.140351,21.66,2,2,1,13,
6113,0.138507,21.16,2,3,1,6,
6114,0.140351,21.66,2,2,1,13,
6121,0.223684,33.75,2,2,1,13,
6122,0.223684,33.75,2,2,1,13,
6123,0.223684,33.75,2,2,1,13,
6129,0.223684,33.75,2,2,1,13,
6130,0.149123,23.68,2,3,1,13,
6210,0.150691,23.93,2,5,1,13,
6221,0.223684,33.75,2,2,1,13,
6222,0.162281,25.69,2,2,1,13,
6224,0.162281,25.69,2,2,1,13,
7112,0.019231,3.02,1,2,1,2,
7113,0.020833,3.27,1,2,1,2,
7114,0.013889,2.77,1,3,1,2,
7115,0.144444,22.92,2,1,0,0,
7119,0.10377,17.13,1,5,1,2,
7121,0.04,5.29,1,1,0,0,
7122,0.055357,8.82,1,4,0,0,
7123,0.03953,5.04,1,3,0,0,
7124,0.047727,7.56,1,2,0,0,
7125,0.083333,12.34,1,1,0,0,
7126,0.055515,9.07,1,2,0,0,
7127,0.25776,40.05,3,2,1,11,
7131,0.042085,6.55,1,2,0,0,
7132,0.043478,7.05,1,2,1,2,
7211,0.040698,5.54,1,2,1,2,
7212,0.078209,11.84,1,2,0,0,
7213,0.075509,11.34,1,3,1,2,
7214,0.040909,5.79,1,3,0,0,
7215,0.0,0.0,1,1,0,0,
7221,0.041667,6.05,1,1,1,3,
7222,0.252495,39.04,2,6,1,2,
7223,0.121247,18.64,1,11,1,3,
7224,0.034524,4.28,1,2,1,2,
7231,0.085073,13.35,1,10,1,11,
7232,0.272292,43.32,3,2,1,11,
7233,0.133854,20.65,2,9,1,11,
7234,0.256852,39.8,2,2,1,11,
7311,0.288322,44.84,3,4,1,11,
7312,0.214932,32.24,2,2,1,11,
7313,0.205357,31.74,2,1,0,0,
7314,0.164801,26.7,2,2,1,6,
7315,0.035565,4.53,1,3,1,6,
7316,0.068182,11.08,1,2,1,2,
7317,0.258621,40.55,3,1,1,5,
7318,0.058824,9.32,1,1,1,3,
7319,0.258621,40.55,3,1,1,5,
7321,0.541331,83.12,5,2,0,0,
7322,0.2875,44.58,3,1,0,0,
7323,0.089744,14.36,1,1,0,0,
7411,0.128171,19.65,1,2,1,2,
7412,0.199194,30.23,2,13,1,11,
7413,0.205128,31.49,2,2,1,11,
7421,0.295995,45.59,3,7,1,11,
7422,0.239334,38.04,2,7,1,11,
7511,0.049561,7.81,1,4,1,2,
7512,0.264706,41.81,3,1,0,0,
7513,0.129121,20.4,2,2,1,2,
7514,0.129032,20.15,2,1,1,2,
7515,0.195833,29.72,2,2,1,3,
7522,0.139119,21.41,2,4,0,0,
7531,0.090909,14.61,1,1,0,0,
7532,0.209821,31.99,2,3,1,2,
7534,0.191176,28.46,2,1,0,0,
7535,0.1,16.37,1,1,1,3,
7536,0.058824,9.32,1,1,1,3,
7541,0.066667,10.83,1,1,0,0,
7542,0.135417,20.91,2,1,0,0,
7543,0.416667,61.96,4,1,0,0,
7544,0.220034,33.25,2,3,1,2,
7549,0.146875,23.43,2,2,0,0,
8111,0.039345,4.79,1,6,1,2,
8112,0.106686,17.63,1,2,1,4,
8113,0.042173,6.8,1,6,1,2,
8114,0.095499,15.62,1,4,1,4,
8121,0.095588,15.87,1,5,1,3,
8122,0.084303,13.1,1,3,1,3,
8131,0.122004,18.89,1,3,1,6,
8132,0.38,55.67,3,1,0,0,
8141,0.086664,13.85,1,5,1,6,
8142,0.09411,15.37,1,12,1,3,
8143,0.032258,4.03,1,2,1,3,
8151,0.085714,13.6,1,1,0,0,
8152,0.15625,24.69,2,1,0,0,
8153,0.081395,12.09,1,1,0,0,
8154,0.157895,25.19,2,1,0,0,
8156,0.086957,14.11,1,1,0,0,
8157,0.05,8.06,1,1,0,0,
8160,0.093217,14.86,1,5,1,4,
8171,0.052632,8.31,1,2,1,3,
8172,0.058824,9.32,1,1,0,0,
8181,0.099028,16.12,1,6,1,6,
8182,0.162791,26.2,2,1,0,0,
8183,0.0,0.0,1,1,0,0,
8189,0.120585,18.39,1,4,1,3,
8211,0.060119,10.08,1,2,0,0,
8212,0.112039,17.88,1,5,1,2,
8219,0.235294,37.03,2,1,0,0,
8311,0.236651,37.53,2,6,1,17,
8312,0.25836,40.3,3,3,1,17,
8322,0.277177,43.83,3,5,1,17,
8331,0.316808,48.11,3,4,1,17,
8332,0.30474,46.1,3,2,1,17,
8341,0.09375,15.11,1,2,1,6,
8342,0.01087,2.27,1,5,1,2,
8343,0.20242,31.23,2,5,1,17,
8344,0.180942,27.2,2,2,1,17,
8350,0.021277,3.53,1,2,0,0,
9111,0.0,0.0,1,1,1,2,
9112,0.027778,3.78,1,3,1,3,
9122,0.083333,12.34,1,1,1,2,
9123,0.0,0.0,1,1,1,3,
9129,0.078125,11.59,1,1,0,0,
9211,0.142857,22.67,2,1,1,5,
9212,0.0625,10.33,1,1,1,5,
9213,0.102679,16.88,1,2,1,5,
9214,0.083624,12.85,1,2,1,5,
9215,0.043478,7.05,1,1,1,2,
9216,0.05318,8.56,1,2,1,5,
9311,0.0,0.0,1,1,0,0,
9312,0.008065,1.76,1,2,0,0,
9313,0.010627,2.02,1,7,0,0,
9321,0.1,16.37,1,1,0,0,
9329,0.187081,27.96,2,4,1,3,
9331,0.224617,35.01,2,2,1,4,
9333,0.178483,26.95,2,4,1,3,
9334,0.181818,27.71,2,1,1,2,
9412,0.012346,2.52,1,3,1,2,
9510,0.041667,6.05,1,1,1,4,
9611,0.263531,41.56,3,2,1,17,
9612,0.196429,29.97,2,1,1,2,
9621,0.229246,35.77,2,2,1,4,
9622,0.126755,19.14,1,3,0,0,
9623,0.379464,55.42,3,2,0,0,
9629,0.141575,22.42,2,5,1,2,
