styrk08,platform,date_start,usage_pct,automation_share,augmentation_share,directive_share,feedback_loop_share,task_iteration_share,validation_share,learning_share,n_classified,n_soc_matched,n_tasks_matched
1344,claude_ai,2024-12-01,0.019925,0.368421,0.631579,0.368421,0.0,0.502924,0.0,0.128655,,1,2
1345,claude_ai,2024-12-01,0.859253,0.367962,0.632038,0.352346,0.015616,0.431379,0.015233,0.185426,,3,30
1346,claude_ai,2024-12-01,0.263754,0.385848,0.614152,0.312696,0.073152,0.273258,0.074339,0.266555,,2,22
1349,claude_ai,2024-12-01,0.451606,0.353512,0.646488,0.288569,0.064943,0.219512,0.023803,0.403174,,1,41
1412,claude_ai,2024-12-01,0.009963,0.283951,0.716049,0.283951,0.0,0.506173,0.0,0.209877,,1,2
1420,claude_ai,2024-12-01,0.038618,0.436923,0.563077,0.344615,0.092308,0.304615,0.098462,0.16,,1,3
1431,claude_ai,2024-12-01,0.460644,0.412867,0.587133,0.380396,0.032471,0.109756,0.011901,0.465476,,2,43
1439,claude_ai,2024-12-01,0.451606,0.353512,0.646488,0.288569,0.064943,0.219512,0.023803,0.403174,,1,41
2111,claude_ai,2024-12-01,0.387208,0.447434,0.552566,0.305781,0.141653,0.169331,0.053723,0.329512,,2,13
2112,claude_ai,2024-12-01,0.12099,0.382828,0.617172,0.307071,0.075758,0.131313,0.0,0.485859,,1,10
2113,claude_ai,2024-12-01,0.461569,0.375586,0.624414,0.344536,0.031051,0.24309,0.045195,0.336129,,2,12
2114,claude_ai,2024-12-01,0.230168,0.282184,0.717816,0.26078,0.021404,0.229725,0.028054,0.460037,,2,11
2120,claude_ai,2024-12-01,2.334445,0.328551,0.671449,0.286073,0.042478,0.218584,0.050701,0.402165,,5,66
2131,claude_ai,2024-12-01,1.207022,0.191651,0.808349,0.164656,0.026995,0.121241,0.013747,0.673361,,9,86
2132,claude_ai,2024-12-01,0.196275,0.213943,0.786057,0.205469,0.008475,0.160398,0.033148,0.592512,,2,12
2133,claude_ai,2024-12-01,0.232428,0.362426,0.637574,0.357382,0.005045,0.31149,0.0,0.326084,,2,27
2141,claude_ai,2024-12-01,0.092334,0.302496,0.697504,0.248164,0.054332,0.140969,0.033774,0.522761,,1,9
2142,claude_ai,2024-12-01,0.048581,0.306818,0.693182,0.306818,0.0,0.337121,0.0,0.356061,,1,11
2143,claude_ai,2024-12-01,0.039953,0.142857,0.857143,0.142857,0.0,0.672269,0.0,0.184874,,1,14
2144,claude_ai,2024-12-01,0.193296,0.419638,0.580362,0.37634,0.043299,0.491631,0.0,0.088731,,4,23
2145,claude_ai,2024-12-01,0.021055,0.407692,0.592308,0.407692,0.0,0.161538,0.0,0.430769,,1,4
2146,claude_ai,2024-12-01,0.166797,0.204802,0.795198,0.19774,0.007062,0.180791,0.019774,0.594633,,2,7
2149,claude_ai,2024-12-01,0.951177,0.232715,0.767285,0.17293,0.059785,0.230044,0.021951,0.515291,,3,85
2151,claude_ai,2024-12-01,0.085658,0.278816,0.721184,0.222741,0.056075,0.288162,0.0,0.433022,,1,10
2152,claude_ai,2024-12-01,0.782257,0.391644,0.608356,0.296774,0.09487,0.236226,0.016539,0.355591,,2,18
2153,claude_ai,2024-12-01,0.126741,0.50207,0.49793,0.42029,0.081781,0.355072,0.0,0.142857,,1,13
2161,claude_ai,2024-12-01,0.07662,0.338435,0.661565,0.338435,0.0,0.530612,0.0,0.130952,,1,11
2162,claude_ai,2024-12-01,0.053716,0.396752,0.603248,0.396752,0.0,0.533643,0.0,0.069606,,1,6
2163,claude_ai,2024-12-01,0.065425,0.419619,0.580381,0.419619,0.0,0.44803,0.05665,0.0757,,2,10
2164,claude_ai,2024-12-01,0.04704,0.336538,0.663462,0.336538,0.0,0.483974,0.0,0.179487,,1,7
2165,claude_ai,2024-12-01,0.049916,0.564645,0.435355,0.564645,0.0,0.224,0.0,0.211355,,2,7
2166,claude_ai,2024-12-01,0.83902,0.505859,0.494141,0.451995,0.053864,0.432323,0.003663,0.058155,,2,16
2211,claude_ai,2024-12-01,0.517485,0.211135,0.788865,0.205503,0.005632,0.175446,0.004705,0.608714,,4,64
2212,claude_ai,2024-12-01,0.498809,0.222688,0.777312,0.215179,0.007509,0.107729,0.006273,0.66331,,3,53
2221,claude_ai,2024-12-01,0.513539,0.286295,0.713705,0.257832,0.028463,0.111885,0.020707,0.581114,,2,34
2222,claude_ai,2024-12-01,0.066452,0.357692,0.642308,0.357692,0.0,0.351923,0.0,0.290385,,1,10
2223,claude_ai,2024-12-01,0.513539,0.286295,0.713705,0.257832,0.028463,0.111885,0.020707,0.581114,,2,34
2224,claude_ai,2024-12-01,0.513539,0.286295,0.713705,0.257832,0.028463,0.111885,0.020707,0.581114,,2,34
2250,claude_ai,2024-12-01,0.032148,0.278746,0.721254,0.195122,0.083624,0.052265,0.0,0.66899,,1,2
2261,claude_ai,2024-12-01,0.039132,0.211604,0.788396,0.211604,0.0,0.139932,0.0,0.648464,,1,9
2262,claude_ai,2024-12-01,0.148207,0.096824,0.903176,0.096824,0.0,0.039504,0.0,0.863672,,1,7
2263,claude_ai,2024-12-01,0.046629,0.527711,0.472289,0.527711,0.0,0.433735,0.0,0.038554,,1,3
2264,claude_ai,2024-12-01,0.162792,0.211928,0.788072,0.181347,0.030581,0.153611,0.0,0.634461,,2,13
2265,claude_ai,2024-12-01,0.397685,0.239264,0.760736,0.204588,0.034676,0.184583,0.005868,0.570285,,1,6
2266,claude_ai,2024-12-01,0.023315,0.0,1.0,0.0,0.0,0.275,0.0,0.725,,2,9
2267,claude_ai,2024-12-01,0.052689,0.316354,0.683646,0.316354,0.0,0.335121,0.0,0.348525,,1,6
2269,claude_ai,2024-12-01,0.020028,0.142857,0.857143,0.142857,0.0,0.206349,0.0,0.650794,,1,4
2310,claude_ai,2024-12-01,3.557079,0.318979,0.681021,0.311466,0.007513,0.243516,0.077469,0.360036,,35,637
2320,claude_ai,2024-12-01,0.4658,0.378755,0.621245,0.368195,0.010561,0.281893,0.098405,0.240946,,3,37
2330,claude_ai,2024-12-01,0.053878,0.403724,0.596276,0.392578,0.011146,0.349917,0.023748,0.22261,,1,18
2341,claude_ai,2024-12-01,0.115107,0.417808,0.582192,0.40727,0.010538,0.3804,0.022452,0.17934,,2,33
2342,claude_ai,2024-12-01,0.052913,0.457309,0.542691,0.452498,0.004812,0.422884,0.01096,0.108847,,2,22
2351,claude_ai,2024-12-01,1.672391,0.394762,0.605238,0.383236,0.011526,0.479477,0.017929,0.107831,,1,29
2352,claude_ai,2024-12-01,0.204241,0.502575,0.497425,0.499988,0.002588,0.292933,0.005014,0.199478,,5,52
2353,claude_ai,2024-12-01,2.630422,0.371512,0.628488,0.365335,0.006177,0.281854,0.091517,0.255117,,3,43
2354,claude_ai,2024-12-01,0.229052,0.403978,0.596022,0.402489,0.001489,0.28032,0.054765,0.260936,,1,13
2355,claude_ai,2024-12-01,2.37092,0.369674,0.630326,0.360408,0.009265,0.289867,0.061171,0.279288,,2,24
2356,claude_ai,2024-12-01,0.026807,0.368715,0.631285,0.368715,0.0,0.541899,0.0,0.089385,,1,4
2359,claude_ai,2024-12-01,2.582982,0.315608,0.684392,0.300996,0.014612,0.411654,0.062878,0.20986,,2,25
2411,claude_ai,2024-12-01,0.44986,0.295263,0.704737,0.265116,0.030147,0.25821,0.021451,0.425076,,3,24
2412,claude_ai,2024-12-01,0.507068,0.287065,0.712935,0.257923,0.029142,0.194865,0.014633,0.503437,,2,21
2413,claude_ai,2024-12-01,0.28522,0.290853,0.709147,0.275921,0.014932,0.255904,0.035893,0.41735,,2,14
2421,claude_ai,2024-12-01,0.24542,0.408599,0.591401,0.387921,0.020678,0.513435,0.007797,0.070169,,2,32
2422,claude_ai,2024-12-01,0.636377,0.407373,0.592627,0.354869,0.052504,0.293241,0.015081,0.284305,,1,49
2423,claude_ai,2024-12-01,0.845577,0.415288,0.584712,0.405882,0.009406,0.401168,0.034747,0.148797,,4,43
2424,claude_ai,2024-12-01,0.026807,0.368715,0.631285,0.368715,0.0,0.541899,0.0,0.089385,,1,4
2431,claude_ai,2024-12-01,1.940458,0.422067,0.577933,0.403035,0.019032,0.407403,0.024606,0.145923,,2,28
2432,claude_ai,2024-12-01,0.399533,0.376703,0.623297,0.364681,0.012022,0.547956,0.049426,0.025915,,1,9
2433,claude_ai,2024-12-01,0.249683,0.118085,0.881915,0.118085,0.0,0.088032,0.007181,0.786702,,2,21
2434,claude_ai,2024-12-01,0.324146,0.171851,0.828149,0.161575,0.010276,0.20127,0.004787,0.622092,,3,31
2511,claude_ai,2024-12-01,2.757345,0.340132,0.659868,0.199444,0.140688,0.185165,0.062187,0.412516,,2,33
2512,claude_ai,2024-12-01,10.582155,0.573686,0.426314,0.270506,0.30318,0.223498,0.040565,0.162251,,2,23
2513,claude_ai,2024-12-01,4.496187,0.463902,0.536098,0.339804,0.124098,0.303208,0.018122,0.214768,,1,26
2514,claude_ai,2024-12-01,7.506501,0.538805,0.461195,0.268601,0.270204,0.234393,0.040388,0.186414,,1,11
2519,claude_ai,2024-12-01,7.131156,0.428732,0.571268,0.227956,0.200776,0.184773,0.042817,0.343679,,1,141
2521,claude_ai,2024-12-01,0.898077,0.505333,0.494667,0.194122,0.311211,0.144347,0.084025,0.266295,,1,11
2522,claude_ai,2024-12-01,3.003895,0.556657,0.443343,0.091395,0.465262,0.034667,0.024115,0.384561,,1,10
2523,claude_ai,2024-12-01,0.263651,0.297732,0.702268,0.212193,0.085539,0.260397,0.0,0.441871,,1,27
2529,claude_ai,2024-12-01,7.288812,0.370928,0.629072,0.230954,0.139974,0.199376,0.03496,0.394735,,2,149
2611,claude_ai,2024-12-01,0.115957,0.179842,0.820158,0.179842,0.0,0.143281,0.020751,0.656126,,1,6
2612,claude_ai,2024-12-01,0.232428,0.370115,0.629885,0.360681,0.009434,0.302224,0.02965,0.298012,,2,9
2619,claude_ai,2024-12-01,0.112054,0.306418,0.693582,0.306418,0.0,0.372671,0.045549,0.275362,,1,8
2621,claude_ai,2024-12-01,1.064155,0.441828,0.558172,0.416441,0.025387,0.340132,0.025721,0.192319,,2,15
2622,claude_ai,2024-12-01,0.669347,0.370665,0.629335,0.351134,0.019531,0.242839,0.008371,0.378125,,2,21
2631,claude_ai,2024-12-01,0.234276,0.241362,0.758638,0.229516,0.011846,0.301086,0.0,0.457552,,1,14
2632,claude_ai,2024-12-01,0.736004,0.307708,0.692292,0.288113,0.019595,0.249645,0.018788,0.42386,,3,33
2633,claude_ai,2024-12-01,0.875687,0.35594,0.64406,0.349925,0.006015,0.313655,0.015604,0.3148,,3,34
2634,claude_ai,2024-12-01,0.763735,0.158017,0.841983,0.14575,0.012267,0.279311,0.008912,0.553759,,3,39
2635,claude_ai,2024-12-01,0.672839,0.119973,0.880027,0.108737,0.011236,0.151604,0.006552,0.721871,,6,35
2636,claude_ai,2024-12-01,1.026872,0.275729,0.724271,0.269432,0.006296,0.200003,0.008064,0.516205,,2,17
2641,claude_ai,2024-12-01,3.841477,0.407039,0.592961,0.397997,0.009042,0.482998,0.039434,0.07053,,3,34
2642,claude_ai,2024-12-01,1.038478,0.405925,0.594075,0.396827,0.009098,0.437533,0.032341,0.124201,,2,16
2643,claude_ai,2024-12-01,0.950047,0.518858,0.481142,0.51613,0.002728,0.342964,0.037277,0.100901,,2,21
2651,claude_ai,2024-12-01,0.842512,0.537744,0.462256,0.523752,0.013992,0.399099,0.007343,0.055814,,2,21
2652,claude_ai,2024-12-01,0.244855,0.448007,0.551993,0.43998,0.008027,0.399391,0.03612,0.116482,,2,21
2653,claude_ai,2024-12-01,0.084529,0.586253,0.413747,0.566038,0.020216,0.351752,0.0,0.061995,,1,4
2654,claude_ai,2024-12-01,0.550719,0.551741,0.448259,0.528351,0.02339,0.336335,0.003139,0.108785,,3,38
2655,claude_ai,2024-12-01,1.042998,0.713629,0.286371,0.688723,0.024906,0.271085,0.002031,0.013255,,1,8
2656,claude_ai,2024-12-01,0.09254,0.660267,0.339733,0.660267,0.0,0.243242,0.0,0.096491,,3,10
3112,claude_ai,2024-12-01,0.286966,0.347212,0.652788,0.308641,0.038571,0.281519,0.028218,0.343052,,2,11
3113,claude_ai,2024-12-01,0.246601,0.49672,0.50328,0.404951,0.091769,0.178819,0.014832,0.309629,,2,22
3114,claude_ai,2024-12-01,0.206135,0.49344,0.50656,0.39247,0.10097,0.142042,0.029663,0.334855,,1,14
3115,claude_ai,2024-12-01,0.765995,0.422017,0.577983,0.335027,0.08699,0.165203,0.068282,0.344498,,3,60
3116,claude_ai,2024-12-01,0.687629,0.384695,0.615305,0.278327,0.106368,0.212216,0.048065,0.355023,,1,45
3117,claude_ai,2024-12-01,0.725014,0.504593,0.495407,0.451409,0.053184,0.167332,0.024033,0.304042,,2,52
3118,claude_ai,2024-12-01,0.546611,0.543015,0.456985,0.539176,0.003839,0.399067,0.003312,0.054606,,3,29
3119,claude_ai,2024-12-01,0.8686,0.347787,0.652213,0.323643,0.024144,0.238796,0.011733,0.401684,,7,73
3121,claude_ai,2024-12-01,0.027012,0.375,0.625,0.375,0.0,0.0,0.0,0.625,,1,5
3123,claude_ai,2024-12-01,0.027012,0.375,0.625,0.375,0.0,0.0,0.0,0.625,,1,5
3131,claude_ai,2024-12-01,0.027012,0.548531,0.451469,0.548531,0.0,0.451469,0.0,0.0,,2,7
3132,claude_ai,2024-12-01,0.03112,0.34375,0.65625,0.234375,0.109375,0.230469,0.0,0.425781,,1,5
3134,claude_ai,2024-12-01,0.049711,0.313859,0.686141,0.290761,0.023098,0.078804,0.0,0.607337,,2,5
3139,claude_ai,2024-12-01,0.847955,0.608091,0.391909,0.361043,0.247049,0.226021,0.053246,0.112641,,1,3
3141,claude_ai,2024-12-01,0.202745,0.411218,0.588782,0.294029,0.117189,0.177455,0.041431,0.369896,,2,14
3142,claude_ai,2024-12-01,0.169981,0.441761,0.558239,0.378551,0.06321,0.159091,0.051136,0.348011,,1,8
3143,claude_ai,2024-12-01,0.095621,0.423246,0.576754,0.152412,0.270833,0.241228,0.027412,0.308114,,1,2
3152,claude_ai,2024-12-01,0.012325,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1,7
3154,claude_ai,2024-12-01,0.008525,0.54,0.46,0.54,0.0,0.0,0.0,0.46,,1,7
3155,claude_ai,2024-12-01,0.206135,0.49344,0.50656,0.39247,0.10097,0.142042,0.029663,0.334855,,1,14
3211,claude_ai,2024-12-01,0.069739,0.259162,0.740838,0.259162,0.0,0.152189,0.034364,0.554284,,3,11
3212,claude_ai,2024-12-01,0.2124,0.433317,0.566683,0.339502,0.093815,0.170383,0.052268,0.344032,,2,16
3213,claude_ai,2024-12-01,0.017358,0.506849,0.493151,0.506849,0.0,0.0,0.0,0.493151,,1,3
3230,claude_ai,2024-12-01,0.066965,0.099426,0.900574,0.099426,0.0,0.072658,0.0,0.827916,,1,7
3240,claude_ai,2024-12-01,0.043754,0.170819,0.829181,0.170819,0.0,0.051601,0.0,0.77758,,2,5
3251,claude_ai,2024-12-01,0.009552,0.222222,0.777778,0.222222,0.0,0.344444,0.0,0.433333,,1,1
3256,claude_ai,2024-12-01,0.00493,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1,2
3257,claude_ai,2024-12-01,0.032764,0.38,0.62,0.38,0.0,0.42,0.0,0.2,,2,13
3259,claude_ai,2024-12-01,0.271046,0.299391,0.700609,0.247119,0.052271,0.184963,0.0,0.515646,,7,29
3311,claude_ai,2024-12-01,0.460747,0.169928,0.830072,0.153708,0.01622,0.122554,0.003733,0.703785,,2,28
3312,claude_ai,2024-12-01,0.622306,0.201065,0.798935,0.181716,0.019348,0.215055,0.008656,0.575224,,2,26
3313,claude_ai,2024-12-01,0.113287,0.542413,0.457587,0.498208,0.044205,0.195938,0.0,0.261649,,1,12
3315,claude_ai,2024-12-01,0.060187,0.375098,0.624902,0.375098,0.0,0.361334,0.0,0.263569,,3,10
3321,claude_ai,2024-12-01,0.070766,0.30046,0.69954,0.30046,0.0,0.204242,0.0,0.495298,,3,11
3322,claude_ai,2024-12-01,0.368926,0.174387,0.825613,0.160153,0.014234,0.096424,0.009752,0.719437,,3,33
3323,claude_ai,2024-12-01,0.051046,0.360685,0.639315,0.360685,0.0,0.507979,0.0,0.131336,,2,13
3324,claude_ai,2024-12-01,0.510971,0.221751,0.778249,0.210937,0.010814,0.161068,0.002489,0.614692,,3,39
3331,claude_ai,2024-12-01,0.056592,0.364453,0.635547,0.364453,0.0,0.417293,0.0,0.218254,,2,12
3332,claude_ai,2024-12-01,0.052689,0.389027,0.610973,0.389027,0.0,0.46384,0.0399,0.107232,,1,6
3333,claude_ai,2024-12-01,0.079496,0.453782,0.546218,0.453782,0.0,0.407563,0.0,0.138655,,1,16
3334,claude_ai,2024-12-01,0.26211,0.278846,0.721154,0.275238,0.003608,0.308299,0.0,0.412855,,4,34
3339,claude_ai,2024-12-01,1.390355,0.326482,0.673518,0.30726,0.019222,0.286647,0.006704,0.380167,,7,108
3341,claude_ai,2024-12-01,0.143175,0.535839,0.464161,0.535839,0.0,0.27535,0.020979,0.167832,,1,10
3342,claude_ai,2024-12-01,0.018077,0.752688,0.247312,0.752688,0.0,0.247312,0.0,0.0,,1,3
3343,claude_ai,2024-12-01,0.258618,0.647093,0.352907,0.647093,0.0,0.265213,0.064405,0.023289,,2,8
3351,claude_ai,2024-12-01,0.210756,0.384745,0.615255,0.362714,0.022031,0.21241,0.03563,0.367215,,2,25
3352,claude_ai,2024-12-01,0.030196,0.080972,0.919028,0.080972,0.0,0.064777,0.068826,0.785425,,1,3
3353,claude_ai,2024-12-01,0.200486,0.293545,0.706455,0.293545,0.0,0.23996,0.017431,0.449064,,2,27
3354,claude_ai,2024-12-01,0.264473,0.353574,0.646426,0.353574,0.0,0.253443,0.017431,0.375552,,2,37
3355,claude_ai,2024-12-01,0.125201,0.332056,0.667944,0.332056,0.0,0.11622,0.0,0.551724,,1,18
3359,claude_ai,2024-12-01,0.024239,0.28,0.72,0.28,0.0,0.32,0.0,0.4,,1,5
3411,claude_ai,2024-12-01,0.179533,0.511115,0.488885,0.511115,0.0,0.316461,0.0,0.172423,,4,13
3412,claude_ai,2024-12-01,0.011401,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1,4
3422,claude_ai,2024-12-01,0.248258,0.201989,0.798011,0.201245,0.000745,0.14016,0.027383,0.630468,,2,19
3423,claude_ai,2024-12-01,0.431078,0.241772,0.758228,0.230787,0.010985,0.220027,0.019588,0.518613,,4,31
3431,claude_ai,2024-12-01,0.070458,0.473968,0.526032,0.473968,0.0,0.32316,0.035907,0.166966,,1,7
3432,claude_ai,2024-12-01,0.107022,0.495057,0.504943,0.459263,0.035794,0.370579,0.008418,0.125946,,3,11
3433,claude_ai,2024-12-01,0.696975,0.49891,0.50109,0.483099,0.015811,0.293368,0.003648,0.204075,,3,25
3434,claude_ai,2024-12-01,0.022185,0.320755,0.679245,0.320755,0.0,0.320755,0.0,0.358491,,1,9
3511,claude_ai,2024-12-01,0.505117,0.424109,0.575891,0.144303,0.279806,0.065772,0.060933,0.449186,,1,6
3512,claude_ai,2024-12-01,0.122941,0.442884,0.557116,0.252809,0.190075,0.124532,0.015918,0.416667,,1,8
3513,claude_ai,2024-12-01,0.266321,0.347683,0.652317,0.173842,0.173842,0.123821,0.03444,0.494055,,1,10
3514,claude_ai,2024-12-01,7.500082,0.51028,0.48972,0.2156,0.29468,0.168937,0.021119,0.299664,,2,36
3521,claude_ai,2024-12-01,0.114725,0.656129,0.343871,0.656129,0.0,0.175649,0.0,0.168222,,5,17
3522,claude_ai,2024-12-01,0.206135,0.49344,0.50656,0.39247,0.10097,0.142042,0.029663,0.334855,,1,14
4110,claude_ai,2024-12-01,0.827722,0.673818,0.326182,0.58398,0.089838,0.031334,0.014891,0.279958,,2,13
4131,claude_ai,2024-12-01,0.389673,0.498901,0.501099,0.481044,0.017857,0.396429,0.060165,0.044505,,1,8
4132,claude_ai,2024-12-01,0.010476,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,3
4211,claude_ai,2024-12-01,0.011606,0.512195,0.487805,0.512195,0.0,0.0,0.0,0.487805,,1,3
4212,claude_ai,2024-12-01,0.011503,0.43662,0.56338,0.43662,0.0,0.56338,0.0,0.0,,1,3
4214,claude_ai,2024-12-01,0.153035,0.406333,0.593667,0.406333,0.0,0.44972,0.0,0.143947,,2,15
4221,claude_ai,2024-12-01,0.14718,0.274612,0.725388,0.268362,0.00625,0.171998,0.0,0.553391,,3,12
4222,claude_ai,2024-12-01,0.300934,0.421206,0.578794,0.402333,0.018873,0.268276,0.049895,0.260623,,2,21
4223,claude_ai,2024-12-01,0.271149,0.463386,0.536614,0.454862,0.008524,0.413793,0.102673,0.020147,,1,4
4224,claude_ai,2024-12-01,0.064295,0.454259,0.545741,0.410978,0.04328,0.278022,0.0,0.267719,,2,7
4225,claude_ai,2024-12-01,0.446163,0.48806,0.51194,0.473373,0.014687,0.294336,0.0692,0.148404,,2,15
4226,claude_ai,2024-12-01,0.158786,0.506339,0.493661,0.491424,0.014914,0.176734,0.084265,0.232662,,1,9
4227,claude_ai,2024-12-01,0.188058,0.586632,0.413368,0.537313,0.049319,0.170019,0.042829,0.200519,,1,6
4229,claude_ai,2024-12-01,0.051457,0.181586,0.818414,0.181586,0.0,0.143223,0.0,0.675192,,1,6
4311,claude_ai,2024-12-01,0.143175,0.508861,0.491139,0.486758,0.022103,0.221426,0.0,0.269713,,2,19
4312,claude_ai,2024-12-01,0.167003,0.492933,0.507067,0.492933,0.0,0.373887,0.009488,0.123693,,4,26
4313,claude_ai,2024-12-01,0.016741,0.292929,0.707071,0.292929,0.0,0.282828,0.0,0.424242,,1,3
4321,claude_ai,2024-12-01,0.040775,0.235952,0.764048,0.235952,0.0,0.29883,0.0,0.465217,,3,5
4322,claude_ai,2024-12-01,0.025266,0.630208,0.369792,0.536458,0.09375,0.203125,0.0,0.166667,,1,3
4323,claude_ai,2024-12-01,0.002979,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1,1
4411,claude_ai,2024-12-01,0.428086,0.445426,0.554574,0.422502,0.022925,0.201995,0.003097,0.349482,,2,17
4412,claude_ai,2024-12-01,0.01212,0.375,0.625,0.375,0.0,0.451923,0.0,0.173077,,1,2
4413,claude_ai,2024-12-01,0.033483,0.466667,0.533333,0.466667,0.0,0.357895,0.175439,0.0,,1,3
4415,claude_ai,2024-12-01,0.122428,0.376894,0.623106,0.348439,0.028455,0.153139,0.048672,0.421294,,2,6
4416,claude_ai,2024-12-01,0.071998,0.38861,0.61139,0.38861,0.0,0.417085,0.0,0.194305,,1,7
5111,claude_ai,2024-12-01,0.011811,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,2,8
5112,claude_ai,2024-12-01,0.006779,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1,7
5113,claude_ai,2024-12-01,0.28563,0.42719,0.57281,0.413039,0.014151,0.264444,0.007862,0.300505,,3,16
5120,claude_ai,2024-12-01,0.089356,0.713178,0.286822,0.659561,0.053618,0.132429,0.0,0.154393,,2,11
5131,claude_ai,2024-12-01,0.017666,0.272727,0.727273,0.272727,0.0,0.0,0.0,0.727273,,2,4
5132,claude_ai,2024-12-01,0.015714,0.402778,0.597222,0.402778,0.0,0.597222,0.0,0.0,,1,4
5141,claude_ai,2024-12-01,0.180047,0.387466,0.612534,0.36624,0.021226,0.335916,0.011792,0.264825,,2,15
5142,claude_ai,2024-12-01,0.22113,0.20154,0.79846,0.190927,0.010613,0.109315,0.005896,0.683249,,4,23
5151,claude_ai,2024-12-01,0.072512,0.344288,0.655712,0.312989,0.031299,0.366197,0.040689,0.248826,,1,5
5152,claude_ai,2024-12-01,0.072512,0.344288,0.655712,0.312989,0.031299,0.366197,0.040689,0.248826,,1,5
5163,claude_ai,2024-12-01,0.025472,0.195238,0.804762,0.195238,0.0,0.233333,0.0,0.571429,,2,6
5164,claude_ai,2024-12-01,0.21127,0.241237,0.758763,0.227087,0.014151,0.14525,0.007862,0.605651,,3,15
5165,claude_ai,2024-12-01,0.229052,0.403978,0.596022,0.402489,0.001489,0.28032,0.054765,0.260936,,1,13
5169,claude_ai,2024-12-01,0.480672,0.397389,0.602611,0.374204,0.023184,0.445878,0.016121,0.140612,,3,17
5211,claude_ai,2024-12-01,0.019309,0.165049,0.834951,0.165049,0.0,0.0,0.0,0.834951,,1,3
5212,claude_ai,2024-12-01,0.026088,0.355252,0.644748,0.355252,0.0,0.0,0.0,0.644748,,2,4
5221,claude_ai,2024-12-01,0.038618,0.436923,0.563077,0.344615,0.092308,0.304615,0.098462,0.16,,1,3
5222,claude_ai,2024-12-01,0.038721,0.306569,0.693431,0.20073,0.105839,0.291971,0.175182,0.226277,,1,5
5223,claude_ai,2024-12-01,0.153343,0.295214,0.704786,0.295214,0.0,0.146394,0.013043,0.545349,,2,7
5230,claude_ai,2024-12-01,0.254818,0.229853,0.770147,0.205326,0.024527,0.071479,0.035739,0.662929,,1,4
