task,task_no,source
"Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.","Kontrollere tall, posteringer og bilag for riktig føring, regnefeil og riktige koder.",manual 2026-09-07
Provide information or refer individuals to public or private agencies or community services for assistance.,Gi informasjon eller henvise personer til offentlige eller private etater eller hjelpetjenester.,manual 2026-09-07
"Operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents.","Bruke regnemaskiner, skrivemaskiner og kopimaskiner til å regne og lage dokumenter.",manual 2026-09-07
"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.","Bruke teoretisk ekspertise og nyskaping til å utvikle eller ta i bruk ny teknologi, for eksempel ved å bruke datamaskiner på nye områder.",manual 2026-09-07
"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.","Gjennomgå produksjonsplaner eller ordrer for å ta beslutninger om lagerbehov, bemanning, arbeidsrutiner og arbeidsfordeling innenfor budsjett og tidsfrister.",manual 2026-09-07
"Evaluate and grade examinations, assignments, or papers, and record grades.","Vurdere og karaktersette eksamener, innleveringer og oppgaver, og registrere karakterer.",manual 2026-09-07
"Examine shipment contents and compare with records, such as manifests, invoices, or orders, to verify accuracy.","Kontrollere innholdet i forsendelser mot dokumenter som fraktlister, fakturaer og ordrer for å sjekke at det stemmer.",manual 2026-09-07
"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.","Lede, veilede og vurdere arbeidet til medisinsk, pleiefaglig, teknisk, administrativt og annet personell.",manual 2026-09-07
Teach undergraduate-level courses.,Undervise på bachelornivå.,manual 2026-09-07
"Develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course Web sites.","Utvikle undervisningsmateriell som emneplaner, visuelle hjelpemidler, fasiter, tilleggsnotater og emnesider på nett.",manual 2026-09-07
Follow established safety rules and regulations and maintain a safe and clean environment.,Følge fastsatte sikkerhetsregler og holde arbeidsmiljøet trygt og rent.,manual 2026-09-07
"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.","Lede eller koordinere produksjon, bearbeiding, distribusjon eller markedsføring i industribedrifter.",manual 2026-09-07
Review operations and confer with technical or administrative staff to resolve production or processing problems.,Gjennomgå driften og rådføre seg med teknisk eller administrativt personale for å løse produksjonsproblemer.,manual 2026-09-07
Present drafts and ideas to clients.,Presentere utkast og ideer for kunder.,manual 2026-09-07
"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.","Sette opp arbeidsplaner og fordele oppgaver etter arbeidsmengde, plass og tilgjengelig utstyr.",manual 2026-09-07
"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.","Utvikle og vedlikeholde elektroniske arkivsystemer for å lagre og behandle data, for eksempel om personal, og lage rapporter.",manual 2026-09-07
Enforce safety rules and regulations.,Håndheve sikkerhetsregler og forskrifter.,manual 2026-09-07
"Modify, maintain, or repair electronics equipment or systems to ensure proper functioning.","Endre, vedlikeholde eller reparere elektronisk utstyr og systemer så de fungerer som de skal.",manual 2026-09-07
Document clients' progress toward meeting established treatment objectives.,Dokumentere klientenes fremgang mot fastsatte behandlingsmål.,manual 2026-09-07
"Interpret the results of all methods of non-destructive testing (NDT), such as acoustic emission, electromagnetic, leak, liquid penetrant, magnetic particle, neutron radiographic, radiographic, thermal or infrared, ultrasonic, vibration analysis, and visual testing.","Tolke resultater fra alle former for ikke-destruktiv testing (NDT), som akustisk emisjon, elektromagnetisk, lekkasje-, penetrant-, magnetpulver-, nøytron- og røntgenradiografisk, termisk, ultralyd-, vibrasjons- og visuell testing.",manual 2026-09-07
Provide staff with assistance in performing difficult or complicated duties.,Hjelpe ansatte med vanskelige eller kompliserte oppgaver.,manual 2026-09-07
"Discuss with the client the product, advertising themes and methods, and any changes that should be made in advertising copy.","Drøfte produktet, reklametemaer og metoder med kunden, og hvilke endringer som bør gjøres i reklameteksten.",manual 2026-09-07
Vary language and tone of messages based on product and medium.,Tilpasse språk og tone i budskap etter produkt og medium.,manual 2026-09-07
Adapt teaching methods and instructional materials to meet students' varying needs and interests.,Tilpasse undervisningsmetoder og læremidler til elevenes ulike behov og interesser.,manual 2026-09-07
"Feed and water animals, and clean and disinfect pens, cages, yards, and hutches.","Fôre og vanne dyr, og rengjøre og desinfisere binger, bur, luftegårder og hytter.",manual 2026-09-07
"Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge.","Måle og merke skjærelinjer på materialer med linjal, blyant, kritt og rissmål.",manual 2026-09-07
"Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.","Studere spesifikasjoner i tegninger, skisser eller byggeplaner for å planlegge arbeidet og fastslå mål og materialbehov.",manual 2026-09-07
"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.","Undervise elever enkeltvis og i grupper med ulike metoder som forelesning, diskusjon og demonstrasjon.",manual 2026-09-07
Participate in faculty and college committee activities.,Delta i fakultets- og høyskoleutvalg.,manual 2026-09-07
Manage the coordination and overall integration of technical activities in architecture or engineering projects.,Lede koordineringen og den samlede integreringen av tekniske aktiviteter i arkitekt- eller ingeniørprosjekter.,manual 2026-09-07
"Select animals to be bred, and semen specimens to be used, according to knowledge of animals, genealogies, traits, and desired offspring characteristics.","Velge ut avlsdyr og sædprøver ut fra kunnskap om dyr, avstamning, egenskaper og ønskede egenskaper hos avkommet.",manual 2026-09-07
"Observe animals in heat to detect approach of estrus and exercise animals to induce or hasten estrus, if necessary.","Observere dyr i brunst for å oppdage brunstperioden, og mosjonere dyrene for å fremkalle eller fremskynde brunst ved behov.",manual 2026-09-07
"Confer or correspond with establishment representatives to rectify problems, such as damages, shortages, or nonconformance to specifications.","Rådføre seg eller korrespondere med representanter for virksomheter for å rette opp problemer som skader, manko eller avvik fra spesifikasjoner.",manual 2026-09-07
"Record shipment data, such as weight, charges, space availability, damages, or discrepancies, for reporting, accounting, or recordkeeping purposes.","Registrere fraktdata som vekt, gebyrer, ledig plass, skader og avvik til rapportering, regnskap og arkiv.",manual 2026-09-07
Place food servings on plates or trays according to orders or instructions.,Legge porsjoner på tallerkener eller brett etter bestilling eller instruks.,manual 2026-09-07
"Interpret or evaluate test results in accordance with applicable codes, standards, specifications, or procedures.","Tolke eller vurdere testresultater etter gjeldende koder, standarder, spesifikasjoner eller prosedyrer.",manual 2026-09-07
"Design complex graphics and animation, using independent judgment, creativity, and computer equipment.","Utforme avansert grafikk og animasjon med eget skjønn, kreativitet og datautstyr.",manual 2026-09-07
"Set up and operate specialized or standard test equipment to diagnose, test, or analyze the performance of electronic components, assemblies, or systems.","Sette opp og bruke spesialisert eller standard testutstyr til å diagnostisere, teste eller analysere ytelsen til elektroniske komponenter, enheter eller systemer.",manual 2026-09-07
Record patients' medical information and vital signs.,Registrere pasientenes medisinske opplysninger og vitale tegn.,manual 2026-09-07
"Set up, maintain, calibrate, clean, and test sterility of medical laboratory equipment.","Sette opp, vedlikeholde, kalibrere, rengjøre og sterilitetsteste utstyr i medisinske laboratorier.",manual 2026-09-07
"Design or coordinate successive phases of problem analysis, solution proposals, or testing.","Utforme eller koordinere faser i problemanalyse, løsningsforslag eller testing.",manual 2026-09-07
"Review project activities and prepare and review research, testing, or operational reports.","Gjennomgå prosjektaktiviteter og utarbeide og gjennomgå forsknings-, test- eller driftsrapporter.",manual 2026-09-07
Resolve worker problems or collaborate with employees to assist in problem resolution.,Løse problemer for ansatte eller samarbeide med dem om løsninger.,manual 2026-09-07
"Interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.","Tolke transport- eller tariffregler, fraktordrer, sikkerhetsregler og virksomhetens retningslinjer for de ansatte.",manual 2026-09-07
"Inspect work progress, equipment, or construction sites to verify safety or to ensure that specifications are met.","Inspisere arbeidets fremdrift, utstyr eller byggeplasser for å kontrollere sikkerheten og at spesifikasjonene følges.",manual 2026-09-07
"Hire, train, and evaluate personnel.","Ansette, lære opp og vurdere personale.",manual 2026-09-07
Inspect food products and processing procedures to determine whether products are safe to eat.,Inspisere matvarer og produksjonsprosesser for å avgjøre om produktene er trygge å spise.,manual 2026-09-07
"Collect and record growth, production, and environmental data.","Samle inn og registrere data om vekst, produksjon og miljø.",manual 2026-09-07
"Replace defective components or parts, using hand tools and precision instruments.",Skifte ut defekte komponenter eller deler med håndverktøy og presisjonsinstrumenter.,manual 2026-09-07
"Teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills.","Lære barn grunnleggende ferdigheter som farger, former, tall og bokstaver, personlig hygiene og sosiale ferdigheter.",manual 2026-09-07
Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,Analysere brukerbehov og krav til programvare for å vurdere om utformingen lar seg gjennomføre innenfor tid og kostnad.,manual 2026-09-07
Prepare students for further development by encouraging them to explore learning opportunities and to persevere with challenging tasks.,Forberede elevene på videre utvikling ved å oppmuntre dem til å utforske læringsmuligheter og holde ut i krevende oppgaver.,manual 2026-09-07
Observe and listen to machinery operation to detect equipment malfunctions.,Observere og lytte til maskiner i drift for å oppdage feil på utstyret.,manual 2026-09-07
"Operate or tend equipment used in agricultural production, such as tractors, combines, and irrigation equipment.","Kjøre eller betjene utstyr i landbruksproduksjon, som traktorer, skurtreskere og vanningsanlegg.",manual 2026-09-07
"Drive pilings to provide support for buildings or other structures, using heavy equipment with a pile driver head.",Slå ned peler som fundament for bygninger eller andre konstruksjoner med tungt utstyr med pelehammer.,manual 2026-09-07
"Clean rooms, hallways, lobbies, lounges, restrooms, corridors, elevators, stairways, locker rooms, and other work areas so that health standards are met.","Rengjøre rom, korridorer, resepsjoner, oppholdsrom, toaletter, heiser, trapper, garderober og andre arbeidsområder slik at helsekravene oppfylles.",manual 2026-09-07
"Interview patients to obtain medical information and measure their vital signs, weight, and height.","Intervjue pasienter for å innhente medisinske opplysninger og måle vitale tegn, vekt og høyde.",manual 2026-09-07
Clean and sterilize instruments and dispose of contaminated supplies.,Rengjøre og sterilisere instrumenter og kaste kontaminert materiell.,manual 2026-09-07
"Prepare treatment rooms for patient examinations, keeping the rooms neat and clean.",Klargjøre behandlingsrom til pasientundersøkelser og holde rommene ryddige og rene.,manual 2026-09-07
Prepare reports on non-destructive testing results.,Skrive rapporter om resultater fra ikke-destruktiv testing.,manual 2026-09-07
"Create basic designs, drawings, and illustrations for product labels, cartons, direct mail, or television.","Lage enkle design, tegninger og illustrasjoner til produktetiketter, emballasje, direktereklame eller TV.",manual 2026-09-07
"Participate in design and production of multimedia campaigns, handling budgeting and scheduling, and assisting with such responsibilities as production coordination, background design, and progress tracking.","Delta i utforming og produksjon av multimediekampanjer, med budsjett og fremdriftsplan, og bistå med produksjonskoordinering, bakgrunnsdesign og fremdriftsoppfølging.",manual 2026-09-07
"Plan and prepare work schedules, and assign employees to specific duties.",Planlegge og utarbeide arbeidsplaner og fordele ansatte på bestemte oppgaver.,manual 2026-09-07
"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.","Lese manus eller korrektur for å finne og rette feil i staving, tegnsetting og setningsbygning.",manual 2026-09-07
"Verify facts, dates, and statistics, using standard reference sources.","Kontrollere fakta, datoer og statistikk mot standard oppslagsverk.",manual 2026-09-07
Identify and recruit potential volunteer workers.,Finne og rekruttere mulige frivillige.,manual 2026-09-07
Administer medications to patients and monitor patients for reactions or side effects.,Gi pasienter legemidler og overvåke reaksjoner og bivirkninger.,manual 2026-09-07
"Maintain accurate, detailed reports and records.",Føre nøyaktige og detaljerte rapporter og journaler.,manual 2026-09-07
"Establish operational policies and procedures and make any necessary modifications, based on analysis of operations, demographics, and other research information.","Fastsette driftsrutiner og prosedyrer og endre dem ved behov ut fra analyser av driften, demografi og annen informasjon.",manual 2026-09-07
"Conduct chemical analyses of body fluids, such as blood or urine, using microscope or automatic analyzer to detect abnormalities or diseases and enter findings into computer.","Gjøre kjemiske analyser av kroppsvæsker som blod og urin med mikroskop eller automatisk analyseapparat for å oppdage avvik eller sykdom, og registrere funnene.",manual 2026-09-07
"Analyze the results of tests or experiments to ensure conformity to specifications, using special mechanical or electrical devices.",Analysere resultater av tester eller forsøk med mekaniske eller elektriske instrumenter for å sikre samsvar med spesifikasjoner.,manual 2026-09-07
"Conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing ones.","Forske på struktur og egenskaper hos materialer som metaller, legeringer, polymerer og keramer for å utvikle nye produkter eller forbedre eksisterende.",manual 2026-09-07
"Prepare reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors, such as sponsors and customers.","Utarbeide rapporter, manuskripter, søknader og tekniske håndbøker for andre forskere og oppdragsgivere som sponsorer og kunder.",manual 2026-09-07
"Study economic and statistical data in area of specialization, such as finance, labor, or agriculture.","Studere økonomiske og statistiske data innen et spesialområde som finans, arbeidsmarked eller landbruk.",manual 2026-09-07
"Compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques.","Samle, analysere og rapportere data for å forklare økonomiske fenomener og varsle markedsutviklingen med matematiske modeller og statistiske metoder.",manual 2026-09-07
"Study the socioeconomic impacts of new public policies, such as proposed legislation, taxes, services, and regulations.","Studere de samfunnsøkonomiske virkningene av ny politikk, som lovforslag, skatter, tjenester og reguleringer.",manual 2026-09-07
"Conduct engineering site audits to collect structural, electrical, and related site information for use in the design of residential or commercial solar power systems.","Gjennomføre tekniske befaringer for å samle inn informasjon om konstruksjon, elektrisk anlegg og annet til utforming av solcelleanlegg for boliger eller næringsbygg.",manual 2026-09-07
"Reline or repair ladles and pouring spouts with refractory clay, using trowels.",Fôre eller reparere støpeøser og tuter med ildfast leire ved hjelp av murskje.,manual 2026-09-07
"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.","Lede den daglige driften av en avdeling: analysere arbeidsflyt, prioritere, utvikle standarder og sette frister.",manual 2026-09-07
"Supervise students in classrooms, halls, cafeterias, school yards, and gymnasiums, or on field trips.","Ha tilsyn med elever i klasserom, ganger, kantiner, skolegårder og gymsaler, og på turer.",manual 2026-09-07
Confer with department supervisors or other personnel to assess progress and discuss needed changes.,Rådføre seg med avdelingsledere eller andre for å vurdere fremdrift og drøfte nødvendige endringer.,manual 2026-09-07
Distribute production schedules or work orders to departments.,Fordele produksjonsplaner eller arbeidsordrer til avdelingene.,manual 2026-09-07
"Arrange for delivery, assembly, or distribution of supplies or parts to expedite flow of materials and meet production schedules.","Ordne levering, montering eller fordeling av materiell og deler for å sikre materialflyt og holde produksjonsplaner.",manual 2026-09-07
"Schedule or dispatch workers, work crews, equipment, or service vehicles to appropriate locations, according to customer requests, specifications, or needs, using radios or telephones.","Sette opp eller sende ut ansatte, arbeidslag, utstyr eller servicebiler til riktige steder etter kundenes ønsker, spesifikasjoner eller behov, via radio eller telefon.",manual 2026-09-07
"Monitor food distribution, ensuring that meals are delivered to the correct recipients and that guidelines, such as those for special diets, are followed.","Følge med på matutdelingen og sikre at måltider når riktig mottaker og at retningslinjer, for eksempel for spesialkost, følges.",manual 2026-09-07
Examine trays to ensure that they contain required items.,Kontrollere at brettene inneholder det som skal være der.,manual 2026-09-07
"Unscrew or tighten pipes, casing, tubing, and pump rods, using hand and power wrenches and tongs.","Skru løs eller trekke til rør, foringsrør, tubing og pumpestenger med hånd- og maskinverktøy og tenger.",manual 2026-09-07
Gauge oil and gas production.,Måle olje- og gassproduksjonen.,manual 2026-09-07
Interpret and enforce government acts and regulations and explain required standards to agricultural workers.,Tolke og håndheve lover og forskrifter og forklare krav til landbruksarbeidere.,manual 2026-09-07
"Inspect agricultural commodities or related operations, as well as fish or logging operations, for compliance with laws and regulations governing health, quality, and safety.","Inspisere landbruksprodukter og tilknyttet virksomhet, samt fiske- og skogsdrift, for å kontrollere at lover og regler om helse, kvalitet og sikkerhet følges.",manual 2026-09-07
Implement treatment plans or protocols as directed by speech-language pathologists.,Gjennomføre behandlingsplaner eller opplegg etter anvisning fra logoped.,manual 2026-09-07
Collect and compile data to document clients' performance or assess program quality.,Samle inn og sammenstille data for å dokumentere klientenes resultater eller vurdere programkvalitet.,manual 2026-09-07
"Supervise, coordinate, or schedule the activities of construction or extractive workers.","Lede, koordinere eller planlegge arbeidet til bygg- og anleggsarbeidere eller arbeidere i utvinning.",manual 2026-09-07
"Thin and space trees and control weeds and undergrowth, using manual tools and chemicals, or supervise workers performing these tasks.","Tynne og sette avstand mellom trær og fjerne ugress og underskog med håndverktøy og kjemikalier, eller lede arbeidere som gjør det.",manual 2026-09-07
"Provide information about, and enforce, regulations, such as those concerning environmental protection, resource utilization, fire safety, and accident prevention.","Informere om og håndheve regler om for eksempel miljøvern, ressursbruk, brannsikkerhet og ulykkesforebygging.",manual 2026-09-07
"Train and lead forest and conservation workers in seasonal activities, such as planting tree seedlings, putting out forest fires, and maintaining recreational facilities.","Lære opp og lede skogs- og naturvernarbeidere i sesongarbeid som planting, slokking av skogbrann og vedlikehold av friluftsanlegg.",manual 2026-09-07
"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.","Lese, vurdere og redigere manuskripter eller annet materiale innsendt for publisering, og drøfte endringer i innhold, stil eller oppbygning med forfatterne.",manual 2026-09-07
Respond to requests for information from the media or designate an appropriate spokesperson or information source.,"Svare på henvendelser fra mediene, eller utpeke en egnet talsperson eller informasjonskilde.",manual 2026-09-07
"Plan or direct development or communication of programs to maintain favorable public or stockholder perceptions of an organization's accomplishments, agenda, or environmental responsibility.","Planlegge eller lede utvikling og formidling av programmer som skal opprettholde et godt inntrykk hos publikum eller aksjonærer av virksomhetens resultater, dagsorden eller miljøansvar.",manual 2026-09-07
Post and update content on the company's Web site and social media outlets.,Legge ut og oppdatere innhold på virksomhetens nettsted og i sosiale medier.,manual 2026-09-07
Inspect or review projects to monitor compliance with building and safety codes or other regulations.,Inspisere eller gjennomgå prosjekter for å kontrollere at bygge- og sikkerhetsforskrifter og andre regler følges.,manual 2026-09-07
Warn violators of infractions or penalties.,Advare overtredere om lovbrudd eller sanksjoner.,manual 2026-09-07
"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.","Gi råd til lisenshavere og andre om regler for lisenser, tillatelser eller pass.",manual 2026-09-07
"Evaluate applications, records, or documents to gather information about eligibility or liability issues.","Vurdere søknader, journaler eller dokumenter for å innhente informasjon om rettigheter eller ansvar.",manual 2026-09-07
Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,Etablere og pleie kontakt med privat- eller bedriftskunder og hjelpe dem med problemer de møter.,manual 2026-09-07
Establish and enforce rules for behavior and procedures for maintaining order.,Fastsette og håndheve atferdsregler og rutiner for å holde orden.,manual 2026-09-07
Confer with parents and staff to discuss educational activities and policies and students' behavioral or learning problems.,"Drøfte undervisning, regler og elevenes atferds- eller lærevansker med foreldre og ansatte.",manual 2026-09-07
Prepare reports on academic or institutional data.,Utarbeide rapporter om akademiske eller institusjonelle data.,manual 2026-09-07
"Develop or direct software system testing or validation procedures, programming, or documentation.","Utvikle eller lede testing eller validering av programvaresystemer, programmering eller dokumentasjon.",manual 2026-09-07
"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.","Rådføre seg med systemanalytikere, ingeniører, programmerere og andre for å utforme systemer og få informasjon om begrensninger, muligheter, ytelseskrav og grensesnitt.",manual 2026-09-07
"Interpret laws, rulings and regulations for individuals and businesses.","Tolke lover, avgjørelser og forskrifter for privatpersoner og bedrifter.",manual 2026-09-07
"Analyze the probable outcomes of cases, using knowledge of legal precedents.",Analysere sannsynlig utfall av saker ut fra kunnskap om rettspraksis.,manual 2026-09-07
Examine legal data to determine advisability of defending or prosecuting lawsuit.,Vurdere juridiske opplysninger for å avgjøre om et søksmål bør forsvares eller reises.,manual 2026-09-07
"Perform before live audiences in concerts, recitals, educational presentations, and other social gatherings.","Opptre for publikum i konserter, resitaler, undervisning og andre sammenkomster.",manual 2026-09-07
"Officiate at sporting events, games, or competitions, to maintain standards of play and to ensure that game rules are observed.","Dømme idrettsarrangementer, kamper eller konkurranser for å opprettholde spillets standard og sikre at reglene følges.",manual 2026-09-07
Collaborate with other ministry members to establish goals and objectives for religious education programs or to develop ways to encourage program participation.,Samarbeide med andre i menigheten om mål for religiøs undervisning og om måter å øke deltakelsen på.,manual 2026-09-07
"Implement program plans by ordering needed materials, scheduling speakers, reserving space, or handling other administrative details.","Gjennomføre programplaner ved å bestille materiell, avtale foredragsholdere, reservere lokaler og ordne andre administrative detaljer.",manual 2026-09-07
"Assess nutritional needs, diet restrictions, and current health plans to develop and implement dietary-care plans and provide nutritional counseling.","Vurdere ernæringsbehov, kostrestriksjoner og gjeldende helseplaner for å utvikle og gjennomføre kostholdsplaner og gi ernæringsveiledning.",manual 2026-09-07
"Treat sick or injured animals by prescribing medication, setting bones, dressing wounds, or performing surgery.","Behandle syke eller skadde dyr ved å forskrive legemidler, sette brudd, forbinde sår eller operere.",manual 2026-09-07
Examine animals to detect and determine the nature of diseases or injuries.,Undersøke dyr for å oppdage og fastslå arten av sykdommer eller skader.,manual 2026-09-07
"Inoculate animals against various diseases, such as rabies or distemper.",Vaksinere dyr mot sykdommer som rabies og valpesyke.,manual 2026-09-07
Develop final construction plans that include aesthetic representations of the structure or details for its construction.,Utarbeide endelige byggeplaner med estetiske fremstillinger av bygget eller detaljer for oppføringen.,manual 2026-09-07
"Prepare scale drawings or architectural designs, using computer-aided design or other tools.",Utarbeide målestokktegninger eller arkitekttegninger med DAK-verktøy eller andre verktøy.,manual 2026-09-07
"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.","Utarbeide informasjon om utforming, konstruksjonsspesifikasjoner, materialer, farger, utstyr, kostnadsanslag og byggetid.",manual 2026-09-07
"Conduct neuropsychological evaluations such as assessments of intelligence, academic ability, attention, concentration, sensorimotor function, language, learning, and memory.","Gjennomføre nevropsykologiske utredninger, som tester av intelligens, skolefaglige evner, oppmerksomhet, konsentrasjon, sensomotorisk funksjon, språk, læring og hukommelse.",manual 2026-09-07
"Write or prepare detailed clinical neuropsychological reports, using data from psychological or neuropsychological tests, self-report measures, rating scales, direct observations, or interviews.","Skrive detaljerte kliniske nevropsykologiske rapporter ut fra psykologiske eller nevropsykologiske tester, selvrapportering, vurderingsskalaer, observasjoner eller intervjuer.",manual 2026-09-07
Interview patients to obtain comprehensive medical histories.,Intervjue pasienter for å ta opp fullstendig sykehistorie.,manual 2026-09-07
