code,level,field,name,field_name,n_total,n_employed,share_employed,share_studying,n_occ,exposure_v1,exposure_v2,q5_v1,q5_v2,automation,automation_coverage,task_coverage,task_exposure,task_automation,n_recent,q_v1,q_v2
458,4,5,Fabrikasjon og utvinning,"Naturvitenskap, håndverk og teknikk",42233,34218,0.8102,0.0082,226,0.2488,0.2192,0.065,0.1113,0.4121,0.8038,0.9992,0.2411,0.4745,2681,"[0.2789, 0.313, 0.1875, 0.1555, 0.065]","[0.2931, 0.3208, 0.1998, 0.075, 0.1113]"
462,4,6,Sosialfag,"Helse-, sosial- og idrettsfag",39576,32959,0.8328,0.0164,178,0.1821,0.2498,0.0283,0.0341,0.5286,0.986,0.9992,0.2872,0.468,6230,"[0.0739, 0.7804, 0.1009, 0.0165, 0.0283]","[0.0499, 0.0995, 0.8074, 0.0091, 0.0341]"
441,4,4,Økonomisk-administrative fag,Økonomiske og administrative fag,34383,27130,0.7891,0.0015,289,0.4857,0.519,0.4294,0.5717,0.4496,0.9483,0.9976,0.4784,0.4575,0,"[0.0653, 0.063, 0.1625, 0.2798, 0.4294]","[0.0586, 0.0868, 0.157, 0.1259, 0.5717]"
481,4,8,Samferdsel,"Samferdsel, sikkerhet og service",32377,27737,0.8567,0.011,206,0.3161,0.2694,0.1178,0.137,0.602,0.835,0.9984,0.3008,0.4715,3877,"[0.1972, 0.067, 0.4111, 0.2068, 0.1178]","[0.1718, 0.2119, 0.4279, 0.0514, 0.137]"
499,4,9,Uoppgitt faggruppe,Uoppgitt fagfelt,31091,18788,0.6043,0.016,220,0.1842,0.1602,0.0414,0.057,0.456,0.779,0.9993,0.1799,0.4866,2059,"[0.4391, 0.2666, 0.1657, 0.0872, 0.0414]","[0.4484, 0.2628, 0.1969, 0.0349, 0.057]"
469,4,6,"Helse-, sosial- og idrettsfag, andre","Helse-, sosial- og idrettsfag",28438,22656,0.7967,0.0084,151,0.2311,0.1606,0.0734,0.0872,0.388,0.8545,0.9987,0.2315,0.4843,2648,"[0.3697, 0.1661, 0.3436, 0.0472, 0.0734]","[0.4508, 0.3393, 0.0945, 0.0282, 0.0872]"
483,4,8,Andre servicefag,"Samferdsel, sikkerhet og service",21876,15608,0.7135,0.0133,153,0.2641,0.292,0.1119,0.1679,0.4675,0.9612,0.9998,0.3128,0.4926,1319,"[0.0863, 0.4949, 0.1793, 0.1277, 0.1119]","[0.1087, 0.1025, 0.5592, 0.0618, 0.1679]"
459,4,5,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre","Naturvitenskap, håndverk og teknikk",20527,13934,0.6788,0.0034,226,0.1909,0.1736,0.0484,0.0693,0.4659,0.6871,0.9994,0.1833,0.4545,183,"[0.4397, 0.2594, 0.1346, 0.1179, 0.0484]","[0.4173, 0.2948, 0.1651, 0.0534, 0.0693]"
468,4,6,Idrettsfag,"Helse-, sosial- og idrettsfag",19961,14988,0.7509,0.1532,247,0.331,0.3052,0.1697,0.1886,0.4395,0.8217,0.9851,0.3225,0.4471,3472,"[0.1545, 0.1486, 0.4021, 0.1251, 0.1697]","[0.1302, 0.2029, 0.407, 0.0713, 0.1886]"
454,4,5,Informasjons- og datateknologi,"Naturvitenskap, håndverk og teknikk",15923,12751,0.8008,0.0202,218,0.5129,0.5479,0.5599,0.6035,0.4762,0.9551,0.9987,0.4965,0.4421,1019,"[0.0691, 0.0465, 0.1811, 0.1435, 0.5599]","[0.0452, 0.0733, 0.192, 0.086, 0.6035]"
416,4,1,Bildende kunst og kunsthåndverk,Humanistiske og estetiske fag,15362,9797,0.6377,0.073,171,0.3714,0.3839,0.2324,0.3374,0.4583,0.9155,0.9978,0.3694,0.4734,752,"[0.0952, 0.1704, 0.3421, 0.1599, 0.2324]","[0.1163, 0.1411, 0.3432, 0.062, 0.3374]"
442,4,4,Handel og markedsføring,Økonomiske og administrative fag,15083,12658,0.8392,0.0125,172,0.4053,0.415,0.1885,0.3445,0.4511,0.9764,0.9997,0.3966,0.4827,1936,"[0.0583, 0.0499, 0.4599, 0.2434, 0.1885]","[0.0531, 0.0614, 0.4593, 0.0817, 0.3445]"
479,4,7,"Primærnæringsfag, andre",Primærnæringsfag,13787,8185,0.5937,0.0342,186,0.2557,0.2392,0.0916,0.1287,0.4161,0.8115,0.9976,0.2526,0.483,772,"[0.282, 0.2426, 0.2678, 0.1161, 0.0916]","[0.2582, 0.2814, 0.2732, 0.0584, 0.1287]"
449,4,4,"Økonomiske og administrative fag, andre",Økonomiske og administrative fag,12474,9192,0.7369,0.0031,199,0.4149,0.4326,0.387,0.4465,0.4705,0.9504,0.9991,0.4131,0.5013,23,"[0.1588, 0.103, 0.1844, 0.1668, 0.387]","[0.1476, 0.125, 0.1861, 0.0947, 0.4465]"
452,4,5,Fysiske og kjemiske fag,"Naturvitenskap, håndverk og teknikk",10148,8794,0.8666,0.0093,133,0.1776,0.1784,0.0343,0.045,0.4863,0.3665,1.0,0.1807,0.5135,955,"[0.6376, 0.0743, 0.1381, 0.1157, 0.0343]","[0.3376, 0.3734, 0.138, 0.1059, 0.045]"
444,4,4,Hotell- og reiselivsfag,Økonomiske og administrative fag,9100,7284,0.8004,0.0051,157,0.4826,0.5126,0.4718,0.5311,0.4775,0.9806,0.9981,0.483,0.5075,341,"[0.0423, 0.0951, 0.1518, 0.2389, 0.4718]","[0.038, 0.0802, 0.1752, 0.1755, 0.5311]"
435,4,3,Medie- og informasjonsfag,Samfunnsfag og juridiske fag,8632,5614,0.6504,0.1798,157,0.3488,0.3365,0.1911,0.2144,0.4717,0.9268,0.9904,0.348,0.4551,1468,"[0.1147, 0.1695, 0.4153, 0.1095, 0.1911]","[0.1291, 0.1426, 0.4509, 0.0629, 0.2144]"
415,4,1,"Musikk, dans og drama",Humanistiske og estetiske fag,8284,4763,0.575,0.2144,147,0.3335,0.3138,0.1659,0.1796,0.4544,0.9229,0.9845,0.3355,0.4526,889,"[0.1056, 0.2266, 0.3827, 0.1193, 0.1659]","[0.151, 0.1668, 0.4131, 0.0896, 0.1796]"
443,4,4,Kontorfag,Økonomiske og administrative fag,8120,6620,0.8153,0.0159,164,0.5183,0.5437,0.6043,0.6151,0.5142,0.9462,0.9977,0.5116,0.5392,738,"[0.0447, 0.0412, 0.1649, 0.1449, 0.6043]","[0.0382, 0.0868, 0.1397, 0.1202, 0.6151]"
471,4,7,Fiske og havbruk,Primærnæringsfag,5904,4387,0.7431,0.011,86,0.2534,0.2171,0.0239,0.0488,0.1749,0.9043,1.0,0.2501,0.4166,786,"[0.1044, 0.6033, 0.1744, 0.0941, 0.0239]","[0.0985, 0.6114, 0.1545, 0.0868, 0.0488]"
466,4,6,Apotekfag,"Helse-, sosial- og idrettsfag",5315,4049,0.7618,0.0194,73,0.3494,0.3337,0.0731,0.0869,0.447,0.9909,1.0,0.3472,0.4975,371,"[0.0558, 0.0366, 0.8081, 0.0264, 0.0731]","[0.0294, 0.0798, 0.7925, 0.0114, 0.0869]"
464,4,6,Tannhelsefag,"Helse-, sosial- og idrettsfag",4561,3567,0.7821,0.0191,54,0.2834,0.1922,0.0511,0.0584,0.3159,0.9521,0.9989,0.256,0.5243,375,"[0.0323, 0.0673, 0.8196, 0.0297, 0.0511]","[0.0626, 0.801, 0.0581, 0.0199, 0.0584]"
489,4,8,"Samferdsels- og sikkerhetsfag og andre servicefag, andre","Samferdsel, sikkerhet og service",4173,2705,0.6482,0.0069,125,0.2152,0.198,0.0603,0.0991,0.4631,0.8625,1.0,0.2134,0.4648,57,"[0.4, 0.2166, 0.1937, 0.1294, 0.0603]","[0.3893, 0.207, 0.264, 0.0407, 0.0991]"
465,4,6,Terapeutiske fag,"Helse-, sosial- og idrettsfag",3849,2046,0.5316,0.0029,52,0.2156,0.2158,0.0723,0.1131,0.337,0.9853,0.9985,0.2362,0.4787,46,"[0.4746, 0.2116, 0.1852, 0.0562, 0.0723]","[0.0573, 0.4885, 0.324, 0.0171, 0.1131]"
473,4,7,Gartneri og hagebruk,Primærnæringsfag,3236,2458,0.7596,0.0049,80,0.2191,0.202,0.0491,0.0969,0.5876,0.8011,0.9988,0.2077,0.5126,253,"[0.243, 0.4104, 0.1199, 0.1776, 0.0491]","[0.2293, 0.4334, 0.1845, 0.0558, 0.0969]"
419,4,1,"Humanistiske og estetiske fag, andre",Humanistiske og estetiske fag,2361,1402,0.5938,0.0123,103,0.3043,0.3073,0.1776,0.2584,0.4535,0.9265,0.9964,0.2991,0.4405,13,"[0.2689, 0.1548, 0.2404, 0.1583, 0.1776]","[0.2491, 0.1875, 0.2548, 0.0501, 0.2584]"
482,4,8,Sikkerhet,"Samferdsel, sikkerhet og service",2019,1805,0.894,0.0124,85,0.3318,0.2631,0.1429,0.1588,0.7718,0.8958,0.9806,0.3412,0.4791,376,"[0.0901, 0.0476, 0.6351, 0.0843, 0.1429]","[0.0644, 0.5774, 0.1299, 0.0695, 0.1588]"
474,4,7,Skogbruk,Primærnæringsfag,1380,915,0.663,0.0,45,0.2068,0.1567,0.0627,0.082,0.3864,0.5519,1.0,0.1928,0.4161,59,"[0.4433, 0.2024, 0.1925, 0.099, 0.0627]","[0.5683, 0.1836, 0.1082, 0.0579, 0.082]"
429,4,2,"Lærerutdanninger og utdanninger i pedagogikk, andre",Lærerutdanninger og pedagogikk,819,476,0.5812,0.0061,38,0.2232,0.2087,0.0546,0.0966,0.4468,0.9748,1.0,0.2326,0.4478,0,"[0.3256, 0.2647, 0.2815, 0.0735, 0.0546]","[0.3088, 0.208, 0.3866, 0.0, 0.0966]"
439,4,3,"Samfunnsfag og juridiske fag, andre",Samfunnsfag og juridiske fag,540,302,0.5593,0.013,40,0.3043,0.2907,0.1523,0.2252,0.4658,0.947,1.0,0.2927,0.4922,0,"[0.245, 0.1457, 0.2616, 0.1954, 0.1523]","[0.2351, 0.2185, 0.2715, 0.0497, 0.2252]"
412,4,1,Litteratur- og bibliotekutdanninger,Humanistiske og estetiske fag,199,122,0.6131,0.0,17,0.6174,0.7363,0.6475,0.8689,0.4261,0.9672,1.0,0.6209,0.3704,0,"[0.0, 0.0246, 0.0, 0.3279, 0.6475]","[0.0, 0.0, 0.0246, 0.1066, 0.8689]"
555,5,5,"Utdanninger i elektrofag, mekaniske fag og maskinfag","Naturvitenskap, håndverk og teknikk",28309,24976,0.8823,0.0039,180,0.3395,0.3449,0.1232,0.1441,0.477,0.9191,0.9961,0.3333,0.4191,2372,"[0.0917, 0.2486, 0.2324, 0.3041, 0.1232]","[0.0779, 0.2121, 0.2885, 0.2774, 0.1441]"
557,5,5,Bygg- og anleggsfag,"Naturvitenskap, håndverk og teknikk",12599,10948,0.869,0.0042,111,0.3825,0.3731,0.1193,0.1367,0.338,0.8323,0.9997,0.3588,0.4068,1339,"[0.1302, 0.0934, 0.0719, 0.5852, 0.1193]","[0.1274, 0.1052, 0.2397, 0.391, 0.1367]"
569,5,6,"Helse-, sosial- og idrettsfag, andre","Helse-, sosial- og idrettsfag",8626,7583,0.8791,0.0065,49,0.1577,0.1582,0.031,0.0343,0.2996,0.9926,0.9995,0.185,0.4298,2017,"[0.64, 0.211, 0.1026, 0.0154, 0.031]","[0.0314, 0.6973, 0.2279, 0.0091, 0.0343]"
501,5,0,Allmenne fag,Allmenne fag,8178,5593,0.6839,0.0043,186,0.3548,0.3644,0.2157,0.2721,0.4435,0.9115,0.9968,0.3525,0.4285,0,"[0.1889, 0.1313, 0.2326, 0.2315, 0.2157]","[0.1178, 0.219, 0.2314, 0.1596, 0.2721]"
543,5,4,Kontorfag,Økonomiske og administrative fag,7369,5889,0.7992,0.0049,116,0.5182,0.543,0.5768,0.6154,0.4795,0.9789,0.9988,0.519,0.5235,235,"[0.0423, 0.045, 0.1844, 0.1515, 0.5768]","[0.0177, 0.1445, 0.1051, 0.1173, 0.6154]"
581,5,8,Samferdsel,"Samferdsel, sikkerhet og service",6742,5582,0.8279,0.0027,71,0.296,0.2635,0.0579,0.0788,0.8144,0.9305,0.9912,0.3131,0.4228,811,"[0.0724, 0.0474, 0.751, 0.0713, 0.0579]","[0.0577, 0.1921, 0.6154, 0.056, 0.0788]"
541,5,4,Økonomisk-administrative fag,Økonomiske og administrative fag,6564,5300,0.8074,0.0093,126,0.4922,0.5117,0.4564,0.542,0.4514,0.926,0.9994,0.4844,0.4851,411,"[0.0987, 0.0779, 0.1226, 0.2443, 0.4564]","[0.0734, 0.1118, 0.1461, 0.1267, 0.542]"
516,5,1,Bildende kunst og kunsthåndverk,Humanistiske og estetiske fag,3845,2130,0.554,0.0918,60,0.3991,0.4253,0.2606,0.3549,0.4604,0.9915,1.0,0.3996,0.4721,242,"[0.0601, 0.1033, 0.4249, 0.1512, 0.2606]","[0.0648, 0.0685, 0.4282, 0.0836, 0.3549]"
582,5,8,Sikkerhet,"Samferdsel, sikkerhet og service",3539,3178,0.898,0.0099,110,0.3887,0.3831,0.2209,0.2623,0.4467,0.562,0.6287,0.3687,0.4142,346,"[0.1434, 0.0689, 0.224, 0.3427, 0.2209]","[0.1121, 0.1812, 0.1677, 0.2768, 0.2623]"
558,5,5,Fabrikasjon og utvinning,"Naturvitenskap, håndverk og teknikk",3122,2728,0.8738,0.0016,67,0.2045,0.2252,0.0356,0.0583,0.4514,0.5095,1.0,0.2082,0.4548,165,"[0.5169, 0.0645, 0.18, 0.2031, 0.0356]","[0.5187, 0.066, 0.1096, 0.2474, 0.0583]"
561,5,6,Pleie- og omsorgsfag,"Helse-, sosial- og idrettsfag",2563,2368,0.9239,0.0043,13,0.1265,0.1176,0.0089,0.0122,0.234,0.9658,1.0,0.1479,0.3213,467,"[0.8184, 0.1246, 0.0448, 0.0034, 0.0089]","[0.0355, 0.853, 0.0992, 0.0, 0.0122]"
554,5,5,Informasjons- og datateknologi,"Naturvitenskap, håndverk og teknikk",2268,1609,0.7094,0.0697,63,0.5482,0.6095,0.6662,0.6559,0.4674,0.9727,0.9969,0.5386,0.401,281,"[0.0232, 0.0701, 0.1277, 0.1127, 0.6662]","[0.02, 0.0555, 0.1502, 0.1185, 0.6559]"
562,5,6,Sosialfag,"Helse-, sosial- og idrettsfag",2254,2049,0.9091,0.0031,18,0.1472,0.1562,0.0132,0.0127,0.3147,1.0,1.0,0.1809,0.3394,541,"[0.6037, 0.2718, 0.1069, 0.0044, 0.0132]","[0.0205, 0.6608, 0.3026, 0.0034, 0.0127]"
599,5,9,Uoppgitt faggruppe,Uoppgitt fagfelt,2213,1311,0.5924,0.1586,97,0.2796,0.2686,0.137,0.1552,0.4382,0.9466,0.9977,0.281,0.4493,274,"[0.2009, 0.2987, 0.2617, 0.1016, 0.137]","[0.2018, 0.3089, 0.2714, 0.0627, 0.1552]"
549,5,4,"Økonomiske og administrative fag, andre",Økonomiske og administrative fag,1792,1315,0.7338,0.0039,72,0.4838,0.5292,0.4479,0.5718,0.447,0.9772,0.9962,0.4771,0.4519,15,"[0.0814, 0.0548, 0.1399, 0.276, 0.4479]","[0.0641, 0.0832, 0.1412, 0.1397, 0.5718]"
559,5,5,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre","Naturvitenskap, håndverk og teknikk",1413,808,0.5718,0.0085,70,0.1859,0.179,0.0337,0.0557,0.4313,0.604,1.0,0.1764,0.4491,40,"[0.495, 0.1708, 0.1185, 0.182, 0.0337]","[0.4134, 0.2735, 0.1399, 0.1176, 0.0557]"
544,5,4,Hotell- og reiselivsfag,Økonomiske og administrative fag,1214,947,0.7801,0.0074,54,0.4368,0.4628,0.4234,0.4963,0.4697,0.9937,1.0,0.4389,0.5183,36,"[0.0517, 0.1668, 0.1932, 0.1647, 0.4234]","[0.0412, 0.1373, 0.2408, 0.0845, 0.4963]"
542,5,4,Handel og markedsføring,Økonomiske og administrative fag,1166,837,0.7178,0.0506,47,0.4872,0.5329,0.4217,0.5962,0.4639,0.994,1.0,0.4754,0.5005,51,"[0.0263, 0.043, 0.2569, 0.2521, 0.4217]","[0.0131, 0.0633, 0.2569, 0.0705, 0.5962]"
583,5,8,Andre servicefag,"Samferdsel, sikkerhet og service",1089,694,0.6373,0.0395,28,0.2712,0.2863,0.0729,0.1335,0.4421,0.9885,0.9928,0.3029,0.5027,140,"[0.0962, 0.4009, 0.3426, 0.0875, 0.0729]","[0.0769, 0.1466, 0.6168, 0.0261, 0.1335]"
535,5,3,Medie- og informasjonsfag,Samfunnsfag og juridiske fag,739,432,0.5846,0.0609,34,0.4307,0.4459,0.3449,0.3914,0.4569,0.9537,0.9699,0.4311,0.3888,56,"[0.0602, 0.1065, 0.3218, 0.1667, 0.3449]","[0.0621, 0.0883, 0.389, 0.0692, 0.3914]"
552,5,5,Fysiske og kjemiske fag,"Naturvitenskap, håndverk og teknikk",535,480,0.8972,0.0,40,0.2371,0.2365,0.0479,0.0521,0.4336,0.5625,1.0,0.2352,0.4567,58,"[0.4396, 0.0646, 0.2437, 0.2042, 0.0479]","[0.3104, 0.2, 0.2437, 0.1938, 0.0521]"
529,5,2,"Lærerutdanninger og utdanninger i pedagogikk, andre",Lærerutdanninger og pedagogikk,511,444,0.8689,0.0078,32,0.2447,0.251,0.1261,0.1351,0.3911,0.9167,1.0,0.2745,0.4461,117,"[0.3198, 0.3221, 0.1937, 0.0383, 0.1261]","[0.0676, 0.4054, 0.3694, 0.0225, 0.1351]"
515,5,1,"Musikk, dans og drama",Humanistiske og estetiske fag,312,161,0.516,0.1026,17,0.2901,0.263,0.0807,0.0823,0.4886,0.9255,0.9814,0.294,0.4797,33,"[0.0186, 0.4099, 0.4161, 0.0745, 0.0807]","[0.1582, 0.1835, 0.5, 0.0759, 0.0823]"
524,5,2,Utdanninger i pedagogikk,Lærerutdanninger og pedagogikk,280,265,0.9464,0.0,6,0.1587,0.2232,0.0,0.0,0.5141,1.0,1.0,0.2588,0.4105,96,"[0.1208, 0.8113, 0.0679, 0.0, 0.0]","[0.0566, 0.1396, 0.8038, 0.0, 0.0]"
514,5,1,Religionsutdanninger,Humanistiske og estetiske fag,260,131,0.5038,0.1269,12,0.2415,0.1927,0.0229,0.03,0.3777,0.6718,0.7634,0.2184,0.4464,13,"[0.313, 0.1221, 0.5115, 0.0305, 0.0229]","[0.11, 0.53, 0.24, 0.09, 0.03]"
551,5,5,Biologiske fag,"Naturvitenskap, håndverk og teknikk",124,117,0.9435,0.0,11,0.1184,0.1024,0.0,0.0,0.6519,0.4786,1.0,0.1144,0.614,14,"[0.5726, 0.2821, 0.0427, 0.1026, 0.0]","[0.6068, 0.1538, 0.2393, 0.0, 0.0]"
661,6,6,Pleie- og omsorgsfag,"Helse-, sosial- og idrettsfag",126316,111886,0.8858,0.0159,195,0.3862,0.3171,0.0534,0.0657,0.2914,0.9862,0.9977,0.348,0.3059,15249,"[0.0251, 0.0209, 0.8182, 0.0824, 0.0534]","[0.0122, 0.0534, 0.7971, 0.0717, 0.0657]"
641,6,4,Økonomisk-administrative fag,Økonomiske og administrative fag,118286,101315,0.8565,0.0365,270,0.5473,0.6118,0.5022,0.6868,0.4256,0.9839,0.9963,0.5369,0.4138,8693,"[0.0239, 0.0217, 0.0898, 0.3625, 0.5022]","[0.0207, 0.0333, 0.0835, 0.1756, 0.6868]"
