group,level,group_name,rank,task_id,task,onet_soc,styrk08,styrk08_name,weight_share,eloundou_label,eloundou_beta,chat_usage_pct,chat_n_classified,chat_automation_share,api_automation_share
342,3,Handel og markedsføring,7,9544,Notify managers concerning the need for major repairs or additions to building operating systems.,37-2011.00,5153,Vaktmestre,0.0031,E0,0.0,,,,
342,3,Handel og markedsføring,8,9539,Gather and empty trash.,37-2011.00,5153,Vaktmestre,0.0031,E0,0.0,,,,
342,3,Handel og markedsføring,9,9538,"Service, clean, or supply restrooms.",37-2011.00,5153,Vaktmestre,0.003,E0,0.0,,,,
342,3,Handel og markedsføring,10,2487,"Operate computers programmed with accounting software to record, store, and analyze information.",43-3031.00,3313,Regnskapsførere,0.0028,E1,1.0,0.0095,68,0.5441,1.0
343,3,Kontorfag,1,830,"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",43-9061.00,4110,Kontormedarbeidere,0.0056,E0,0.0,0.023,221,0.5068,1.0
343,3,Kontorfag,2,826,"Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",43-9061.00,4110,Kontormedarbeidere,0.0053,E2,0.5,0.0103,60,0.5333,1.0
343,3,Kontorfag,3,827,"Answer telephones, direct calls, and take messages.",43-9061.00,4110,Kontormedarbeidere,0.0051,E2,0.5,0.0109,24,1.0,1.0
343,3,Kontorfag,4,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0039,E2,0.5,0.0243,223,0.4305,0.8399
343,3,Kontorfag,5,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.0038,E0,0.0,,,,1.0
343,3,Kontorfag,6,2430,Receive payment or obtain credit authorization.,41-2022.00,5223,Butikkmedarbeidere,0.0037,E0,0.0,0.0078,66,0.2727,0.8148
343,3,Kontorfag,7,700,"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",41-2031.00,5223,Butikkmedarbeidere,0.0036,E2,0.5,0.1157,1153,0.4605,0.9403
343,3,Kontorfag,8,2487,"Operate computers programmed with accounting software to record, store, and analyze information.",43-3031.00,3313,Regnskapsførere,0.0035,E1,1.0,0.0095,68,0.5441,1.0
343,3,Kontorfag,9,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0035,E2,0.5,,,,
343,3,Kontorfag,10,2486,"Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.",43-3031.00,3313,Regnskapsførere,0.0034,E1,1.0,,,,
349,3,"Økonomiske og administrative fag, andre",1,3408,Meet with applicants to obtain information for loan applications and to answer questions about the process.,13-2072.00,3312,Kundebehandlere lån og kreditt,0.0081,E2,0.5,,,,
349,3,"Økonomiske og administrative fag, andre",2,3409,"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",13-2072.00,3312,Kundebehandlere lån og kreditt,0.008,E2,0.5,,,,1.0
349,3,"Økonomiske og administrative fag, andre",3,3410,"Explain to customers the different types of loans and credit options that are available, as well as the terms of those services.",13-2072.00,3312,Kundebehandlere lån og kreditt,0.0078,E1,1.0,0.0881,877,0.2748,0.6835
349,3,"Økonomiske og administrative fag, andre",4,2487,"Operate computers programmed with accounting software to record, store, and analyze information.",43-3031.00,3313,Regnskapsførere,0.0035,E1,1.0,0.0095,68,0.5441,1.0
349,3,"Økonomiske og administrative fag, andre",5,830,"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",43-9061.00,4110,Kontormedarbeidere,0.0035,E0,0.0,0.023,221,0.5068,1.0
349,3,"Økonomiske og administrative fag, andre",6,2486,"Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.",43-3031.00,3313,Regnskapsførere,0.0034,E1,1.0,,,,
349,3,"Økonomiske og administrative fag, andre",7,826,"Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",43-9061.00,4110,Kontormedarbeidere,0.0033,E2,0.5,0.0103,60,0.5333,1.0
349,3,"Økonomiske og administrative fag, andre",8,2495,"Operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents.",43-3031.00,3313,Regnskapsførere,0.0032,E1,1.0,,,,
349,3,"Økonomiske og administrative fag, andre",9,827,"Answer telephones, direct calls, and take messages.",43-9061.00,4110,Kontormedarbeidere,0.0032,E2,0.5,0.0109,24,1.0,1.0
349,3,"Økonomiske og administrative fag, andre",10,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0031,E2,0.5,0.0243,223,0.4305,0.8399
354,3,Informasjons- og datateknologi,1,830,"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",43-9061.00,4110,Kontormedarbeidere,0.0054,E0,0.0,0.023,221,0.5068,1.0
354,3,Informasjons- og datateknologi,2,826,"Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",43-9061.00,4110,Kontormedarbeidere,0.0051,E2,0.5,0.0103,60,0.5333,1.0
354,3,Informasjons- og datateknologi,3,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.005,E2,0.5,0.0243,223,0.4305,0.8399
354,3,Informasjons- og datateknologi,4,827,"Answer telephones, direct calls, and take messages.",43-9061.00,4110,Kontormedarbeidere,0.0049,E2,0.5,0.0109,24,1.0,1.0
354,3,Informasjons- og datateknologi,5,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0044,E2,0.5,,,,
354,3,Informasjons- og datateknologi,6,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.0042,E2,0.5,,,,
354,3,Informasjons- og datateknologi,7,14623,Analyze problems to develop solutions involving computer hardware and software.,15-1221.00,2511,Systemanalytikere/-arkitekter,0.0039,E1,1.0,0.0073,58,0.5862,1.0
354,3,Informasjons- og datateknologi,8,14629,"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",15-1221.00,2511,Systemanalytikere/-arkitekter,0.0032,E1,1.0,0.5036,4962,0.371,0.7254
354,3,Informasjons- og datateknologi,9,14626,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",15-1221.00,2511,Systemanalytikere/-arkitekter,0.0031,E1,1.0,,,,
354,3,Informasjons- og datateknologi,10,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",11-3021.00,1330,Ledere av IKT-enheter,0.0029,E2,0.5,,,,1.0
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",1,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0042,E2,0.5,0.0243,223,0.4305,0.8399
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",2,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0038,E2,0.5,,,,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",3,9544,Notify managers concerning the need for major repairs or additions to building operating systems.,37-2011.00,5153,Vaktmestre,0.0036,E0,0.0,,,,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",4,9539,Gather and empty trash.,37-2011.00,5153,Vaktmestre,0.0036,E0,0.0,,,,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",5,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.0036,E2,0.5,,,,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",6,9538,"Service, clean, or supply restrooms.",37-2011.00,5153,Vaktmestre,0.0035,E0,0.0,,,,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",7,8584,Enforce safety rules and regulations.,53-1043.00,8332,Lastebil- og trailersjåfører,0.0024,E0,0.0,,,,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",8,8588,Resolve worker problems or collaborate with employees to assist in problem resolution.,53-1043.00,8332,Lastebil- og trailersjåfører,0.0022,E0,0.0,,,,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",9,8593,"Interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.",53-1043.00,8332,Lastebil- og trailersjåfører,0.0022,E1,1.0,,,,
355,3,"Utdanninger i elektrofag, mekaniske fag og maskinfag",10,20276,"Examine shipment contents and compare with records, such as manifests, invoices, or orders, to verify accuracy.",43-5071.00,4321,Lagermedarbeidere og material-forvaltere,0.0019,E2,0.5,,,,1.0
357,3,Bygg- og anleggsfag,1,23430,Follow established safety rules and regulations and maintain a safe and clean environment.,47-2031.00,7115,Tømrere og snekkere,0.0049,E0,0.0,,,,
357,3,Bygg- og anleggsfag,2,23432,"Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge.",47-2031.00,7115,Tømrere og snekkere,0.0044,E0,0.0,,,,
357,3,Bygg- og anleggsfag,3,9544,Notify managers concerning the need for major repairs or additions to building operating systems.,37-2011.00,5153,Vaktmestre,0.0042,E0,0.0,,,,
357,3,Bygg- og anleggsfag,4,9539,Gather and empty trash.,37-2011.00,5153,Vaktmestre,0.0042,E0,0.0,,,,
357,3,Bygg- og anleggsfag,5,9538,"Service, clean, or supply restrooms.",37-2011.00,5153,Vaktmestre,0.0041,E0,0.0,,,,
357,3,Bygg- og anleggsfag,6,23431,"Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.",47-2031.00,7115,Tømrere og snekkere,0.004,E2,0.5,,,,1.0
357,3,Bygg- og anleggsfag,7,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0037,E2,0.5,0.0243,223,0.4305,0.8399
357,3,Bygg- og anleggsfag,8,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0033,E2,0.5,,,,
357,3,Bygg- og anleggsfag,9,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.0031,E2,0.5,,,,
357,3,Bygg- og anleggsfag,10,19610,"Direct engineering activities, ensuring compliance with environmental, safety, or other governmental regulations.",17-2051.00,2142,Sivilingeniører (bygg og anlegg),0.0021,E2,0.5,,,,
358,3,Fabrikasjon og utvinning,1,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0053,E2,0.5,0.0243,223,0.4305,0.8399
358,3,Fabrikasjon og utvinning,2,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0048,E2,0.5,,,,
358,3,Fabrikasjon og utvinning,3,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.0045,E2,0.5,,,,
358,3,Fabrikasjon og utvinning,4,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.0038,E0,0.0,,,,1.0
358,3,Fabrikasjon og utvinning,5,2430,Receive payment or obtain credit authorization.,41-2022.00,5223,Butikkmedarbeidere,0.0036,E0,0.0,0.0078,66,0.2727,0.8148
358,3,Fabrikasjon og utvinning,6,700,"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",41-2031.00,5223,Butikkmedarbeidere,0.0036,E2,0.5,0.1157,1153,0.4605,0.9403
358,3,Fabrikasjon og utvinning,7,9544,Notify managers concerning the need for major repairs or additions to building operating systems.,37-2011.00,5153,Vaktmestre,0.0035,E0,0.0,,,,
358,3,Fabrikasjon og utvinning,8,9539,Gather and empty trash.,37-2011.00,5153,Vaktmestre,0.0035,E0,0.0,,,,
358,3,Fabrikasjon og utvinning,9,9538,"Service, clean, or supply restrooms.",37-2011.00,5153,Vaktmestre,0.0034,E0,0.0,,,,
358,3,Fabrikasjon og utvinning,10,2187,"Clean food preparation equipment, work areas, and counters or tables.",35-2015.00,5120,Kokker,0.0025,E0,0.0,,,,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",1,23430,Follow established safety rules and regulations and maintain a safe and clean environment.,47-2031.00,7115,Tømrere og snekkere,0.0048,E0,0.0,,,,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",2,9544,Notify managers concerning the need for major repairs or additions to building operating systems.,37-2011.00,5153,Vaktmestre,0.0044,E0,0.0,,,,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",3,9539,Gather and empty trash.,37-2011.00,5153,Vaktmestre,0.0044,E0,0.0,,,,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",4,23432,"Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge.",47-2031.00,7115,Tømrere og snekkere,0.0043,E0,0.0,,,,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",5,9538,"Service, clean, or supply restrooms.",37-2011.00,5153,Vaktmestre,0.0043,E0,0.0,,,,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",6,23431,"Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.",47-2031.00,7115,Tømrere og snekkere,0.004,E2,0.5,,,,1.0
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",7,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1120,Administrerende direktører,0.0028,E2,0.5,0.0243,223,0.4305,0.8399
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",8,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1120,Administrerende direktører,0.0025,E2,0.5,,,,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",9,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1120,Administrerende direktører,0.0024,E2,0.5,,,,
359,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",10,13819,"Reline or repair ladles and pouring spouts with refractory clay, using trowels.",49-9045.00,7112,Murere,0.002,E0,0.0,,,,
361,3,Pleie- og omsorgsfag,1,20578,Listen and provide emotional support and encouragement to psychiatric patients.,31-1133.00,5321,Helsefagarbeidere,0.0271,E0,0.0,0.0071,34,0.0,
361,3,Pleie- og omsorgsfag,2,18696,Complete physical checks and monitor patients to detect unusual or harmful behavior and report observations to professional staff.,31-1133.00,5321,Helsefagarbeidere,0.0251,E0,0.0,,,,
361,3,Pleie- og omsorgsfag,3,2005,Maintain patients' restrictions to assigned areas.,31-1133.00,5321,Helsefagarbeidere,0.0236,E0,0.0,,,,
361,3,Pleie- og omsorgsfag,4,830,"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",43-9061.00,4110,Kontormedarbeidere,0.0013,E0,0.0,0.023,221,0.5068,1.0
361,3,Pleie- og omsorgsfag,5,13140,Train workers in proper operational procedures and functions and explain company policies.,39-1022.00,5311,Barnehage- og skolefritidsassistenter mv.,0.0012,E0,0.0,,,,
361,3,Pleie- og omsorgsfag,6,826,"Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",43-9061.00,4110,Kontormedarbeidere,0.0012,E2,0.5,0.0103,60,0.5333,1.0
361,3,Pleie- og omsorgsfag,7,13142,Meet with managers or other supervisors to stay informed of changes affecting operations.,39-1022.00,5311,Barnehage- og skolefritidsassistenter mv.,0.0012,E0,0.0,,,,
361,3,Pleie- og omsorgsfag,8,827,"Answer telephones, direct calls, and take messages.",43-9061.00,4110,Kontormedarbeidere,0.0012,E2,0.5,0.0109,24,1.0,1.0
361,3,Pleie- og omsorgsfag,9,13138,"Assign work schedules, following work requirements, to ensure quality and timely delivery of service.",39-1022.00,5311,Barnehage- og skolefritidsassistenter mv.,0.0011,E2,0.5,,,,
361,3,Pleie- og omsorgsfag,10,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.001,E2,0.5,0.0243,223,0.4305,0.8399
362,3,Sosialfag,1,13140,Train workers in proper operational procedures and functions and explain company policies.,39-1022.00,5311,Barnehage- og skolefritidsassistenter mv.,0.0137,E0,0.0,,,,
362,3,Sosialfag,2,13142,Meet with managers or other supervisors to stay informed of changes affecting operations.,39-1022.00,5311,Barnehage- og skolefritidsassistenter mv.,0.0133,E0,0.0,,,,
362,3,Sosialfag,3,13138,"Assign work schedules, following work requirements, to ensure quality and timely delivery of service.",39-1022.00,5311,Barnehage- og skolefritidsassistenter mv.,0.013,E2,0.5,,,,
362,3,Sosialfag,4,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.0029,E0,0.0,,,,1.0
362,3,Sosialfag,5,20578,Listen and provide emotional support and encouragement to psychiatric patients.,31-1133.00,5321,Helsefagarbeidere,0.0028,E0,0.0,0.0071,34,0.0,
362,3,Sosialfag,6,2430,Receive payment or obtain credit authorization.,41-2022.00,5223,Butikkmedarbeidere,0.0028,E0,0.0,0.0078,66,0.2727,0.8148
362,3,Sosialfag,7,700,"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",41-2031.00,5223,Butikkmedarbeidere,0.0027,E2,0.5,0.1157,1153,0.4605,0.9403
362,3,Sosialfag,8,18696,Complete physical checks and monitor patients to detect unusual or harmful behavior and report observations to professional staff.,31-1133.00,5321,Helsefagarbeidere,0.0026,E0,0.0,,,,
362,3,Sosialfag,9,2005,Maintain patients' restrictions to assigned areas.,31-1133.00,5321,Helsefagarbeidere,0.0025,E0,0.0,,,,
362,3,Sosialfag,10,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0023,E2,0.5,0.0243,223,0.4305,0.8399
368,3,Idrettsfag,1,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0106,E2,0.5,0.0243,223,0.4305,0.8399
368,3,Idrettsfag,2,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0095,E2,0.5,,,,
368,3,Idrettsfag,3,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.009,E2,0.5,,,,
368,3,Idrettsfag,4,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.003,E0,0.0,,,,1.0
368,3,Idrettsfag,5,2430,Receive payment or obtain credit authorization.,41-2022.00,5223,Butikkmedarbeidere,0.0029,E0,0.0,0.0078,66,0.2727,0.8148
368,3,Idrettsfag,6,700,"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",41-2031.00,5223,Butikkmedarbeidere,0.0029,E2,0.5,0.1157,1153,0.4605,0.9403
368,3,Idrettsfag,7,830,"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",43-9061.00,4110,Kontormedarbeidere,0.0029,E0,0.0,0.023,221,0.5068,1.0
368,3,Idrettsfag,8,826,"Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",43-9061.00,4110,Kontormedarbeidere,0.0027,E2,0.5,0.0103,60,0.5333,1.0
368,3,Idrettsfag,9,827,"Answer telephones, direct calls, and take messages.",43-9061.00,4110,Kontormedarbeidere,0.0026,E2,0.5,0.0109,24,1.0,1.0
368,3,Idrettsfag,10,20276,"Examine shipment contents and compare with records, such as manifests, invoices, or orders, to verify accuracy.",43-5071.00,4321,Lagermedarbeidere og material-forvaltere,0.0024,E2,0.5,,,,1.0
369,3,"Helse-, sosial- og idrettsfag, andre",1,20578,Listen and provide emotional support and encouragement to psychiatric patients.,31-1133.00,5321,Helsefagarbeidere,0.0055,E0,0.0,0.0071,34,0.0,
369,3,"Helse-, sosial- og idrettsfag, andre",2,18696,Complete physical checks and monitor patients to detect unusual or harmful behavior and report observations to professional staff.,31-1133.00,5321,Helsefagarbeidere,0.0051,E0,0.0,,,,
369,3,"Helse-, sosial- og idrettsfag, andre",3,2005,Maintain patients' restrictions to assigned areas.,31-1133.00,5321,Helsefagarbeidere,0.0048,E0,0.0,,,,
369,3,"Helse-, sosial- og idrettsfag, andre",4,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.0043,E0,0.0,,,,1.0
369,3,"Helse-, sosial- og idrettsfag, andre",5,2430,Receive payment or obtain credit authorization.,41-2022.00,5223,Butikkmedarbeidere,0.0041,E0,0.0,0.0078,66,0.2727,0.8148
