O*NET-SOC Code	Task ID	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-2011.00	3229	RT	n/a	78.24	73	5.4189	65.5963	87.1525	N	08/2018	Incumbent
11-2011.00	3239	IM	n/a	3.54	51	0.1265	3.2835	3.7917	N	08/2018	Incumbent
11-2011.00	3239	RT	n/a	69.28	72	6.2706	55.6216	80.2312	N	08/2018	Incumbent
11-2011.00	3234	IM	n/a	3.25	57	0.1317	2.9850	3.5126	N	08/2018	Incumbent
11-2011.00	3234	RT	n/a	86.55	72	4.4916	74.8830	93.2835	N	08/2018	Incumbent
11-2011.00	18586	IM	n/a	3.89	27	0.1991	3.4764	4.2950	N	08/2018	Incumbent
11-2011.00	18586	RT	n/a	41.07	72	6.2913	29.3324	53.9247	N	08/2018	Incumbent
11-2011.00	3228	IM	n/a	3.81	44	0.1563	3.4966	4.1270	N	08/2018	Incumbent
11-2011.00	3228	RT	n/a	63.17	72	6.6404	49.2582	75.1853	N	08/2018	Incumbent
11-2011.00	3235	IM	n/a	3.68	38	0.1708	3.3323	4.0243	N	08/2018	Incumbent
11-2011.00	3235	RT	n/a	58.64	69	5.6716	47.0659	69.3339	N	08/2018	Incumbent
11-2011.00	3241	IM	n/a	3.62	45	0.1596	3.3006	3.9439	N	08/2018	Incumbent
11-2011.00	3241	RT	n/a	61.21	72	6.5426	47.6676	73.2138	N	08/2018	Incumbent
11-2011.00	3240	IM	n/a	3.61	45	0.1360	3.3381	3.8861	N	08/2018	Incumbent
11-2011.00	3240	RT	n/a	62.26	72	5.7167	50.3859	72.8229	N	08/2018	Incumbent
11-2011.00	3236	IM	n/a	3.50	45	0.1233	3.2502	3.7473	N	08/2018	Incumbent
11-2011.00	3236	RT	n/a	63.96	72	6.3000	50.7162	75.3722	N	08/2018	Incumbent
11-2011.00	3245	IM	n/a	3.43	47	0.1588	3.1098	3.7492	N	08/2018	Incumbent
11-2011.00	3245	RT	n/a	65.01	74	6.5627	51.1122	76.7544	N	08/2018	Incumbent
11-2011.00	3244	IM	n/a	3.35	29	0.1747	2.9921	3.7077	N	08/2018	Incumbent
11-2011.00	3244	RT	n/a	40.08	71	6.6997	27.7210	53.8523	N	08/2018	Incumbent
11-2021.00	951	IM	n/a	4.30	113	0.1163	4.0663	4.5270	N	07/2015	Incumbent
11-2021.00	951	RT	n/a	98.32	117	1.1254	93.8163	99.5604	N	07/2015	Incumbent
11-2021.00	20709	IM	n/a	4.24	114	0.0637	4.1123	4.3645	N	07/2015	Incumbent
11-2021.00	20709	RT	n/a	98.22	117	1.1929	93.4598	99.5318	N	07/2015	Incumbent
11-2021.00	952	IM	n/a	3.99	95	0.1327	3.7297	4.2569	N	07/2015	Incumbent
11-2021.00	952	RT	n/a	81.95	116	4.2214	72.0658	88.8785	N	07/2015	Incumbent
11-2021.00	950	IM	n/a	3.87	93	0.1527	3.5698	4.1764	N	07/2015	Incumbent
11-2021.00	950	RT	n/a	71.63	117	5.0429	60.6988	80.4973	N	07/2015	Incumbent
11-2021.00	957	IM	n/a	3.70	103	0.1629	3.3784	4.0247	N	07/2015	Incumbent
11-2021.00	957	RT	n/a	84.10	116	5.9175	68.7611	92.7013	N	07/2015	Incumbent
11-2021.00	954	IM	n/a	3.66	81	0.1199	3.4199	3.8971	N	07/2015	Incumbent
11-2021.00	954	RT	n/a	75.29	117	5.2447	63.5451	84.1884	N	07/2015	Incumbent
11-2021.00	956	IM	n/a	3.65	89	0.1581	3.3358	3.9640	N	07/2015	Incumbent
11-2021.00	956	RT	n/a	74.34	113	6.9076	58.5680	85.5822	N	07/2015	Incumbent
11-2021.00	958	IM	n/a	3.56	104	0.1142	3.3317	3.7846	N	07/2015	Incumbent
11-2021.00	958	RT	n/a	87.23	116	4.4992	75.4244	93.8281	N	07/2015	Incumbent
11-2021.00	955	IM	n/a	3.53	79	0.1762	3.1750	3.8764	N	07/2015	Incumbent
11-2021.00	955	RT	n/a	72.90	115	4.2544	63.7148	80.4749	N	07/2015	Incumbent
11-2021.00	961	IM	n/a	3.41	114	0.1448	3.1238	3.6975	N	07/2015	Incumbent
11-2021.00	961	RT	n/a	97.54	116	2.0657	87.8235	99.5418	N	07/2015	Incumbent
11-2021.00	963	IM	n/a	3.40	96	0.0991	3.2063	3.5998	N	07/2015	Incumbent
11-2021.00	963	RT	n/a	88.47	116	3.5938	79.2492	93.9126	N	07/2015	Incumbent
11-2021.00	960	IM	n/a	3.14	73	0.1194	2.8986	3.3747	N	07/2015	Incumbent
11-2021.00	960	RT	n/a	67.35	115	5.2430	56.2636	76.7913	N	07/2015	Incumbent
11-2021.00	964	IM	n/a	3.41	72	0.3739	2.6669	4.1578	N	07/2015	Incumbent
11-2021.00	964	RT	n/a	63.56	116	5.4541	52.2483	73.5541	N	07/2015	Incumbent
11-2021.00	19502	IM	n/a	3.41	72	0.3739	2.6669	4.1578	N	07/2015	Incumbent
11-2021.00	19502	RT	n/a	63.56	116	5.4541	52.2483	73.5541	N	07/2015	Incumbent
11-2021.00	965	IM	n/a	3.17	72	0.1177	2.9341	3.4034	N	07/2015	Incumbent
11-2021.00	965	RT	n/a	63.31	116	4.7901	53.4173	72.1884	N	07/2015	Incumbent
11-2021.00	19505	IM	n/a	3.12	68	0.1828	2.7573	3.4869	N	07/2015	Incumbent
11-2021.00	19505	RT	n/a	48.28	116	6.0477	36.6152	60.1263	N	07/2015	Incumbent
11-2021.00	962	IM	n/a	3.06	67	0.2223	2.6178	3.5056	N	07/2015	Incumbent
11-2021.00	962	RT	n/a	66.15	113	4.6709	56.3858	74.7158	N	07/2015	Incumbent
11-2021.00	959	IM	n/a	2.70	89	0.1531	2.4004	3.0089	N	07/2015	Incumbent
11-2021.00	959	RT	n/a	74.62	115	4.4063	64.9645	82.3355	N	07/2015	Incumbent
11-2021.00	19503	IM	n/a	2.68	50	0.2747	2.1244	3.2283	N	07/2015	Incumbent
11-2021.00	19503	RT	n/a	36.66	115	6.8728	24.3553	50.9850	N	07/2015	Incumbent
11-2021.00	19504	IM	n/a	2.59	65	0.2483	2.0925	3.0847	N	07/2015	Incumbent
11-2021.00	19504	RT	n/a	46.94	116	7.2290	33.2374	61.1204	N	07/2015	Incumbent
11-2022.00	14	IM	n/a	4.65	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	14	RT	n/a	95.24	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1	IM	n/a	4.35	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1	RT	n/a	95.24	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2	IM	n/a	4.29	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2	RT	n/a	100.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	13	IM	n/a	4.24	17	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	13	RT	n/a	85.71	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	5	IM	n/a	4.21	19	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	5	RT	n/a	95.24	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	11	IM	n/a	4.19	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	11	RT	n/a	100.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	3	IM	n/a	4.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	3	RT	n/a	100.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	4	IM	n/a	3.95	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	4	RT	n/a	95.24	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	9	IM	n/a	3.70	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	9	RT	n/a	95.24	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	7	IM	n/a	3.53	19	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	7	RT	n/a	90.48	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	12	IM	n/a	3.50	14	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	12	RT	n/a	71.43	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	10	IM	n/a	3.33	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	10	RT	n/a	100.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	8	IM	n/a	3.25	16	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	8	RT	n/a	80.95	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	6	IM	n/a	3.06	17	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	6	RT	n/a	80.95	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	15	IM	n/a	3.00	15	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	15	RT	n/a	71.43	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	17	IM	n/a	3.23	13	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	17	RT	n/a	61.90	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	16	IM	n/a	2.92	13	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	16	RT	n/a	61.90	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2033.00	21252	IM	n/a	4.33	54	0.3480	3.6299	5.0000	N	08/2025	Incumbent
11-2033.00	21252	RT	n/a	100.00	56	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	21258	IM	n/a	4.31	48	0.2208	3.8624	4.7509	N	08/2025	Incumbent
11-2033.00	21258	RT	n/a	88.61	55	4.7043	75.3460	95.1974	N	08/2025	Incumbent
11-2033.00	21251	IM	n/a	4.11	50	0.2025	3.6986	4.5125	N	08/2025	Incumbent
11-2033.00	21251	RT	n/a	90.73	55	4.9450	75.0702	96.9553	N	08/2025	Incumbent
11-2033.00	21259	IM	n/a	4.07	48	0.1726	3.7214	4.4160	N	08/2025	Incumbent
11-2033.00	21259	RT	n/a	92.14	56	4.8672	75.2995	97.8308	N	08/2025	Incumbent
11-2033.00	21255	IM	n/a	3.95	48	0.1193	3.7138	4.1938	N	08/2025	Incumbent
11-2033.00	21255	RT	n/a	83.13	55	4.6931	71.5868	90.6029	N	08/2025	Incumbent
11-2033.00	21254	IM	n/a	3.95	50	0.2096	3.5245	4.3667	N	08/2025	Incumbent
11-2033.00	21254	RT	n/a	93.40	55	4.1734	78.4583	98.2121	N	08/2025	Incumbent
11-2033.00	21247	IM	n/a	3.93	48	0.2941	3.3412	4.5246	N	08/2025	Incumbent
11-2033.00	21247	RT	n/a	92.35	56	4.6205	76.4979	97.8164	N	08/2025	Incumbent
11-2033.00	21249	IM	n/a	3.76	42	0.1466	3.4602	4.0524	N	08/2025	Incumbent
11-2033.00	21249	RT	n/a	86.82	55	6.1879	69.0182	95.1165	N	08/2025	Incumbent
11-2033.00	21248	IM	n/a	3.56	43	0.2633	3.0324	4.0953	N	08/2025	Incumbent
11-2033.00	21248	RT	n/a	85.34	55	6.7397	66.4051	94.4849	N	08/2025	Incumbent
11-2033.00	21261	IM	n/a	3.50	35	0.3161	2.8573	4.1420	N	08/2025	Incumbent
11-2033.00	21261	RT	n/a	73.21	56	6.6794	58.0025	84.3952	N	08/2025	Incumbent
11-2033.00	21257	IM	n/a	3.47	48	0.2103	3.0498	3.8959	N	08/2025	Incumbent
11-2033.00	21257	RT	n/a	81.19	55	5.8009	66.8377	90.2377	N	08/2025	Incumbent
11-2033.00	21246	IM	n/a	3.39	45	0.3173	2.7488	4.0277	N	08/2025	Incumbent
