outcome,age_bin,ai_q,7b_firm_coef,7d_cell_restricted_coef,7d_cell_unrestr_coef,cell_microdata_coef,7b_firm_p_value,7d_cell_restricted_p_value,7d_cell_unrestr_p_value,cell_microdata_p_value,7b_firm_se,7d_cell_restricted_se,7d_cell_unrestr_se,cell_microdata_se
employment,3,4,-0.0126301109566428,0.0059885795036946,0.0119556638263178,3.74802992245127e-05,0.18414017090339,0.696009183275965,0.536796204139177,0.99805937486341,0.0095098033345999,0.0153272996976172,0.0193562275697753,0.0154099429287203
employment,3,5,-0.0206787565219554,-0.0154581849115754,-0.0158692714439133,-0.0145643332987628,0.0559523631914595,0.405942384478141,0.347710109503069,0.389401630977916,0.0108186074595068,0.0186006692082302,0.016899459246086,0.0169214386488344
employment,4,2,-0.0125315198306968,-0.005953238511347,0.0089328087384996,0.0080457289552312,0.458773914178773,0.858988496412391,0.743337869889933,0.764313504991956,0.0169146621931727,0.0335088051702828,0.0272810531905024,0.0268350857056645
employment,4,3,0.0089564055046144,0.010700031986633,0.0107979941593419,0.0101828985291997,0.402074939821618,0.494456041952225,0.425662214195423,0.450092131962129,0.0106888393503153,0.0156607529395061,0.0135544820327823,0.013482614135367
employment,4,4,0.0248402971236032,0.0319694228517974,0.03900690983921,0.0215690432737418,0.0053556026609753,0.0424820856392081,0.069005805952493,0.107093579764996,0.0089198657418964,0.0157580598306776,0.0214514415729201,0.0133853205256374
employment,4,5,0.0071302252884361,0.0092768473127954,0.0079260017597539,0.0102792406761245,0.459717788063326,0.630842372943535,0.622281815175826,0.535084699090622,0.0096444110797543,0.0193049851909641,0.0160895167273058,0.0165723925248805
log_wage,1,2,-0.0140431067017295,-0.0208345517105905,-0.0146293089204325,-0.0046217784875927,0.0980391400791154,0.0915744549689627,0.131894136922086,0.577151089255584,0.0084877937661966,0.0123184329037736,0.0096894183603683,0.0082824997324823
log_wage,1,3,-0.0039879071474437,-0.006704990026416,-0.0059318690692018,-0.0022481283725634,0.582240214790847,0.368847053992029,0.370069116005362,0.710141536240281,0.0072491106002366,0.0074526370797963,0.0066102381865099,0.0060443970964548
log_wage,1,4,-0.0059658894860928,-0.027213003176978,-0.0207277653831793,-0.0195786507438203,0.410371011114638,0.0290716093486226,0.0809032339057,0.0678542923423037,0.0072466935011352,0.0124224716427238,0.0118445356276688,0.0106926723802357
log_wage,1,5,0.0020399304669463,-0.0332654714905423,-0.02473977043379,-0.0245517708377342,0.801684621835618,0.0001058342385678,0.0014136346991175,0.0003107551807254,0.0081216943968956,0.0084923314118058,0.0076956439359816,0.0067475254613433
log_wage,2,2,0.0003132484140485,-0.0130418963186078,-0.0068612613528074,-0.0036897500697089,0.956742844114675,0.177026730029929,0.329781602563907,0.545733732293094,0.0057750145379601,0.0096431510883415,0.0070316581077957,0.0061018429515611
log_wage,2,3,0.0074498762761572,-0.0048359601585023,-0.0047435996901801,-0.0058239303003074,0.120891000620218,0.478334125839085,0.352036823365136,0.205407663164035,0.0048029477326042,0.0068142955596153,0.0050910394029617,0.0045915151034598
log_wage,2,4,0.0097685819070174,-0.0066324793547692,-0.0022606258994205,-0.0089817229420402,0.0465533910547325,0.401280915056573,0.797200267357908,0.0923753447956154,0.0049077157229058,0.0078932888408816,0.00879118353503,0.0053236269570089
log_wage,2,5,0.0162323307664707,-0.0010446318595316,0.0026620091479873,-0.0078400472920529,0.0020631907487775,0.879936966854218,0.658079908941917,0.137830448819282,0.0052679250525536,0.0069112381922459,0.0060103605161066,0.0052724948459848
log_wage,3,2,-0.0010516178293445,-0.0066084811165825,-0.005770308834786,-0.0025882362644308,0.850438062437992,0.47548055798013,0.406279914513212,0.698930385163327,0.0055770466888602,0.0092518383657493,0.0069408775422111,0.0066871119962294
log_wage,3,3,0.0064791581113129,-0.0013856733375956,-0.0028242744637015,-0.0042282517220239,0.154123219361162,0.873624240489758,0.643138591419409,0.386043175883323,0.0045462432665542,0.0087060392963165,0.0060910882942891,0.0048724668249429
log_wage,3,4,0.0186273592613831,0.0122208452518057,0.0114017816309039,-0.0023268544638783,2.16102881893094e-05,0.182008769315624,0.247352197495799,0.629313788410626,0.0043844517010773,0.0091404710109562,0.0098416120269199,0.0048167788885334
log_wage,3,5,0.0178991495245648,0.0103774202408801,0.0098301848048618,-0.0039647420963351,0.0001412731612523,0.122319723546806,0.0604004037398871,0.383868148621135,0.0047021235232269,0.006701564646197,0.0052197098276323,0.0045479285892308
log_wage,4,2,0.0039164011450478,0.0015792024855418,0.0002048316023318,-2.76283078918527e-05,0.499516625063516,0.860138692399986,0.978542929125592,0.997126834166073,0.005799822330581,0.0089566790713119,0.0076109182474394,0.0076675220125314
log_wage,4,3,0.0043608425514587,0.0035766581799517,-0.0008469375368663,-0.000240150216063,0.33509491697141,0.584299268808948,0.88741316453577,0.96144293328791,0.004524049786664,0.0065317832304086,0.0059782266410856,0.0049644551422335
log_wage,4,4,0.019911826254832,0.0226695495932803,0.0159122187520517,0.0018425260443962,1.64734220409214e-05,0.0274416114054161,0.233547390986308,0.753647769878706,0.0046209723488037,0.0102410139481094,0.0133367424598084,0.0058669146073657
log_wage,4,5,0.0128891250915208,0.0126970737216606,0.0103864980805673,-0.0004856474341664,0.0092664077966152,0.0286908985763794,0.0672893877686782,0.918154976315852,0.0049529598091499,0.0057820221903284,0.0056607600215462,0.0047230712839097
new_hires,1,2,0.174663383515071,0.340798901889917,0.234657987416002,0.124714160775271,0.189316914640348,0.014997563728885,0.0213978712791977,0.123411004189746,0.133066468126865,0.140105901244943,0.101985764948236,0.0809509990353916
new_hires,1,3,0.175050750842327,0.276534749521393,0.194283366633189,0.115751244433009,0.21980221661011,0.0258142220530773,0.0317148245031238,0.117587786505144,0.142659345795704,0.124062512828132,0.0904490613579843,0.0739634395399391
new_hires,1,4,0.239304821561449,0.164827710355995,0.202717045248174,0.0713165647963172,0.17825525078404,0.197377646512666,0.120853396992508,0.354172061666335,0.177770256274819,0.127866712341047,0.130683887345216,0.0769719052015608
new_hires,1,5,0.200126392436813,0.0280375312962513,-0.0286606917218166,-0.0423566594448011,0.174210852295326,0.845193489993616,0.792143094162874,0.616324282232607,0.147282014170372,0.143594590591183,0.108757376697545,0.0845330003406428
new_hires,2,2,0.128034184468888,0.386679818739486,0.26545314064626,0.247541279323209,0.315205745323362,0.0784591925914928,0.0880503516255839,0.042980165925222,0.1274785426984,0.219742271506659,0.155620437387326,0.122308884469015
new_hires,2,3,0.0496830932603511,0.243512922188533,0.180700576970334,0.177523362812159,0.70237023694591,0.238520982096732,0.215209686680042,0.0814734398563472,0.130018636864248,0.206595950988978,0.145800722914907,0.101896082294789
new_hires,2,4,0.19213733893531,0.128465551562821,0.263528077528692,0.130293137691575,0.131767526548178,0.534229913769945,0.254149673248392,0.203190913201053,0.127482339210859,0.206681797384958,0.231098487083176,0.102390418925357
new_hires,2,5,0.135582310259822,0.0463064500525734,-0.0028454880549362,0.0159686287493379,0.327727112160217,0.823388614719945,0.98469377503811,0.879587475986983,0.138532743797348,0.2074766403942,0.148320812687357,0.105408928255998
new_hires,3,2,0.116749478657561,0.409770268192174,0.251703387878518,0.18357002493152,0.344747670841936,0.0829145236909783,0.122727383637616,0.140915320271133,0.123567162414098,0.236312299551852,0.163080927560581,0.124674780051858
new_hires,3,3,0.0689556687045496,0.172553674877708,0.136226024642381,0.0998768267635791,0.542552467993441,0.431129981702759,0.388884650728802,0.363806589925669,0.113235561596519,0.219182719565356,0.158100525719719,0.109980082325981
new_hires,3,4,0.0426445678989542,0.106239699594127,0.25978569560802,0.0591498260244795,0.713959825165012,0.624247102956273,0.271191412927263,0.581806595999974,0.116342560568322,0.216886520864698,0.236099486075205,0.107399121237986
new_hires,3,5,-0.0171422069400093,-0.0026596806189322,-0.0412103318201171,-0.0115633191245135,0.899231828140074,0.990257254219472,0.786801323010463,0.91659744830988,0.135370477022854,0.217809785212022,0.152367555139581,0.110420583806652
new_hires,4,2,0.308755271632377,0.40076735456859,0.281520495810994,0.242182793159245,0.0542530096576067,0.0999854962248755,0.109157112345759,0.0952187463749762,0.160408099599502,0.243638835560248,0.175731392075327,0.145150990901248
new_hires,4,3,0.0619248599803539,0.0583203749688396,0.0364338191133908,0.065666363145623,0.636783917744876,0.788842094436139,0.809341199381264,0.560811269000007,0.131141121484134,0.217764052615775,0.151004728625308,0.1128992347211
new_hires,4,4,0.161484394530554,0.0638059643918891,0.323952512152711,-0.0043049196005254,0.253913910447472,0.770290482162988,0.275104734910443,0.971140722631431,0.141541941350525,0.218517352940759,0.296827736177978,0.118993962506749
new_hires,4,5,-0.0695687432368417,0.0911780077181483,0.0265944803909517,0.0199978851355745,0.652004812936881,0.664499348784231,0.85486349654676,0.858485832785376,0.154261663525134,0.210228253785569,0.145391329075959,0.112157399499181
