styrk08,styrk08_name,eloundou_beta,eloundou_q,felten_aioe,felten_q,felten_aioe_lm,felten_lm_q,handa_overall,handa_overall_q,handa_automation,handa_automation_q,handa_augmentation,handa_augmentation_q,anthropic2026_job_exposure,anthropic2026_q,mouchel_grounded,mouchel_grounded_q,mouchel_calibrated,mouchel_calibrated_q,relational,relational_q,ai_exposure_z,relational_z,exposure_relational_interaction,quadrant
2149,Andre sivilingeniører (unntatt elektroteknologi),0.530886,5.0,1.022034,4.0,0.786514,4.0,0.23907805,5.0,0.12969719,2.0,0.62030281,3.0,0.03974,3.0,0.506593,4.0,0.404771,4.0,-0.136629,3.0,0.9906650250291682,-0.18213869860547607,-0.18043843841277407,exposed_transactional
2151,Sivilingeniører (elkraftteknikk),0.5625,5.0,1.126725,5.0,0.901124,4.0,0.0856583,4.0,0.22274143,2.0,0.77725857,5.0,0.059,4.0,0.406653,4.0,0.331435,4.0,-0.29642,3.0,1.120704785407372,-0.3632969981258794,-0.4071486843238061,exposed_transactional
2152,Sivilingeniører (elektronikk),0.673685,5.0,0.903635,4.0,0.71689,4.0,0.39112838,5.0,0.29677448,3.0,0.70322552,4.0,0.1226,4.0,0.507089,4.0,0.422367,4.0,-0.587622,2.0,1.2625019368382393,-0.6934386152190853,-0.8754675947925218,exposed_transactional
2153,Sivilingeniører (telekommunikasjon),0.620098,5.0,0.665458,4.0,0.456918,4.0,0.12674141,4.0,0.42028986,5.0,0.57971014,3.0,0.0999,4.0,0.525627,5.0,0.459141,5.0,-0.371559,2.0,1.009674407849268,-0.44848360730701964,-0.45282242063781875,exposed_transactional
2161,Sivilarkitekter,0.488372,4.0,1.047142,5.0,0.610359,4.0,0.07662001,4.0,0.33843537,4.0,0.66156463,4.0,0.0784,4.0,0.591008,5.0,0.581965,5.0,0.506762,4.0,0.9043217290744796,0.5472867351594531,0.49492328663892343,exposed_relational
2162,Landskapsarkitekter,0.421053,4.0,1.034388,4.0,0.836376,4.0,0.05371617,3.0,0.39675174,5.0,0.60324826,3.0,0.0,1.0,0.513539,5.0,0.422556,4.0,0.956947,5.0,0.7395775762867283,1.0576706057754,0.7822294631290859,exposed_relational
2163,Produkt- og klesdesignere,0.428071,4.0,0.723596,4.0,0.53381,4.0,0.03271243,3.0,0.419619,5.0,0.580381,3.0,0.05025,3.0,0.438437,4.0,0.34102,4.0,0.452504,4.0,0.5901840445462964,0.48577333944018203,0.2866956742035675,exposed_relational
2164,Arealplanleggere,0.477273,4.0,1.227516,5.0,1.07547,5.0,0.04704017,3.0,0.33653846,4.0,0.66346154,4.0,0.0959,4.0,0.507467,4.0,0.4347,4.0,0.907848,4.0,0.9745413795669366,1.0020060730535802,0.9764963807680848,exposed_relational
2165,"Landmålere, kartografer mv.",0.515035,4.0,0.481529,4.0,0.175515,3.0,0.02495799,2.0,0.56464516,5.0,0.43535484,2.0,0.0411,3.0,0.536553,5.0,0.489487,5.0,-0.39473,2.0,0.665028714162923,-0.474753040242462,-0.31572440389738293,exposed_transactional
2166,Grafiske- og multimediadesignere,0.5125,4.0,0.71078,4.0,0.479587,4.0,0.41950996,5.0,0.45199516,5.0,0.54800484,2.0,0.36215,5.0,0.588016,5.0,0.571601,5.0,-0.080323,3.0,0.7814243538348753,-0.11830344372381299,-0.0924451920683211,exposed_transactional
2211,Allmennpraktiserende leger,0.45161,4.0,0.978212,4.0,0.970315,4.0,0.12937116,4.0,0.20550323,2.0,0.79449677,5.0,0.0371,3.0,0.191846,3.0,0.113631,2.0,1.512028,5.0,0.7812885547521975,1.6869772003651138,1.318015978773168,exposed_relational
2212,Legespesialister,0.379361,3.0,0.490841,4.0,0.483067,4.0,0.10122024,4.0,0.12910744,2.0,0.47089256,2.0,0.02658,3.0,0.192104,3.0,0.138941,3.0,1.518028,5.0,0.3516920223691463,1.693779522129934,0.5956887455853227,exposed_relational
2221,Spesialsykepleiere,0.342779,3.0,0.220262,3.0,0.236154,3.0,0.25676947,5.0,0.2578317,3.0,0.7421683,4.0,0.0513,4.0,0.252289,3.0,0.146624,3.0,1.686984,5.0,0.12146831514353924,1.8853283681461008,0.22900766037102516,exposed_relational
2222,Jordmødre,0.390244,3.0,0.196627,3.0,0.305224,3.0,0.06645194,3.0,0.35769231,4.0,0.64230769,3.0,0.052,4.0,0.265912,3.0,0.176619,3.0,1.701019,5.0,0.22021329053009428,1.90124013247431,0.41867834566004014,exposed_relational
2223,Sykepleiere,0.342779,3.0,0.220262,3.0,0.236154,3.0,0.25676947,5.0,0.2578317,3.0,0.7421683,4.0,,,0.252289,3.0,0.146624,3.0,1.686984,5.0,0.12146831514353924,1.8853283681461008,0.22900766037102516,exposed_relational
2224,Vernepleiere,0.342779,3.0,0.220262,3.0,0.236154,3.0,0.25676947,5.0,0.2578317,3.0,0.7421683,5.0,,,0.252289,3.0,0.146624,3.0,1.686984,5.0,0.12146831514353924,1.8853283681461008,0.22900766037102516,exposed_relational
2250,Veterinærer,0.27027,3.0,-0.074996,3.0,-0.084255,3.0,0.03214754,3.0,0.19512195,2.0,0.80487805,5.0,0.0926,4.0,0.12607,2.0,0.077234,2.0,0.694698,4.0,-0.20621439405083972,0.7603535923583349,-0.15679585531255322,shielded_relational
2261,Tannleger,0.158864,2.0,-0.103694,3.0,-0.217969,3.0,0.01165733,2.0,0.05290102,1.0,0.19709898,1.0,0.007725,2.0,0.130794,2.0,0.087363,2.0,1.388637,5.0,-0.4829002530985722,1.5470863195512876,-0.7470883752766554,shielded_relational
2262,Farmasøyter,0.428571,4.0,0.60587,4.0,0.570596,4.0,0.14820734,4.0,0.09682417,1.0,0.90317583,5.0,0.0896,4.0,0.390675,4.0,0.266757,4.0,0.840982,4.0,0.5285309594854336,0.9261987318658332,0.48952470442724066,exposed_relational
2263,Helse- og miljørådgivere,0.432796,4.0,0.763298,4.0,0.783148,4.0,0.04662934,3.0,0.52771084,5.0,0.47228916,2.0,0.0688,4.0,0.487838,4.0,0.409286,4.0,1.034449,5.0,0.6224569480493516,1.1455361960115853,0.7130469644494352,exposed_relational
2264,Fysioterapeuter,0.225745,2.0,-0.195691,3.0,0.123902,3.0,0.08139592,4.0,0.18134691,2.0,0.81865309,5.0,0.0087,2.0,0.226148,3.0,0.155122,3.0,1.417659,5.0,-0.37508554511438585,1.579989149927724,-0.5926310915754555,shielded_relational
2265,Ernæringsfysiologer,0.54878,5.0,1.342809,5.0,1.363892,5.0,0.39768456,5.0,0.20458789,2.0,0.79541211,5.0,0.1328,4.0,0.418224,4.0,0.327777,4.0,1.634997,5.0,1.203832425871974,1.8263896512148143,2.198667084409398,exposed_relational
2266,Audiografer og logopeder,0.452882,4.0,0.889587,4.0,1.019442,5.0,0.01165733,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0.328922,4.0,0.26239,4.0,1.553053,5.0,0.7369768259298894,1.7334880754320734,1.2775405396192423,exposed_relational
2267,Ergoterapeuter,0.289015,3.0,0.115161,3.0,0.265705,3.0,0.0526891,3.0,0.31635389,4.0,0.68364611,4.0,0.008,2.0,0.223788,3.0,0.112442,2.0,1.422558,5.0,-0.06075659116505383,1.5855432456487,-0.09633220275039057,shielded_relational
2269,Kiropraktorer mv.,0.454545,4.0,-0.191176,3.0,0.051627,3.0,0.02002802,2.0,0.14285714,2.0,0.85714286,5.0,0.0,1.0,0.156827,2.0,0.074525,2.0,1.061064,5.0,0.16411399014815714,1.1757101616400345,0.19295048588448085,exposed_relational
2310,Universitets- og høyskolelektorer/-lærere,0.485747,4.0,1.23984,5.0,1.524427,5.0,0.10163082,4.0,0.31146596,4.0,0.68853404,4.0,0.131794,4.0,0.452818,4.0,0.400581,4.0,0.233691,3.0,1.0009991948503567,0.23770060071924026,0.23793810993540562,exposed_relational
2320,Yrkesfaglærere,0.381031,3.0,0.351863,4.0,0.486471,4.0,0.15526678,4.0,0.36819453,4.0,0.63180547,3.0,0.0521,4.0,0.237466,3.0,0.178832,3.0,0.844979,4.0,0.28144245686304314,0.9307302118814977,0.2619469975085894,exposed_relational
2330,Lektorer mv. (videregående skole),0.333333,3.0,1.191325,5.0,1.248528,5.0,0.05387764,3.0,0.39257775,4.0,0.60742225,3.0,0.2901,5.0,0.272127,3.0,0.202271,3.0,0.973101,5.0,0.6175284221542839,1.0759847234068847,0.6644511485075671,exposed_relational
2341,Grunnskolelærere,0.329318,3.0,1.086697,5.0,1.150476,5.0,0.05755342,3.0,0.40727042,5.0,0.59272958,3.0,0.2001,5.0,0.256368,3.0,0.194303,3.0,1.397832,5.0,0.5522725814110848,1.557510877655875,0.8601705529788544,exposed_relational
2342,Førskole-/barnehagelærere,0.230075,2.0,0.197521,3.0,0.487679,4.0,0.02645666,2.0,0.45249765,5.0,0.54750235,2.0,0.0,1.0,0.093354,2.0,0.067873,2.0,1.291678,5.0,-0.15508375803985947,1.437161933552084,-0.22288047356708798,shielded_relational
2351,Spesialister i pedagogikk,0.4875,4.0,1.301855,5.0,1.32382,5.0,1.67239091,5.0,0.38323622,4.0,0.61676378,3.0,0.3043,5.0,0.188204,3.0,0.183848,3.0,1.366014,5.0,1.0382071056107027,1.5214381653370324,1.5795679140002181,exposed_relational
2352,Spesiallærere / spesialpedagoger,0.312962,3.0,0.54047,4.0,0.738011,4.0,0.04084814,3.0,0.49998756,5.0,0.50001244,2.0,0.0661,4.0,0.173954,3.0,0.121188,3.0,1.3873,5.0,0.2223978588329278,1.545570535518027,0.3437315777744708,exposed_relational
2353,Andre språklærere,0.405465,4.0,1.066878,5.0,1.250334,5.0,0.87680741,5.0,0.36533475,4.0,0.63466525,3.0,0.179167,5.0,0.260103,3.0,0.200171,3.0,0.452055,4.0,0.7203451552917335,0.4852642990281146,0.3495577868409414,exposed_relational
2354,Andre musikklærere,0.36,3.0,0.526352,4.0,0.824783,4.0,0.22905172,5.0,0.40248933,5.0,0.59751067,3.0,0.0662,4.0,0.295006,3.0,0.227867,4.0,-0.102901,3.0,0.3252199263825588,-0.14390058052483223,-0.04679933620469341,exposed_transactional
2355,Andre lærere i estetiske fag,0.405992,4.0,0.925841,4.0,1.155461,5.0,1.18545997,5.0,0.36040834,4.0,0.63959166,3.0,0.23695,5.0,0.234294,3.0,0.180891,3.0,0.420621,4.0,0.6463151712981274,0.4496269353022205,0.2906007097101067,exposed_relational
2356,Andre IKT-lærere,0.552632,5.0,1.198409,5.0,1.322911,5.0,0.02680673,2.0,0.36871508,4.0,0.63128492,3.0,0.2793,5.0,0.677792,5.0,0.584875,5.0,1.14532,5.0,1.1358085463220657,1.2712328987428192,1.4438771907578674,exposed_relational
2359,Andre lærere,0.370729,3.0,1.149629,5.0,1.341261,5.0,1.29149101,5.0,0.30099609,3.0,0.69900391,4.0,0.26295,5.0,0.287417,3.0,0.216369,3.0,1.416385,5.0,0.6830119053322032,1.5785447902729939,1.0781648848565808,exposed_relational
2411,"Revisorer, regnskapsrådgivere",0.568333,5.0,1.426218,5.0,1.219239,5.0,0.14995337,4.0,0.26511552,3.0,0.73488448,4.0,0.1811,5.0,0.700461,5.0,0.699549,5.0,-0.201189,3.0,1.2942183102020508,-0.2553316807949438,-0.3304549364594816,exposed_transactional
2412,Finans- og investeringsrådgivere,0.498718,4.0,1.390682,5.0,1.334284,5.0,0.25353417,5.0,0.2579232,3.0,0.7420768,4.0,0.384325,5.0,0.662303,5.0,0.584296,5.0,0.992639,5.0,1.1119295525125314,1.0981353505137283,1.2210491488949218,exposed_relational
2413,Finansanalytikere,0.517664,5.0,1.417316,5.0,1.240985,5.0,0.09801747,4.0,0.18394741,2.0,0.48271926,2.0,0.20985,5.0,0.617386,5.0,0.568287,5.0,-0.237562,3.0,1.1705925684132534,-0.29656848905357935,-0.3471608693116673,exposed_transactional
2421,Organisasjonsrådgivere mv.,0.466311,4.0,1.36486,5.0,1.314455,5.0,0.12271013,4.0,0.3879206,4.0,0.6120794,3.0,0.2003,5.0,0.626217,5.0,0.577585,5.0,0.699336,4.0,1.0221188808096577,0.765611787082541,0.7825462629474887,exposed_relational
2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.56642,5.0,1.047687,5.0,0.92503,4.0,0.63637746,5.0,0.35486874,4.0,0.64513126,3.0,0.1846,5.0,0.680204,5.0,0.584746,5.0,0.363752,4.0,1.0877217944777053,0.38515339589495834,0.41893974293204617,exposed_relational
2423,Personal- og karriererådgivere,0.488693,4.0,1.277449,5.0,1.386777,5.0,0.21139427,5.0,0.40588235,5.0,0.59411765,3.0,0.146625,4.0,0.563693,5.0,0.49552,5.0,0.942323,5.0,1.0279814091211534,1.0410910801939444,1.0702222756412347,exposed_relational
2424,Rådgivere innen kompetanseutvikling,0.552632,5.0,1.198409,5.0,1.322911,5.0,0.02680673,2.0,0.36871508,4.0,0.63128492,3.0,0.2793,5.0,0.677792,5.0,0.584875,5.0,1.14532,5.0,1.1358085463220657,1.2712328987428192,1.4438771907578674,exposed_relational
2431,Reklame- og markedsføringsrådgivere,0.700863,5.0,1.207342,5.0,1.263195,5.0,0.97022912,5.0,0.40303511,5.0,0.59696489,3.0,0.44725,5.0,0.791306,5.0,0.770556,5.0,-0.099966,3.0,1.4883420470023858,-0.1405731114615409,-0.2092208724661643,exposed_transactional
2432,Informasjonsrådgivere,0.590909,5.0,1.284927,5.0,1.517637,5.0,0.3995333,5.0,0.36468074,4.0,0.63531926,3.0,0.453,5.0,0.70541,5.0,0.635101,5.0,1.556998,5.0,1.2717821620316654,1.737960601992443,2.210307291927804,exposed_relational
2433,Salgskonsulenter innen tekniske og medisinske produkter,0.517675,5.0,1.103697,5.0,1.105856,5.0,0.12484132,4.0,0.11808511,1.0,0.88191489,5.0,0.25005,5.0,0.486354,4.0,0.37811,4.0,1.196331,5.0,1.0032511732216263,1.3290651046670285,1.3333861255451198,exposed_relational
2434,Salgskonsulenter innen IKT-produkter,0.515571,4.0,1.117603,5.0,1.079205,5.0,0.10804859,4.0,0.16157504,2.0,0.83842496,5.0,0.274167,5.0,0.54363,5.0,0.443471,5.0,1.261885,5.0,1.0057360901227923,1.403385004828868,1.4114349476935417,exposed_relational
