timing,age_group,variant,term,k,coef,se,sd_int
agentic,1,corner75,wage,-3,0.0179748056503541,0.00286314649066525,0.264257925296955
agentic,1,corner75,wage,-2,0.0102102720910403,0.00191499291527477,0.264257925296955
agentic,1,corner75,wage,-1,0,0,0.264257925296955
agentic,1,corner75,wage,0,-0.00242317340956794,0.00413219461709165,0.264257925296955
agentic,1,corner75,wage,1,-0.024309323926332,0.0082597254158481,0.264257925296955
agentic,1,corner75,wage,2,-0.0179235652688894,0.0137151873734537,0.264257925296955
agentic,1,corner75,wage,3,0.0203163779263575,0.0220584019382156,0.264257925296955
agentic,1,corner75,wage,4,0.0169820158336611,0.0132343107201101,0.264257925296955
agentic,1,corner75,wage,5,0.0217538167529583,0.00890882234069547,0.264257925296955
agentic,1,corner75,wage,6,0.0181013558438804,0.00700487737642876,0.264257925296955
agentic,1,corner75,wage,7,0.0026108494656361,0.00830472182637173,0.264257925296955
agentic,1,corner75,wage,8,0.0171839505406011,0.00957613423372448,0.264257925296955
agentic,1,corner75,wage,9,0.015540941300923,0.00516917532974782,0.264257925296955
agentic,1,corner80,exp,-22,-0.0057747221739357,0.0114186036264586,0.199837596400339
agentic,1,corner80,exp,-21,-0.0158579415070782,0.011431649576564,0.199837596400339
agentic,1,corner80,exp,-20,-0.00904310138399751,0.00964442399067505,0.199837596400339
agentic,1,corner80,exp,-19,-0.00418282801932548,0.00889030308860217,0.199837596400339
agentic,1,corner80,exp,-18,-0.00147681113188503,0.00830790346896698,0.199837596400339
agentic,1,corner80,exp,-17,-0.000686412111864316,0.0080297564111599,0.199837596400339
agentic,1,corner80,exp,-16,0.0169331162264125,0.00625021631939958,0.199837596400339
agentic,1,corner80,exp,-15,0.0106155333947908,0.00639516276093415,0.199837596400339
agentic,1,corner80,exp,-14,0.0102188845975516,0.00573165614705689,0.199837596400339
agentic,1,corner80,exp,-13,0.00584943236204733,0.00485440112514282,0.199837596400339
agentic,1,corner80,exp,-12,-0.0027190964075199,0.00634888284766174,0.199837596400339
agentic,1,corner80,exp,-11,-0.00976453804990989,0.00638356668990733,0.199837596400339
agentic,1,corner80,exp,-10,-0.0126423899655934,0.00894200379949515,0.199837596400339
agentic,1,corner80,exp,-9,-0.0193172090837748,0.00900398945018192,0.199837596400339
agentic,1,corner80,exp,-8,-0.0120226431395746,0.00644986288869117,0.199837596400339
agentic,1,corner80,exp,-7,-0.0102658688463523,0.00502901096191459,0.199837596400339
agentic,1,corner80,exp,-6,-0.00576967183616188,0.00431264397071076,0.199837596400339
agentic,1,corner80,exp,-5,-0.0017998799533546,0.00474343729361898,0.199837596400339
agentic,1,corner80,exp,-4,0.0120668708121134,0.00394711419719926,0.199837596400339
agentic,1,corner80,exp,-3,0.00746416940071057,0.00236808953074377,0.199837596400339
agentic,1,corner80,exp,-2,0.00331088947429129,0.00174584823558745,0.199837596400339
agentic,1,corner80,exp,-1,0,0,0.199837596400339
agentic,1,corner80,exp,0,-0.0054966950335524,0.00548076217406338,0.199837596400339
agentic,1,corner80,exp,1,-0.0170939253752562,0.00696376863525788,0.199837596400339
agentic,1,corner80,exp,2,-0.0170873810016652,0.00967810337585798,0.199837596400339
agentic,1,corner80,exp,3,-0.0246188705213613,0.0103272086692684,0.199837596400339
agentic,1,corner80,exp,4,-0.0163816618643531,0.00744648473984819,0.199837596400339
agentic,1,corner80,exp,5,-0.0169555635274479,0.0062498999135125,0.199837596400339
agentic,1,corner80,exp,6,-0.0157961379869698,0.00640327956170511,0.199837596400339
agentic,1,corner80,exp,7,-0.0171275010833277,0.00700336309795319,0.199837596400339
agentic,1,corner80,exp,8,-0.00032079714073958,0.00803139750910897,0.199837596400339
agentic,1,corner80,exp,9,-0.00599026304132003,0.00583627357044177,0.199837596400339
agentic,1,corner80,int,-22,0.0760947124585002,0.0364571962143504,0.199837596400339
agentic,1,corner80,int,-21,0.088942126432818,0.0393797168395124,0.199837596400339
agentic,1,corner80,int,-20,0.10503670658244,0.0280971748969083,0.199837596400339
agentic,1,corner80,int,-19,0.084431981513885,0.0245442845241209,0.199837596400339
agentic,1,corner80,int,-18,0.078183790969068,0.0216562821584573,0.199837596400339
agentic,1,corner80,int,-17,0.0641685663822892,0.0203800881149491,0.199837596400339
agentic,1,corner80,int,-16,0.0570568736762842,0.018068942121405,0.199837596400339
agentic,1,corner80,int,-15,0.0478269538772529,0.0161822894870704,0.199837596400339
agentic,1,corner80,int,-14,0.0401836066474812,0.0154886511741427,0.199837596400339
agentic,1,corner80,int,-13,0.0403703543255171,0.0130596713648543,0.199837596400339
agentic,1,corner80,int,-12,0.0465058601091806,0.0153098724126535,0.199837596400339
agentic,1,corner80,int,-11,0.0278022673278704,0.0145508126219694,0.199837596400339
agentic,1,corner80,int,-10,0.0473362218390025,0.0206624403114137,0.199837596400339
agentic,1,corner80,int,-9,0.0486299843670862,0.0237423630015283,0.199837596400339
agentic,1,corner80,int,-8,-0.00496815109416964,0.0467364457279704,0.199837596400339
agentic,1,corner80,int,-7,0.0410976996849222,0.0122477779254099,0.199837596400339
agentic,1,corner80,int,-6,0.0308418197158755,0.0104551370756098,0.199837596400339
agentic,1,corner80,int,-5,0.0209764437665827,0.0103920591287879,0.199837596400339
agentic,1,corner80,int,-4,0.0125066418671678,0.00943038673471694,0.199837596400339
agentic,1,corner80,int,-3,0.00775066627676839,0.00509371142918464,0.199837596400339
agentic,1,corner80,int,-2,0.00680716161231447,0.00325163723498361,0.199837596400339
agentic,1,corner80,int,-1,0,0,0.199837596400339
agentic,1,corner80,int,0,-0.0257060723855629,0.0186057527531546,0.199837596400339
agentic,1,corner80,int,1,-0.0372282894119337,0.0214900142411143,0.199837596400339
agentic,1,corner80,int,2,-0.0277781231148119,0.0261206687190939,0.199837596400339
agentic,1,corner80,int,3,-0.0320642298541874,0.0293169053347768,0.199837596400339
agentic,1,corner80,int,4,-0.0332271304324019,0.022147002520787,0.199837596400339
agentic,1,corner80,int,5,-0.0380632374617274,0.0196152504288931,0.199837596400339
agentic,1,corner80,int,6,-0.0439679331113463,0.0195736528464298,0.199837596400339
agentic,1,corner80,int,7,-0.0474691467078636,0.0205295938174681,0.199837596400339
agentic,1,corner80,int,8,-0.0544992965011822,0.0235528532273657,0.199837596400339
agentic,1,corner80,int,9,-0.0521984776889616,0.0196341056467039,0.199837596400339
agentic,1,corner80,wage,-22,-0.0377879097859235,0.018147791632203,0.199837596400339
agentic,1,corner80,wage,-21,-0.00826053334020531,0.0221654448374466,0.199837596400339
agentic,1,corner80,wage,-20,-0.00218651953386854,0.0156114331995601,0.199837596400339
agentic,1,corner80,wage,-19,0.00688051198322702,0.0124713427208096,0.199837596400339
agentic,1,corner80,wage,-18,0.00476178000843062,0.010515740226333,0.199837596400339
agentic,1,corner80,wage,-17,-0.00505665043450789,0.010184206324344,0.199837596400339
agentic,1,corner80,wage,-16,0.01001210758281,0.0102950416969849,0.199837596400339
agentic,1,corner80,wage,-15,0.013416024703142,0.00740179236648512,0.199837596400339
agentic,1,corner80,wage,-14,0.00651239466609191,0.00710101111151429,0.199837596400339
agentic,1,corner80,wage,-13,-0.00440676346861889,0.00596490115404166,0.199837596400339
agentic,1,corner80,wage,-12,-0.00857223472394634,0.00668228357015143,0.199837596400339
agentic,1,corner80,wage,-11,-0.0334528279864141,0.00812671789826313,0.199837596400339
agentic,1,corner80,wage,-10,-0.0240535754079249,0.0142221183244616,0.199837596400339
agentic,1,corner80,wage,-9,0.0051347450558711,0.0170312648080185,0.199837596400339
agentic,1,corner80,wage,-8,0.013538382542476,0.0135631891291653,0.199837596400339
agentic,1,corner80,wage,-7,0.0195745147317965,0.00819665940127709,0.199837596400339
agentic,1,corner80,wage,-6,0.0193716028988622,0.00593266093174822,0.199837596400339
agentic,1,corner80,wage,-5,0.00649964211771629,0.00639779820377976,0.199837596400339
agentic,1,corner80,wage,-4,0.0200613947257187,0.00801070584702378,0.199837596400339
agentic,1,corner80,wage,-3,0.0180218512125081,0.00282226080106579,0.199837596400339
agentic,1,corner80,wage,-2,0.010029609149285,0.00189509085753776,0.199837596400339
agentic,1,corner80,wage,-1,0,0,0.199837596400339
agentic,1,corner80,wage,0,-0.00249925785991026,0.00405302415715953,0.199837596400339
agentic,1,corner80,wage,1,-0.0243967936998369,0.00817366287299464,0.199837596400339
agentic,1,corner80,wage,2,-0.0180137923485953,0.0135925383206652,0.199837596400339
agentic,1,corner80,wage,3,0.0198856207443598,0.0218721806594446,0.199837596400339
agentic,1,corner80,wage,4,0.0165783838011917,0.0130765838204568,0.199837596400339
agentic,1,corner80,wage,5,0.0214725418858537,0.00877023087470651,0.199837596400339
agentic,1,corner80,wage,6,0.0175847647178198,0.00688233942907371,0.199837596400339
agentic,1,corner80,wage,7,0.00250987488919753,0.00818067175236459,0.199837596400339
agentic,1,corner80,wage,8,0.0167358257420038,0.0096223766418285,0.199837596400339
agentic,1,corner80,wage,9,0.015179631643961,0.00506727271048365,0.199837596400339
agentic,1,prod,exp,-22,-0.00114348716622612,0.0113954865083524,0.871230283217773
agentic,1,prod,exp,-21,-0.0113472855965221,0.0119497446055504,0.871230283217773
agentic,1,prod,exp,-20,-0.00340005180472499,0.00990690141097499,0.871230283217773
agentic,1,prod,exp,-19,0.000545337986241037,0.00897265134341288,0.871230283217773
agentic,1,prod,exp,-18,0.00312066371499218,0.00842812306169937,0.871230283217773
agentic,1,prod,exp,-17,0.00292253321783785,0.00804364857592741,0.871230283217773
agentic,1,prod,exp,-16,0.0202395342323045,0.00628234880052677,0.871230283217773
agentic,1,prod,exp,-15,0.0135964258457476,0.00631734527123347,0.871230283217773
agentic,1,prod,exp,-14,0.0127997036866785,0.00565785007902969,0.871230283217773
agentic,1,prod,exp,-13,0.00824899465562032,0.00481359314543204,0.871230283217773
agentic,1,prod,exp,-12,-0.00044058343911874,0.00650672773223098,0.871230283217773
agentic,1,prod,exp,-11,-0.00812888332228999,0.00622173135908769,0.871230283217773
agentic,1,prod,exp,-10,-0.00983758618456626,0.00867502241620704,0.871230283217773
agentic,1,prod,exp,-9,-0.0168600575502311,0.00909876725570872,0.871230283217773
agentic,1,prod,exp,-8,-0.0129615402842392,0.00656510185661412,0.871230283217773
agentic,1,prod,exp,-7,-0.00793086463644897,0.0049849765885886,0.871230283217773
agentic,1,prod,exp,-6,-0.00380316047708197,0.00430010566955536,0.871230283217773
agentic,1,prod,exp,-5,-0.000482098207299329,0.0046014648444488,0.871230283217773
agentic,1,prod,exp,-4,0.0129453163102365,0.00385626382079609,0.871230283217773
agentic,1,prod,exp,-3,0.00826692105743379,0.00221695178180134,0.871230283217773
agentic,1,prod,exp,-2,0.00384601296078614,0.00167737089722561,0.871230283217773
agentic,1,prod,exp,-1,0,0,0.871230283217773
agentic,1,prod,exp,0,-0.00717822061395595,0.00461773294113442,0.871230283217773
agentic,1,prod,exp,1,-0.019558817999097,0.00624377132630424,0.871230283217773
agentic,1,prod,exp,2,-0.0189421104852389,0.0089889722661574,0.871230283217773
agentic,1,prod,exp,3,-0.0271873501612904,0.00994163418114445,0.871230283217773
agentic,1,prod,exp,4,-0.019076584105805,0.00683495448805387,0.871230283217773
agentic,1,prod,exp,5,-0.019702743246713,0.00552813859063896,0.871230283217773
agentic,1,prod,exp,6,-0.0187636375478871,0.00565715083698936,0.871230283217773
agentic,1,prod,exp,7,-0.0207926527422987,0.00651506180066317,0.871230283217773
agentic,1,prod,exp,8,-0.00372596363312377,0.0073962150887724,0.871230283217773
agentic,1,prod,exp,9,-0.00925782107043145,0.00529454431266127,0.871230283217773
agentic,1,prod,int,-22,0.0123365838954887,0.0148172281085126,0.871230283217773
agentic,1,prod,int,-21,0.0305293119602058,0.0163668889677792,0.871230283217773
agentic,1,prod,int,-20,0.0306208767159018,0.0129291207560671,0.871230283217773
agentic,1,prod,int,-19,0.0208150460020167,0.0112617339170995,0.871230283217773
agentic,1,prod,int,-18,0.0159415394575802,0.0106313873632808,0.871230283217773
agentic,1,prod,int,-17,0.0157747061092107,0.0103979593158046,0.871230283217773
agentic,1,prod,int,-16,0.0124885936028215,0.00928459539374118,0.871230283217773
agentic,1,prod,int,-15,0.00715236221609616,0.00770802983713228,0.871230283217773
agentic,1,prod,int,-14,0.00449562913933514,0.00725528310526508,0.871230283217773
agentic,1,prod,int,-13,0.00733965572914162,0.00572401785346945,0.871230283217773
agentic,1,prod,int,-12,0.0172632339764904,0.0114434219162849,0.871230283217773
agentic,1,prod,int,-11,0.00345627226164301,0.0071973188384176,0.871230283217773
agentic,1,prod,int,-10,0.008067151382694,0.0108240043380738,0.871230283217773
agentic,1,prod,int,-9,0.015760447781431,0.012248130479818,0.871230283217773
agentic,1,prod,int,-8,0.0102001989564115,0.00963332617121849,0.871230283217773
agentic,1,prod,int,-7,0.00933654159743929,0.00639599179961792,0.871230283217773
agentic,1,prod,int,-6,0.00405298591790132,0.00591145747749978,0.871230283217773
agentic,1,prod,int,-5,0.0027469724785698,0.00560401229286785,0.871230283217773
agentic,1,prod,int,-4,0.0009407674294585,0.00593152282355058,0.871230283217773
agentic,1,prod,int,-3,-0.00313694208988072,0.00277140670481443,0.871230283217773
agentic,1,prod,int,-2,-0.000510343541504381,0.00222013901910204,0.871230283217773
agentic,1,prod,int,-1,0,0,0.871230283217773
agentic,1,prod,int,0,-0.00115349148496717,0.00384598455128856,0.871230283217773
agentic,1,prod,int,1,-0.00118858529547551,0.00703844618342799,0.871230283217773
agentic,1,prod,int,2,-0.000783659818738732,0.0113274275989029,0.871230283217773
agentic,1,prod,int,3,0.00712369030986421,0.0140183500898714,0.871230283217773
agentic,1,prod,int,4,0.00776667437664526,0.008124774349531,0.871230283217773
agentic,1,prod,int,5,0.00349642411357319,0.00510496780794968,0.871230283217773
agentic,1,prod,int,6,0.000803863052037619,0.00491474270331459,0.871230283217773
agentic,1,prod,int,7,0.00918357834283084,0.00886659713894762,0.871230283217773
agentic,1,prod,int,8,-0.00398538022448925,0.0098184968302434,0.871230283217773
agentic,1,prod,int,9,-0.00356931008273656,0.00604233680328476,0.871230283217773
agentic,1,prod,wage,-22,-0.0314246397515711,0.0183646168679964,0.871230283217773
agentic,1,prod,wage,-21,0.0026097351268958,0.022388777182535,0.871230283217773
agentic,1,prod,wage,-20,0.009489764228365,0.015167087141369,0.871230283217773
agentic,1,prod,wage,-19,0.0154438175889497,0.011947655153493,0.871230283217773
agentic,1,prod,wage,-18,0.0120051473450098,0.0100888253137727,0.871230283217773
agentic,1,prod,wage,-17,0.00139520672342683,0.00953639801883476,0.871230283217773
agentic,1,prod,wage,-16,0.0154366081979378,0.0111628383403019,0.871230283217773
agentic,1,prod,wage,-15,0.0173361671440982,0.00705342186735736,0.871230283217773
agentic,1,prod,wage,-14,0.00951485781979266,0.00664544246628534,0.871230283217773
agentic,1,prod,wage,-13,-0.000864885145950149,0.00575308589129345,0.871230283217773
agentic,1,prod,wage,-12,-0.00274118440999966,0.00792649417736998,0.871230283217773
agentic,1,prod,wage,-11,-0.0313807187306074,0.00821423088658501,0.871230283217773
agentic,1,prod,wage,-10,-0.0200461543613529,0.0142088578682099,0.871230283217773
agentic,1,prod,wage,-9,0.010845144620222,0.0173197465331895,0.871230283217773
agentic,1,prod,wage,-8,0.0153614215817544,0.0137062989166674,0.871230283217773
agentic,1,prod,wage,-7,0.0235461222254613,0.00795844251737114,0.871230283217773
agentic,1,prod,wage,-6,0.0217411581342403,0.00587089533203224,0.871230283217773
agentic,1,prod,wage,-5,0.00811019032604297,0.00603052118187849,0.871230283217773
agentic,1,prod,wage,-4,0.0209333144868274,0.00886718051813178,0.871230283217773
agentic,1,prod,wage,-3,0.0178394057548103,0.00259427964170577,0.871230283217773
agentic,1,prod,wage,-2,0.0102874718920273,0.00182772664834026,0.871230283217773
agentic,1,prod,wage,-1,0,0,0.871230283217773
agentic,1,prod,wage,0,-0.00403391066143994,0.0042525705955347,0.871230283217773
agentic,1,prod,wage,1,-0.0265063091410979,0.00814565856137231,0.871230283217773
agentic,1,prod,wage,2,-0.0195928717235622,0.0137717468181344,0.871230283217773
agentic,1,prod,wage,3,0.019772140483564,0.0221224754588928,0.871230283217773
agentic,1,prod,wage,4,0.0165236518946909,0.0127099464697956,0.871230283217773
agentic,1,prod,wage,5,0.0202699784278883,0.00833801478796551,0.871230283217773
agentic,1,prod,wage,6,0.0155289738744378,0.00663820377703832,0.871230283217773
agentic,1,prod,wage,7,0.00209807506570212,0.00832557000543288,0.871230283217773
agentic,1,prod,wage,8,0.0132114490743026,0.0108836787379161,0.871230283217773
agentic,1,prod,wage,9,0.0118355204267655,0.00523975861596503,0.871230283217773
agentic,1,rect0,exp,-22,-0.00718596638977894,0.0147645985551373,0.452326912030108
agentic,1,rect0,exp,-21,-0.0211722539348944,0.0150806587710068,0.452326912030108
agentic,1,rect0,exp,-20,-0.0192305804660441,0.0124267246205696,0.452326912030108
agentic,1,rect0,exp,-19,-0.0137897306821409,0.0110439816369911,0.452326912030108
agentic,1,rect0,exp,-18,-0.00898873758827565,0.0105460056964968,0.452326912030108
agentic,1,rect0,exp,-17,-0.00718611067078675,0.0100121518103958,0.452326912030108
agentic,1,rect0,exp,-16,0.0140255561140702,0.00854080810693504,0.452326912030108
agentic,1,rect0,exp,-15,0.00608482280953231,0.00788782206230884,0.452326912030108
agentic,1,rect0,exp,-14,0.00693952769842564,0.00721566025721668,0.452326912030108
agentic,1,rect0,exp,-13,0.00251432980323024,0.00606922925484444,0.452326912030108
agentic,1,rect0,exp,-12,-0.00724156488858846,0.00785734090779139,0.452326912030108
agentic,1,rect0,exp,-11,-0.0117878537298038,0.00785031099905241,0.452326912030108
agentic,1,rect0,exp,-10,-0.0134762657429278,0.0110077480622505,0.452326912030108
agentic,1,rect0,exp,-9,-0.0208919391116322,0.0111700862408919,0.452326912030108
agentic,1,rect0,exp,-8,-0.0146487847113339,0.00829119716229364,0.452326912030108
agentic,1,rect0,exp,-7,-0.0140425774071333,0.00609822817233848,0.452326912030108
agentic,1,rect0,exp,-6,-0.00775107889723547,0.00517231436739384,0.452326912030108
agentic,1,rect0,exp,-5,-0.0022822651172379,0.00588901151457849,0.452326912030108
agentic,1,rect0,exp,-4,0.0147126152664959,0.00569111502505742,0.452326912030108
agentic,1,rect0,exp,-3,0.00827563565083981,0.00286583787610167,0.452326912030108
agentic,1,rect0,exp,-2,0.00296087454666087,0.00218137017002858,0.452326912030108
agentic,1,rect0,exp,-1,0,0,0.452326912030108
agentic,1,rect0,exp,0,-0.00406194141425816,0.00435065363228958,0.452326912030108
agentic,1,rect0,exp,1,-0.0140418110331368,0.00691233541641832,0.452326912030108
agentic,1,rect0,exp,2,-0.0124256741113659,0.0104984835956365,0.452326912030108
agentic,1,rect0,exp,3,-0.0191647554446561,0.0116027277120449,0.452326912030108
agentic,1,rect0,exp,4,-0.015523294445131,0.00764406125443918,0.452326912030108
agentic,1,rect0,exp,5,-0.0158135962456519,0.00581667171875382,0.452326912030108
agentic,1,rect0,exp,6,-0.0131495754496334,0.00575939126330627,0.452326912030108
agentic,1,rect0,exp,7,-0.0151085736888383,0.0072344057376597,0.452326912030108
agentic,1,rect0,exp,8,0.00678723126587417,0.0094411601404728,0.452326912030108
agentic,1,rect0,exp,9,-0.00197379376738435,0.00587873205670085,0.452326912030108
agentic,1,rect0,int,-22,0.0340325367245987,0.0407704315812387,0.452326912030108
agentic,1,rect0,int,-21,0.0583719013041746,0.0434368205625125,0.452326912030108
agentic,1,rect0,int,-20,0.088171146550526,0.0321612390453041,0.452326912030108
agentic,1,rect0,int,-19,0.0776441451969322,0.0273257129838211,0.452326912030108
agentic,1,rect0,int,-18,0.0651235105261139,0.0251766672974002,0.452326912030108
agentic,1,rect0,int,-17,0.0552612661799673,0.0239220234574346,0.452326912030108
agentic,1,rect0,int,-16,0.0346986378277568,0.0235216761958598,0.452326912030108
agentic,1,rect0,int,-15,0.0394040361346398,0.0192443655586915,0.452326912030108
agentic,1,rect0,int,-14,0.0305563677796604,0.0183063743713198,0.452326912030108
agentic,1,rect0,int,-13,0.0309780696503306,0.0155287810316951,0.452326912030108
agentic,1,rect0,int,-12,0.0391773480201885,0.0165706471970327,0.452326912030108
agentic,1,rect0,int,-11,0.020048134794603,0.0177466338457502,0.452326912030108
agentic,1,rect0,int,-10,0.0208087455453604,0.0277183974804147,0.452326912030108
agentic,1,rect0,int,-9,0.0250806379353983,0.0308128202056464,0.452326912030108
agentic,1,rect0,int,-8,0.0115440722921728,0.0320712924633723,0.452326912030108
agentic,1,rect0,int,-7,0.0333504330735072,0.0147696867868929,0.452326912030108
agentic,1,rect0,int,-6,0.0207865722990632,0.0118136773701077,0.452326912030108
agentic,1,rect0,int,-5,0.00979828219245865,0.012895299290483,0.452326912030108
agentic,1,rect0,int,-4,-0.00870978035061294,0.0154335440718084,0.452326912030108
agentic,1,rect0,int,-3,-0.00127411553449305,0.00663728186086891,0.452326912030108
