timing,age_group,variant,term,coef,se,sd_int,n_occ
chatgpt,3,rect1,exp,0.0121732081141258,0.026497414824518,0.0416948404629266,372
chatgpt,3,rect1,wage,-0.0105302352641516,0.0330535842213578,0.0416948404629266,372
chatgpt,3,rect1,int,-1.05629446175236,0.587373737376715,0.0416948404629266,372
chatgpt,3,corner75,exp,0.00299847159088393,0.0279037099442633,0.310199156664942,372
chatgpt,3,corner75,wage,-0.00930545674166675,0.0373490082484844,0.310199156664942,372
chatgpt,3,corner75,int,-0.040598014318465,0.0944924180508746,0.310199156664942,372
chatgpt,3,corner80,exp,0.0139495820119772,0.0276020443067797,0.250712690199904,372
chatgpt,3,corner80,wage,-0.00479772708511915,0.0343594328315053,0.250712690199904,372
chatgpt,3,corner80,int,-0.207192685819764,0.105293105484985,0.250712690199904,372
chatgpt,4,prod,exp,-0.000406963659892502,0.0253002028511509,0.819128394491187,369
chatgpt,4,prod,wage,-0.0131455329904618,0.0435984395142026,0.819128394491187,369
chatgpt,4,prod,int,-0.0655882630483446,0.0682262276564873,0.819128394491187,369
chatgpt,4,rect0,exp,0.0181965260977591,0.0389068908928141,0.56157914984269,369
chatgpt,4,rect0,wage,0.00404324579176688,0.0574696841395098,0.56157914984269,369
chatgpt,4,rect0,int,-0.0766901183500598,0.0999262472759493,0.56157914984269,369
chatgpt,4,rect1,exp,0.00509117098778952,0.028693154247188,0.0351734636533576,369
chatgpt,4,rect1,wage,-0.0153107790335901,0.0427932208647198,0.0351734636533576,369
chatgpt,4,rect1,int,-0.0845423074887499,0.544281078941723,0.0351734636533576,369
chatgpt,4,corner75,exp,-0.00365384344566478,0.0291777410841535,0.314696387689978,369
chatgpt,4,corner75,wage,-0.0306745904020943,0.0488727993032719,0.314696387689978,369
chatgpt,4,corner75,int,0.136608634755798,0.0990766670035035,0.314696387689978,369
chatgpt,4,corner80,exp,0.000978651752220325,0.0292751169684559,0.256269334796637,369
chatgpt,4,corner80,wage,-0.0181357004503705,0.0439682198786354,0.256269334796637,369
chatgpt,4,corner80,int,0.0742363130379023,0.0860835053147811,0.256269334796637,369
agentic,1,prod,exp,0.101637090875583,0.0279404319958456,0.88744547102406,372
agentic,1,prod,wage,0.0261209481658944,0.0313271502680985,0.88744547102406,372
agentic,1,prod,int,0.010221950781451,0.0250941861704141,0.88744547102406,372
agentic,1,rect0,exp,0.0871183815436188,0.0311624825964111,0.477276644033572,372
agentic,1,rect0,wage,0.0130775480144675,0.0369983314726744,0.477276644033572,372
agentic,1,rect0,int,0.0854995692583298,0.0903056206958833,0.477276644033572,372
agentic,1,rect1,exp,0.100538050957716,0.0278712395982957,0.105412047630892,372
agentic,1,rect1,wage,0.0224969440820733,0.0316292670506177,0.105412047630892,372
agentic,1,rect1,int,3.45061512075237,2.94531321942795,0.105412047630892,372
agentic,1,corner75,exp,0.096400490257738,0.0288311485292131,0.259796325888445,372
agentic,1,corner75,wage,0.019993208257986,0.0326089817481458,0.259796325888445,372
agentic,1,corner75,int,0.0864869017511565,0.109979246139266,0.259796325888445,372
agentic,1,corner80,exp,0.0969817230606177,0.0283252988251916,0.196979627952646,372
agentic,1,corner80,wage,0.0199994077078138,0.0322089822152003,0.196979627952646,372
agentic,1,corner80,int,0.131658580980404,0.117810574920956,0.196979627952646,372
agentic,2,prod,exp,0.107936154043621,0.0240206060666815,0.838896571955313,372
agentic,2,prod,wage,-0.0384212729281715,0.0249355807844627,0.838896571955313,372
agentic,2,prod,int,-0.0331958249049643,0.0203158224774286,0.838896571955313,372
agentic,2,rect0,exp,0.11307995527,0.0268169705852241,0.531877766761894,372
agentic,2,rect0,wage,-0.0282551837904516,0.0333422316964178,0.531877766761894,372
agentic,2,rect0,int,-0.0315600355923749,0.053683085309826,0.531877766761894,372
agentic,2,rect1,exp,0.112840795343543,0.0251249255768721,0.0322949339822335,372
agentic,2,rect1,wage,-0.0326081558408536,0.0261746557409008,0.0322949339822335,372
agentic,2,rect1,int,-0.6924093518924,0.370432732735434,0.0322949339822335,372
agentic,2,corner75,exp,0.108490137772979,0.0247526898870413,0.299684886046739,372
agentic,2,corner75,wage,-0.031612940771819,0.0282816731961513,0.299684886046739,372
agentic,2,corner75,int,-0.0368348736080456,0.0528998561784922,0.299684886046739,372
agentic,2,corner80,exp,0.108237868975095,0.0249810943626579,0.241167180883796,372
agentic,2,corner80,wage,-0.032941971022844,0.0269686838998513,0.241167180883796,372
agentic,2,corner80,int,-0.0407111600889783,0.0584208974264905,0.241167180883796,372
agentic,3,prod,exp,0.0636307903671179,0.0304677650110594,0.820192927858739,371
agentic,3,prod,wage,-0.0333371384564086,0.0338562942955213,0.820192927858739,371
agentic,3,prod,int,-0.0385196699570974,0.0304437591925994,0.820192927858739,371
agentic,3,rect0,exp,0.0662517882998786,0.0318542431104125,0.563326759560125,371
agentic,3,rect0,wage,-0.0261619569999891,0.0460870503148022,0.563326759560125,371
agentic,3,rect0,int,-0.0147709601510907,0.0755450518381584,0.563326759560125,371
agentic,3,rect1,exp,0.0614185326820586,0.0330595823614448,0.0414574890205677,371
agentic,3,rect1,wage,-0.0297808611297239,0.0361606261365368,0.0414574890205677,371
agentic,3,rect1,int,0.159653874341535,0.264525463981552,0.0414574890205677,371
agentic,3,corner75,exp,0.0600331921435704,0.0317745990124427,0.310567621293083,371
agentic,3,corner75,wage,-0.0322374653034265,0.039712137942347,0.310567621293083,371
agentic,3,corner75,int,0.0335667355746744,0.0693623145300478,0.310567621293083,371
agentic,3,corner80,exp,0.0632634798411557,0.032615601873534,0.251026884968047,371
agentic,3,corner80,wage,-0.029277080709206,0.0369437079470377,0.251026884968047,371
agentic,3,corner80,int,-0.00532885137117167,0.0688105367563266,0.251026884968047,371
agentic,4,prod,exp,0.072557776886662,0.035485980550934,0.818976743319194,368
agentic,4,prod,wage,-0.083728911523419,0.0405684774853837,0.818976743319194,368
agentic,4,prod,int,-0.0176980752730262,0.0421324733648764,0.818976743319194,368
agentic,4,rect0,exp,0.0542417634477222,0.0369513359328646,0.560022353076669,368
agentic,4,rect0,wage,-0.109119715755555,0.0615810344163499,0.560022353076669,368
agentic,4,rect0,int,0.107434883157538,0.112785137214601,0.560022353076669,368
agentic,4,rect1,exp,0.0748182557164913,0.0361682461548561,0.034607073135498,368
agentic,4,rect1,wage,-0.083993059136554,0.0417251201811031,0.034607073135498,368
agentic,4,rect1,int,-0.113501838918358,0.392122805300505,0.034607073135498,368
agentic,4,corner75,exp,0.0650434236906551,0.0353195258209996,0.311680746993522,368
agentic,4,corner75,wage,-0.0975004902194314,0.0465702225932855,0.311680746993522,368
agentic,4,corner75,int,0.130131669589363,0.0964211395299333,0.311680746993522,368
agentic,4,corner80,exp,0.074271559503556,0.0359673927785623,0.256591807208641,368
agentic,4,corner80,wage,-0.0841687079798618,0.0425486184801212,0.256591807208641,368
agentic,4,corner80,int,-0.000149891742731723,0.113936435246959,0.256591807208641,368
