measure,sector,age_group,outcome,ai_q,coef,se,p_value,n_obs,n_occ
augmentation,1,4,log_wage,3,0.00972950355129396,0.0158096420290929,0.538720331053612,18199,321
augmentation,1,4,log_wage,4,0.000426695812256683,0.013738840107537,0.975243062883586,18199,321
augmentation,1,4,log_wage,5,-0.0120402481298505,0.0162612609638051,0.459588332094393,18199,321
augmentation,1,4,new_hires,2,0.0705978371445402,0.208460223211664,0.734863354596768,20544,321
augmentation,1,4,new_hires,3,0.170222886147717,0.308316668150821,0.580877056240212,20544,321
augmentation,1,4,new_hires,4,-0.226599973135375,0.198189352664946,0.252892933000367,20544,321
augmentation,1,4,new_hires,5,-0.401239350640922,0.214814780679846,0.0617845639070296,20544,321
augmentation,2,1,employment,2,0.0342658033592986,0.0310447317326977,0.269699073914542,22336,349
augmentation,2,1,employment,3,0.0014181430499729,0.0381397345990515,0.970339233374853,22336,349
augmentation,2,1,employment,4,0.0209497099622266,0.023881520873248,0.380358918268907,22336,349
augmentation,2,1,employment,5,0.0161217245926719,0.0255427911113371,0.527932417925868,22336,349
augmentation,2,1,log_wage,2,0.0134512230208143,0.00868112214456653,0.122177961414666,21226,349
augmentation,2,1,log_wage,3,-0.00194484451183524,0.00885602168692356,0.826306352503331,21226,349
augmentation,2,1,log_wage,4,0.00153576463107064,0.00857811818448639,0.858016424167122,21226,349
augmentation,2,1,log_wage,5,0.00885031183043827,0.00836253243630215,0.290641577456331,21226,349
augmentation,2,1,new_hires,2,-0.00921184138072329,0.0677255037628282,0.891807590428722,22336,349
augmentation,2,1,new_hires,3,-0.0615156691721989,0.0700148092164063,0.379613099979548,22336,349
augmentation,2,1,new_hires,4,0.0271465325540811,0.05198499487459,0.601531511483584,22336,349
augmentation,2,1,new_hires,5,-0.109793273120013,0.0814274222536837,0.177543435823938,22336,349
augmentation,2,2,employment,2,0.0150938408627592,0.0225325924922183,0.502942557455419,22208,347
augmentation,2,2,employment,3,0.0266871590306977,0.037640287694181,0.478321261042927,22208,347
augmentation,2,2,employment,4,0.0368335618512415,0.0228948821781637,0.107657449797931,22208,347
augmentation,2,2,employment,5,0.0489077019550022,0.0235599100346556,0.0379044386995653,22208,347
augmentation,2,2,log_wage,2,0.0172537712486193,0.00647729742044158,0.00808947595578084,21334,347
augmentation,2,2,log_wage,3,0.00580316318271821,0.00625027824960166,0.353813780829857,21334,347
augmentation,2,2,log_wage,4,0.00116047543196826,0.00647183937686633,0.857798049988883,21334,347
augmentation,2,2,log_wage,5,0.0105294151477954,0.00643895973575218,0.102902561750767,21334,347
augmentation,2,2,new_hires,2,0.0779060662101623,0.0793642942771031,0.326284062425051,22208,347
augmentation,2,2,new_hires,3,-0.0262225090592969,0.0841255799196584,0.75526341613367,22208,347
augmentation,2,2,new_hires,4,0.0457982124012125,0.0700834709196956,0.513446273645875,22208,347
augmentation,2,2,new_hires,5,-0.151742444219901,0.117056755966874,0.194866936910127,22208,347
augmentation,2,3,employment,2,0.00213900073868634,0.0210032664612897,0.918882613991379,22400,350
augmentation,2,3,employment,3,-0.0281019486419171,0.0277270041281922,0.310810549522335,22400,350
augmentation,2,3,employment,4,-0.00432608765389486,0.0194971218657436,0.824404654766864,22400,350
augmentation,2,3,employment,5,0.0138443935854868,0.0196029438710221,0.480038565845299,22400,350
augmentation,2,3,log_wage,2,0.0114269299470172,0.00554070440198716,0.0399130924492545,21298,350
augmentation,2,3,log_wage,3,0.003534880250521,0.00553589540832299,0.523542242936942,21298,350
augmentation,2,3,log_wage,4,0.00309416894583819,0.00590089413829468,0.600363857174536,21298,350
augmentation,2,3,log_wage,5,0.0104973012295564,0.00557745131506139,0.0606547871081858,21298,350
augmentation,2,3,new_hires,2,0.0994746403705204,0.0837213757637867,0.234769200624564,22400,350
augmentation,2,3,new_hires,3,-0.0028353799004725,0.078984195487308,0.971363637600796,22400,350
augmentation,2,3,new_hires,4,-0.0170837293593016,0.0756119132955866,0.821248357463505,22400,350
augmentation,2,3,new_hires,5,-0.136566167448788,0.142551835647248,0.338057421091892,22400,350
augmentation,2,4,employment,2,0.0172528052765018,0.0178945157407141,0.334976108614196,22272,348
augmentation,2,4,employment,3,0.0138611420750357,0.0189517375676711,0.464539981286868,22272,348
augmentation,2,4,employment,4,0.00900727919150041,0.0142808780751654,0.528221615147054,22272,348
augmentation,2,4,employment,5,0.0292652806769802,0.0178341487909034,0.100803904278564,22272,348
augmentation,2,4,log_wage,2,0.014908839644204,0.00615111818901238,0.0158713897392034,21218,348
augmentation,2,4,log_wage,3,0.0068144792788122,0.00605007908823779,0.260797656900071,21218,348
augmentation,2,4,log_wage,4,0.0112902499693922,0.00692629949956014,0.10399719581595,21218,348
augmentation,2,4,log_wage,5,0.00870261658690623,0.00738592451111125,0.239496191658849,21218,348
augmentation,2,4,new_hires,2,0.0841634102958835,0.0935305888843491,0.368200594443785,22272,348
augmentation,2,4,new_hires,3,-0.0586490037282924,0.0953915368170351,0.538670975115173,22272,348
augmentation,2,4,new_hires,4,-0.0044949120160146,0.0924489499151798,0.961221751209278,22272,348
augmentation,2,4,new_hires,5,-0.048006184388755,0.158275818157907,0.761655811884153,22272,348
automation,1,1,employment,2,-0.0107974490894857,0.0426193794046646,0.800000856096363,20352,318
automation,1,1,employment,3,0.00616347150147922,0.0321732601668608,0.848078068565283,20352,318
automation,1,1,employment,4,-0.0345159576438328,0.0599744246573354,0.564945567006734,20352,318
automation,1,1,employment,5,0.011706882909795,0.0293637600445727,0.690125516581005,20352,318
automation,1,1,log_wage,2,-0.0502027406019817,0.0199370001590413,0.012303513576148,16921,318
automation,1,1,log_wage,3,-0.0369317236664075,0.0180028887508737,0.0410647758213521,16921,318
automation,1,1,log_wage,4,0.0341116698958501,0.0284744715939708,0.231842346109626,16921,318
automation,1,1,log_wage,5,-0.0266682129281108,0.0182464005528,0.144874666230829,16921,318
automation,1,1,new_hires,2,0.238990080930976,0.255118312566622,0.348871033142573,20352,318
automation,1,1,new_hires,3,0.0101536903405043,0.0666492953805604,0.878914793586161,20352,318
automation,1,1,new_hires,4,0.097882115903387,0.087138033128394,0.261310282686501,20352,318
automation,1,1,new_hires,5,0.233684912014476,0.133201408637884,0.0793666697498434,20352,318
automation,1,2,employment,2,0.0203481410277934,0.0226644524543661,0.369292287862683,20736,324
automation,1,2,employment,3,-0.00466234903998142,0.0221444983857586,0.833244602307459,20736,324
automation,1,2,employment,4,-0.0357497124055304,0.0256035626902951,0.162630548029668,20736,324
automation,1,2,employment,5,-0.0248786414626934,0.0157968883536681,0.115277745830442,20736,324
automation,1,2,log_wage,2,-0.027660308311771,0.0119420747164275,0.0211805051754617,17893,324
automation,1,2,log_wage,3,-0.0154072622890807,0.0102552013178465,0.133986910802034,17893,324
automation,1,2,log_wage,4,-0.00652125173051868,0.0121695814035413,0.592425336166827,17893,324
automation,1,2,log_wage,5,-0.00190200738432722,0.0103512040706145,0.854328321946797,17893,324
automation,1,2,new_hires,2,-0.267031939678379,0.120928534251923,0.027231745918911,20736,324
automation,1,2,new_hires,3,-0.179544224384056,0.0669790603244983,0.00734897939282644,20736,324
automation,1,2,new_hires,4,-0.11333926363117,0.141661356712085,0.423669170124586,20736,324
automation,1,2,new_hires,5,0.170079261832707,0.145225109887314,0.241541603951643,20736,324
automation,1,3,employment,2,0.0123628779853981,0.0183380420311179,0.500206006806082,20992,328
automation,1,3,employment,3,-0.0235455680771504,0.0118421520275827,0.0467802270173953,20992,328
automation,1,3,employment,4,-0.0182508278533589,0.0125193279884917,0.144892341541365,20992,328
automation,1,3,employment,5,-0.047363752925903,0.0149353717980657,0.00151786024377821,20992,328
automation,1,3,log_wage,2,-0.0198495783529919,0.0117784157428486,0.09290910870918,17860,328
automation,1,3,log_wage,3,-0.0165032430602233,0.00932998695354829,0.0778674246024309,17860,328
automation,1,3,log_wage,4,-0.00637383697180213,0.0109157579132244,0.559688640763625,17860,328
automation,1,3,log_wage,5,-0.00264700960120637,0.00994343309988096,0.79025031622854,17860,328
automation,1,3,new_hires,2,-0.393350788935234,0.129703131202957,0.00242375788050292,20992,328
automation,1,3,new_hires,3,-0.310585181531063,0.10843333787076,0.00417937194021487,20992,328
automation,1,3,new_hires,4,-0.0603558995209043,0.198645318926262,0.76125168628535,20992,328
automation,1,3,new_hires,5,0.0584430805593277,0.130975537053077,0.655442879073838,20992,328
automation,1,4,employment,2,0.0219200931960555,0.0249435817887755,0.379516824349791,20544,321
automation,1,4,employment,3,0.00813546546314395,0.01740672584099,0.640231730136394,20544,321
automation,1,4,employment,4,0.026873316868342,0.0166137804649356,0.105763554678612,20544,321
automation,1,4,employment,5,0.00689618399188369,0.0249294302156893,0.782065590906039,20544,321
automation,1,4,log_wage,2,-0.0256304706451708,0.0149302139476132,0.0870105416386948,18199,321
automation,1,4,log_wage,3,-0.0168941722017194,0.0116429101837852,0.147758178509661,18199,321
automation,1,4,log_wage,4,-0.00587099182808948,0.0122819634792644,0.632966277484641,18199,321
automation,1,4,log_wage,5,-0.00678960048610752,0.0128896469048763,0.598735570581106,18199,321
automation,1,4,new_hires,2,-0.42207083904721,0.153849422398576,0.00608061638785012,20544,321
automation,1,4,new_hires,3,-0.229566195798391,0.108342093989245,0.0340988153145828,20544,321
automation,1,4,new_hires,4,0.0910491877313446,0.22353874436639,0.68378156165936,20544,321
automation,1,4,new_hires,5,0.193087621404681,0.133992907969052,0.149576584489708,20544,321
automation,2,1,employment,2,-0.0118257077821044,0.0207974693795819,0.569618920518741,22336,349
automation,2,1,employment,3,-0.00915363529451324,0.0195106286927421,0.638954221801215,22336,349
automation,2,1,employment,4,0.00425011987420981,0.0303200280739092,0.888521464982649,22336,349
automation,2,1,employment,5,-0.0122608734308843,0.0360842392794352,0.734018649628833,22336,349
automation,2,1,log_wage,2,0.00468824134798711,0.0101337128418499,0.64391378928894,21226,349
automation,2,1,log_wage,3,0.00545117042049003,0.0094331665423966,0.563724792694569,21226,349
automation,2,1,log_wage,4,-0.000871897304488153,0.0115179037922673,0.939701953123922,21226,349
automation,2,1,log_wage,5,0.00252639235006278,0.00995048308918921,0.799725930894138,21226,349
automation,2,1,new_hires,2,-0.0348340030800701,0.0875229135587228,0.690631167061566,22336,349
automation,2,1,new_hires,3,0.0522104395216686,0.0730704210951628,0.474904321076249,22336,349
automation,2,1,new_hires,4,-0.0114601403858446,0.113616695965193,0.919656283400295,22336,349
automation,2,1,new_hires,5,0.0673868613191965,0.0787724034934638,0.392294986790805,22336,349
automation,2,2,employment,2,0.0262998824407972,0.0198643742911266,0.185512225650286,22208,347
automation,2,2,employment,3,0.015263154126834,0.0201565802828339,0.448912471055497,22208,347
automation,2,2,employment,4,0.0366755548451618,0.0216427866276294,0.0901540581942452,22208,347
automation,2,2,employment,5,-0.0280794355252196,0.0299144885020078,0.347907023459965,22208,347
automation,2,2,log_wage,2,0.00812908017771177,0.00690489415706126,0.239887972682293,21334,347
automation,2,2,log_wage,3,0.00283424829331651,0.00618857964607709,0.647253992456684,21334,347
automation,2,2,log_wage,4,0.00440194027336117,0.00750428432762017,0.557861414786438,21334,347
automation,2,2,log_wage,5,0.009294171676807,0.00669993260700136,0.166272534626709,21334,347
automation,2,2,new_hires,2,-0.0301464662043263,0.131174402830901,0.818231850566063,22208,347
automation,2,2,new_hires,3,0.0644787914531111,0.125682799395626,0.607931755466289,22208,347
automation,2,2,new_hires,4,0.0334547848781658,0.148400613442927,0.82164040094012,22208,347
automation,2,2,new_hires,5,0.148941020853288,0.132860048177144,0.26227214203159,22208,347
automation,2,3,employment,2,0.0167283735993627,0.0198243822548008,0.398765392117412,22400,350
automation,2,3,employment,3,0.0040757369445632,0.0208670508323322,0.845143019474515,22400,350
automation,2,3,employment,4,0.0113601927693083,0.0201970455335903,0.573797167707308,22400,350
automation,2,3,employment,5,-0.0151498622636496,0.0300258317273139,0.613867241022482,22400,350
automation,2,3,log_wage,2,0.00449330343023384,0.00578643552434956,0.437965876288164,21298,350
automation,2,3,log_wage,3,0.0018565586533917,0.00564505137459424,0.74244175754364,21298,350
automation,2,3,log_wage,4,0.00391900505109408,0.005650343139958,0.488402545390782,21298,350
automation,2,3,log_wage,5,0.00205317845860489,0.00604177709660043,0.734188810353852,21298,350
automation,2,3,new_hires,2,0.0904116825614566,0.142394100696364,0.525467674786613,22400,350
automation,2,3,new_hires,3,0.100823653387572,0.13111985175169,0.4419273246799,22400,350
automation,2,3,new_hires,4,0.138230618380068,0.139750744273092,0.322603165482207,22400,350
automation,2,3,new_hires,5,0.191059468659429,0.137600315666974,0.164981681641101,22400,350
automation,2,4,employment,2,0.00886434920594414,0.0149240632022358,0.552536508350916,22272,348
automation,2,4,employment,3,0.0051875682063447,0.0140689763290707,0.712333512050117,22272,348
automation,2,4,employment,4,0.00973169435571926,0.0112605664750267,0.387462774918984,22272,348
automation,2,4,employment,5,-0.000791730146279555,0.021409976729336,0.970501354473223,22272,348
automation,2,4,log_wage,2,0.00526246671381749,0.00627762801919921,0.402445453733016,21218,348
automation,2,4,log_wage,3,0.00327307614077815,0.00676509817201583,0.628820231737277,21218,348
automation,2,4,log_wage,4,0.00427840713503191,0.00542239475117459,0.430635925705191,21218,348
automation,2,4,log_wage,5,0.00414693094947444,0.00566583183309809,0.464711927951225,21218,348
automation,2,4,new_hires,2,0.093336046590765,0.135789928963379,0.491858305451866,22272,348
automation,2,4,new_hires,3,0.113816079603671,0.133073966090005,0.392393753404045,22272,348
automation,2,4,new_hires,4,0.130675418085484,0.14085784713305,0.35355733937728,22272,348
automation,2,4,new_hires,5,0.139566022072375,0.138997516041822,0.31533521357245,22272,348
