age_group,design,quarter,post_idx,delta,Mbar,lb,ub,coef
1,chatgpt,2024q2,7,SDRM,0,-0.296992481203008,0.199248120300752,
1,chatgpt,2024q2,7,original,,-0.0276340490192005,0.0585907293015681,
1,chatgpt,2024q2,7,path,,-0.0276348412340254,0.0585915215163931,0.0154783401411838
1,chatgpt,2024q3,8,SDRM,0,-0.357142857142857,0.221804511278195,
1,chatgpt,2024q3,8,original,,-0.0483027803849911,0.0542890172250458,
1,chatgpt,2024q3,8,path,,-0.0483037229764894,0.0542899598165441,0.00299311842002735
1,chatgpt,2024q4,9,SDRM,0,-0.379699248120301,0.221804511278195,
1,chatgpt,2024q4,9,original,,-0.0649030558717412,0.0674562458799203,
1,chatgpt,2024q4,9,path,,-0.0649042719607021,0.0674574619688812,0.00127659500408955
1,chatgpt,2025q1,10,SDRM,0,-0.447368421052632,0.25187969924812,
1,chatgpt,2025q1,10,original,,-0.0723020095530253,0.0570769122024169,
1,chatgpt,2025q1,10,path,,-0.0723031982588921,0.0570781009082837,-0.00761254867530422
1,chatgpt,2025q2,11,SDRM,0,-0.515037593984963,0.274436090225564,
1,chatgpt,2025q2,11,original,,-0.0857263448301116,0.0386458580611325,
1,chatgpt,2025q2,11,path,,-0.0857274875353162,0.038647000766337,-0.0235402433844896
1,chatgpt,2025q3,12,SDRM,0,-0.582706766917293,0.296992481203007,
1,chatgpt,2025q3,12,original,,-0.100253506853719,0.0291813421558834,
1,chatgpt,2025q3,12,path,,-0.100254696073433,0.0291825313755979,-0.0355360823489176
1,chatgpt,2025q4,13,SDRM,0,-0.620300751879699,0.281954887218045,
1,chatgpt,2025q4,13,original,,-0.130784015029394,0.0254640693823317,
1,chatgpt,2025q4,13,path,,-0.130785450603382,0.0254655049563193,-0.0526599728235313
1,chatgpt,2026q1,14,SDRM,0,-0.695488721804511,0.31203007518797,
1,chatgpt,2026q1,14,original,,-0.137084507469062,0.00587433071969375,
1,chatgpt,2026q1,14,path,,-0.137085820944297,0.00587564419492885,-0.0656050883746842
2,agentic,2023q3,,path,,-0.042880791770557,0.0242547927323103,-0.00931299951912339
2,agentic,2023q4,,path,,-0.0309563147059877,0.0261498229486759,-0.0024032458786559
2,agentic,2024q1,,path,,-0.0273788923245973,0.0137409332982452,-0.00681897951317605
2,agentic,2024q2,,path,,-0.0223711540493771,0.0185658165948857,-0.00190266872724568
2,agentic,2024q3,,path,,-0.0197504575898072,0.0164524900547944,-0.00164898376750643
2,agentic,2024q4,,path,,-0.00568903809640638,0.0168356641120155,0.00557331300780455
2,agentic,2025q1,,path,,-0.00564974863376244,0.00622096349087192,0.000285607428554741
2,agentic,2025q2,1,SDRM,0,-0.005639097744361,0.0169172932330827,
2,agentic,2025q2,1,SDRM,1,-0.0281954887218046,0.0357142857142857,
2,agentic,2025q2,1,original,,-0.00585146639530232,0.0164878970518284,
2,agentic,2025q2,1,path,,-0.00585167164459664,0.0164881023011227,0.00531821532826305
2,agentic,2025q3,2,SDRM,0,-0.0131578947368421,0.0281954887218044,
2,agentic,2025q3,2,SDRM,1,-0.0845864661654136,0.0883458646616541,
2,agentic,2025q3,2,original,,-0.00974479894668919,0.0219131238350199,
2,agentic,2025q3,2,path,,-0.00974508981291401,0.0219134147012448,0.00608416244416537
2,agentic,2025q4,3,SDRM,0,-0.0131578947368421,0.0281954887218044,
2,agentic,2025q4,3,SDRM,1,-0.159774436090226,0.163533834586466,
2,agentic,2025q4,3,original,,-0.00720634824979277,0.0215927917090656,
2,agentic,2025q4,3,path,,-0.00720661285013233,0.0215930563094052,0.00719322172963643
2,agentic,2026q1,4,SDRM,0,-0.0206766917293233,0.0432330827067668,
2,agentic,2026q1,4,SDRM,1,-0.272556390977444,0.268796992481203,
2,agentic,2026q1,4,original,,-0.00931800016678853,0.0285478082283805,
2,agentic,2026q1,4,path,,-0.00931834806973888,0.0285481561313308,0.00961490403079597
2,chatgpt,2021q1,,path,,-0.0724673179157831,0.00784368517530806,-0.0323118163702375
2,chatgpt,2021q2,,path,,-0.0638075155424118,0.0146320578196836,-0.0245877288613641
2,chatgpt,2021q3,,path,,-0.0623076562458803,0.00321555518752626,-0.029546050529177
2,chatgpt,2021q4,,path,,-0.0530438249184927,-0.00245312446142949,-0.0277484746899611
2,chatgpt,2022q1,,path,,-0.0440899337421465,-0.000409509034259591,-0.022249721388203
2,chatgpt,2022q2,,path,,-0.0331912738425579,-0.000768105888643768,-0.0169796898656008
2,chatgpt,2022q3,,path,,-0.0102408892523672,0.0141450331530905,0.00195207195036165
2,chatgpt,2022q4,1,SDRM,0,-0.00375939849624074,0.0263157894736841,
2,chatgpt,2022q4,1,original,,-0.00108990388106422,0.0226748188440994,
2,chatgpt,2022q4,1,path,,-0.00109012222625479,0.0226750371892899,0.0107924574815176
2,chatgpt,2023q1,2,SDRM,0,-0.011278195488722,0.0488721804511276,
2,chatgpt,2023q1,2,original,,-0.00203932311572661,0.0314996397449811,
2,chatgpt,2023q1,2,path,,-0.00203963126454544,0.0314999478937999,0.0147301583146273
2,chatgpt,2023q2,3,SDRM,0,-0.011278195488722,0.0639097744360901,
2,chatgpt,2023q2,3,original,,0.000403188167992733,0.0376444046859286,
2,chatgpt,2023q2,3,path,,0.000402846003658992,0.0376447468502623,0.0190237964269607
2,chatgpt,2023q3,4,SDRM,0,-0.018796992481203,0.0864661654135337,
2,chatgpt,2023q3,4,original,,0.00463371717757223,0.0466049160923439,
2,chatgpt,2023q3,4,path,,0.00463333155517168,0.0466053017147445,0.0256193166349581
2,chatgpt,2023q4,5,SDRM,0,-0.011278195488722,0.101503759398496,
2,chatgpt,2023q4,5,original,,0.00775369844355563,0.0573044421072955,
2,chatgpt,2023q4,5,path,,0.00775324318191873,0.0573048973689324,0.0325290702754256
2,chatgpt,2024q1,6,SDRM,0,-0.0263157894736843,0.109022556390977,
2,chatgpt,2024q1,6,original,,-0.00499492500012903,0.0612215982819399,
2,chatgpt,2024q1,6,path,,-0.00499553338338527,0.0612222066651961,0.0281133366409054
2,chatgpt,2024q2,7,SDRM,0,-0.0338345864661656,0.131578947368421,
2,chatgpt,2024q2,7,original,,0.00253898176641881,0.0635203130872528,
2,chatgpt,2024q2,7,path,,0.00253842148298682,0.0635208733706847,0.0330296474268358
2,chatgpt,2024q3,8,SDRM,0,-0.0488721804511278,0.146616541353383,
2,chatgpt,2024q3,8,original,,-0.00241119048192527,0.0689778552550753,
2,chatgpt,2024q3,8,path,,-0.00241184638921174,0.0689785111623618,0.033283332386575
2,chatgpt,2024q4,9,SDRM,0,-0.0413533834586466,0.161654135338346,
2,chatgpt,2024q4,9,original,,0.00283465934460322,0.0781765989791688,
2,chatgpt,2024q4,9,path,,0.0028339671189729,0.0781772912047991,0.040505629161886
2,chatgpt,2025q1,10,SDRM,0,-0.0563909774436091,0.169172932330827,
2,chatgpt,2025q1,10,original,,-0.00972796820952308,0.0801638153747955,
2,chatgpt,2025q1,10,path,,-0.00972879411600828,0.0801646412812807,0.0352179235826362
2,chatgpt,2025q2,11,SDRM,0,-0.0639097744360904,0.184210526315789,
2,chatgpt,2025q2,11,original,,-0.0069975840031258,0.0839531700823061,
2,chatgpt,2025q2,11,path,,-0.00699841963920552,0.0839540057183859,0.0384777930395902
2,chatgpt,2025q3,12,SDRM,0,-0.0789473684210527,0.206766917293233,
2,chatgpt,2025q3,12,original,,-0.00946876073361194,0.0915017179301056,
2,chatgpt,2025q3,12,path,,-0.00946968842877848,0.0915026456252721,0.0410164785982468
2,chatgpt,2025q4,13,SDRM,0,-0.0789473684210527,0.206766917293233,
2,chatgpt,2025q4,13,original,,-0.00911667363700206,0.0933677494044379,
2,chatgpt,2025q4,13,path,,-0.0091176152419658,0.0933686910094016,0.0421255378837179
2,chatgpt,2026q1,14,SDRM,0,-0.0864661654135339,0.229323308270677,
2,chatgpt,2026q1,14,original,,-0.0119738713716864,0.101068311741441,
2,chatgpt,2026q1,14,path,,-0.011974909979092,0.101069350348847,0.0445472201848774
3,agentic,2023q3,,path,,-0.00712429010188945,0.0535165287683635,0.023196119333237
3,agentic,2023q4,,path,,-0.00171867347575846,0.0518142285844737,0.0250477775543576
3,agentic,2024q1,,path,,-0.00179807850871147,0.0394741076517005,0.0188380145714945
3,agentic,2024q2,,path,,-0.00252895662502804,0.0374979925074393,0.0174845179412056
3,agentic,2024q3,,path,,-0.00460294247920612,0.0314237751515756,0.0134104163361847
3,agentic,2024q4,,path,,0.00135034170550044,0.0254092523070549,0.0133797970062777
3,agentic,2025q1,,path,,-0.00321275526898012,0.0134562717304284,0.00512175823072416
3,agentic,2025q2,1,SDRM,0,-0.005639097744361,0.0206766917293233,
3,agentic,2025q2,1,SDRM,1,-0.0244360902255639,0.0319548872180451,
3,agentic,2025q2,1,original,,-0.00664395497134663,0.0120492856123874,
3,agentic,2025q2,1,path,,-0.00664412672084376,0.0120494573618845,0.00270266532052037
3,agentic,2025q3,2,SDRM,0,-0.0169172932330828,0.0244360902255638,
3,agentic,2025q3,2,SDRM,1,-0.0845864661654136,0.0657894736842105,
3,agentic,2025q3,2,original,,-0.0177253366076587,0.00575253244265499,
3,agentic,2025q3,2,path,,-0.017725552317299,0.00575274815229534,-0.00598640208250184
3,agentic,2025q4,3,SDRM,0,-0.0169172932330828,0.0319548872180451,
3,agentic,2025q4,3,SDRM,1,-0.156015037593985,0.148496240601504,
3,agentic,2025q4,3,original,,-0.0191297378566446,0.00284698366252567,
3,agentic,2025q4,3,path,,-0.0191299397740625,0.00284718557994351,-0.00814137709705947
3,agentic,2026q1,4,SDRM,0,-0.0281954887218046,0.0507518796992481,
3,agentic,2026q1,4,SDRM,1,-0.261278195488722,0.242481203007519,
3,agentic,2026q1,4,original,,-0.0249527287113288,0.00462828621490245,
3,agentic,2026q1,4,path,,-0.0249530004953683,0.00462855799894202,-0.0101622212482132
3,chatgpt,2021q1,,path,,-0.0271277241485956,0.0486943944706486,0.0107833351610265
3,chatgpt,2021q2,,path,,-0.023479013350198,0.0472286679077824,0.0118748272787922
3,chatgpt,2021q3,,path,,-0.0268068481405432,0.03427526683647,0.00373420934796344
3,chatgpt,2021q4,,path,,-0.0250126967901414,0.0242639954708233,-0.000374350659659036
3,chatgpt,2022q1,,path,,-0.0199888220405148,0.0222656867166757,0.00113843233808046
3,chatgpt,2022q2,,path,,-0.0165627535280453,0.0106773617014822,-0.00294269591328159
3,chatgpt,2022q3,,path,,-0.00648318525566905,0.0180149451460052,0.0057658799451681
3,chatgpt,2022q4,1,SDRM,0,-0.00375939849624074,0.0263157894736841,
3,chatgpt,2022q4,1,original,,-0.00923580883765326,0.0170878650212136,
3,chatgpt,2022q4,1,path,,-0.00923605069393965,0.0170881068775,0.00392602809178019
3,chatgpt,2023q1,2,SDRM,0,-0.018796992481203,0.0413533834586466,
3,chatgpt,2023q1,2,original,,-0.0156727075838381,0.0155201703343898,
3,chatgpt,2023q1,2,path,,-0.0156729941773302,0.0155204569278818,-7.62686247241725e-05
3,chatgpt,2023q2,3,SDRM,0,-0.0263157894736843,0.0563909774436089,
3,chatgpt,2023q2,3,original,,-0.0211475148740148,0.0185904886923557,
3,chatgpt,2023q2,3,path,,-0.021147879978294,0.0185908537966349,-0.00127851309082955
3,chatgpt,2023q3,4,SDRM,0,-0.0338345864661656,0.0714285714285714,
3,chatgpt,2023q3,4,original,,-0.0266075871006482,0.0194870550158994,
3,chatgpt,2023q3,4,path,,-0.0266080106083631,0.0194874785236144,-0.00356026604237438
3,chatgpt,2023q4,5,SDRM,0,-0.0338345864661656,0.0864661654135337,
3,chatgpt,2023q4,5,original,,-0.0305108497536237,0.0270936341111161,
3,chatgpt,2023q4,5,path,,-0.0305113790113033,0.0270941633687958,-0.00170860782125379
3,chatgpt,2024q1,6,SDRM,0,-0.0488721804511278,0.101503759398496,
3,chatgpt,2024q1,6,original,,-0.040745374933485,0.0249086333252512,
3,chatgpt,2024q1,6,path,,-0.0407459781484735,0.0249092365402397,-0.00791837080411689
3,chatgpt,2024q2,7,SDRM,0,-0.0563909774436091,0.12406015037594,
3,chatgpt,2024q2,7,original,,-0.0423698269579625,0.0238260920891509,
3,chatgpt,2024q2,7,path,,-0.0423704351519114,0.0238267002830999,-0.00927186743440576
3,chatgpt,2024q3,8,SDRM,0,-0.0714285714285716,0.139097744360902,
3,chatgpt,2024q3,8,original,,-0.0509247597575056,0.0242328216786523,
3,chatgpt,2024q3,8,path,,-0.0509254502892922,0.0242335122104389,-0.0133459690394267
3,chatgpt,2024q4,9,SDRM,0,-0.0714285714285716,0.154135338345865,
3,chatgpt,2024q4,9,original,,-0.0524408446073588,0.0256876678686914,
3,chatgpt,2024q4,9,path,,-0.0524415624354245,0.0256883856967571,-0.0133765883693337
3,chatgpt,2025q1,10,SDRM,0,-0.0939849624060152,0.161654135338346,
3,chatgpt,2025q1,10,original,,-0.0665927365036803,0.0233234822139058,
3,chatgpt,2025q1,10,path,,-0.0665935626346703,0.0233243083448958,-0.0216346271448872
3,chatgpt,2025q2,11,SDRM,0,-0.101503759398496,0.176691729323308,
3,chatgpt,2025q2,11,original,,-0.072690924305547,0.0227817073150181,
3,chatgpt,2025q2,11,path,,-0.0726918014876706,0.0227825844971416,-0.0249546084952645
3,chatgpt,2025q3,12,SDRM,0,-0.116541353383459,0.191729323308271,
3,chatgpt,2025q3,12,original,,-0.0821070765686758,0.0166215016524493,
3,chatgpt,2025q3,12,path,,-0.0821079836657404,0.016622408749514,-0.0327427874581132
3,chatgpt,2025q4,13,SDRM,0,-0.116541353383459,0.199248120300752,
3,chatgpt,2025q4,13,original,,-0.0851856233385628,0.0153900983932211,
3,chatgpt,2025q4,13,path,,-0.0851865474067871,0.0153910224614454,-0.0348977624726709
3,chatgpt,2026q1,14,SDRM,0,-0.131578947368421,0.221804511278195,
3,chatgpt,2026q1,14,original,,-0.0917167405790307,0.0178795273313816,
3,chatgpt,2026q1,14,path,,-0.0917177475261043,0.0178805342784552,-0.0369186066238246
4,agentic,2023q3,,path,,-0.022217265657932,0.034408254082371,0.0060954942122195
4,agentic,2023q4,,path,,-0.0187482454537952,0.0326145111566277,0.00693313285141623
4,agentic,2024q1,,path,,-0.0172163191630452,0.0242172406058752,0.00350046072141498
4,agentic,2024q2,,path,,-0.0128617942437413,0.0244251355585135,0.00578167065738613
4,agentic,2024q3,,path,,-0.0139587118279643,0.0194373162531269,0.00273930221258132
4,agentic,2024q4,,path,,-0.00465911066107934,0.0170181363451612,0.00617951284204094
4,agentic,2025q1,,path,,-0.00377585605736799,0.00900089690300315,0.00261252042281758
4,agentic,2025q2,1,SDRM,0,-0.00187969924812037,0.0206766917293233,
4,agentic,2025q2,1,SDRM,1,-0.0169172932330828,0.0319548872180451,
4,agentic,2025q2,1,original,,-0.00162580114125887,0.0157898138259803,
4,agentic,2025q2,1,path,,-0.00162596115220505,0.0157899738369265,0.00708200634236073
4,agentic,2025q3,2,SDRM,0,-0.0131578947368421,0.0206766917293233,
4,agentic,2025q3,2,SDRM,1,-0.0733082706766918,0.0657894736842105,
4,agentic,2025q3,2,original,,-0.0115609567415721,0.0104099505701349,
4,agentic,2025q3,2,path,,-0.0115611586055702,0.010410152434133,-0.000575503085718606
4,agentic,2025q4,3,SDRM,0,-0.00939849624060152,0.0244360902255638,
4,agentic,2025q4,3,SDRM,1,-0.133458646616541,0.140977443609023,
4,agentic,2025q4,3,original,,-0.00955646715721568,0.00848447655297855,
4,agentic,2025q4,3,path,,-0.00955663291354863,0.00848464230931151,-0.000535995302118563
4,agentic,2026q1,4,SDRM,0,-0.0244360902255639,0.0394736842105263,
4,agentic,2026q1,4,SDRM,1,-0.231203007518797,0.231203007518797,
4,agentic,2026q1,4,original,,-0.0182191949377833,0.0116473102945677,
4,agentic,2026q1,4,path,,-0.0182194693448468,0.0116475847016311,-0.00328594232160783
4,chatgpt,2021q1,,path,,-0.0242693641680223,0.0465877876676957,0.0111592117498367
4,chatgpt,2021q2,,path,,-0.0200466566879747,0.0450353056216949,0.0124943244668601
4,chatgpt,2021q3,,path,,-0.0225463945429443,0.029009893816678,0.00323174963686683
4,chatgpt,2021q4,,path,,-0.0240146192032499,0.018290941453991,-0.00286183887462949
4,chatgpt,2022q1,,path,,-0.0201248257684643,0.0153485190034405,-0.00238815338251192
4,chatgpt,2022q2,,path,,-0.0170951862663145,0.00598530027592173,-0.00555494299519637
4,chatgpt,2022q3,,path,,-0.00679182361788315,0.0131572705303121,0.00318272345621446
4,chatgpt,2022q4,1,SDRM,0,-0.00375939849624074,0.018796992481203,
4,chatgpt,2022q4,1,original,,-0.00547852992457121,0.014694984159122,
4,chatgpt,2022q4,1,path,,-0.00547871527450472,0.0146951695090555,0.0046082271172754
4,chatgpt,2023q1,2,SDRM,0,-0.011278195488722,0.0338345864661653,
4,chatgpt,2023q1,2,original,,-0.0130785130760969,0.0168212680521058,
4,chatgpt,2023q1,2,path,,-0.0130787877888922,0.016821542764901,0.00187137748800444
4,chatgpt,2023q2,3,SDRM,0,-0.0263157894736843,0.0413533834586466,
4,chatgpt,2023q2,3,original,,-0.0184606211556033,0.0181053360381752,
4,chatgpt,2023q2,3,path,,-0.0184609571157988,0.0181056719983707,-0.000177642558714048
4,chatgpt,2023q3,4,SDRM,0,-0.0338345864661656,0.0639097744360901,
4,chatgpt,2023q3,4,original,,-0.0216066332486268,0.0241913859249626,
4,chatgpt,2023q3,4,path,,-0.0216070540310335,0.0241918067073694,0.00129237633816793
4,chatgpt,2023q4,5,SDRM,0,-0.0338345864661656,0.0714285714285714,
4,chatgpt,2023q4,5,original,,-0.0244127133029712,0.0286727432577005,
4,chatgpt,2023q4,5,path,,-0.0244132010407943,0.0286732309955236,0.00213001497736466
4,chatgpt,2024q1,6,SDRM,0,-0.0413533834586466,0.0789473684210527,
4,chatgpt,2024q1,6,original,,-0.0327830554800789,0.0301777411748057,
4,chatgpt,2024q1,6,path,,-0.0327836339504151,0.0301783196451419,-0.0013026571526366
4,chatgpt,2024q2,7,SDRM,0,-0.0488721804511278,0.093984962406015,
4,chatgpt,2024q2,7,original,,-0.0311684896562546,0.0331255952229237,
4,chatgpt,2024q2,7,path,,-0.0311690803765579,0.033126185943227,0.000978552783334549
4,chatgpt,2024q3,8,SDRM,0,-0.0639097744360904,0.109022556390977,
4,chatgpt,2024q3,8,original,,-0.0380271089551513,0.0338994776322108,
4,chatgpt,2024q3,8,path,,-0.0380277698012481,0.0339001384783076,-0.00206381566147025
4,chatgpt,2024q4,9,SDRM,0,-0.0639097744360904,0.12406015037594,
4,chatgpt,2024q4,9,original,,-0.0373037926257691,0.0400565825617478,
4,chatgpt,2024q4,9,path,,-0.0373045033963537,0.0400572933323324,0.00137639496798936
4,chatgpt,2025q1,10,SDRM,0,-0.0789473684210527,0.131578947368421,
4,chatgpt,2025q1,10,original,,-0.0460881406244379,0.0417069457219699,
4,chatgpt,2025q1,10,path,,-0.0460889472669172,0.0417077523644492,-0.00219059745123399
4,chatgpt,2025q2,11,SDRM,0,-0.0789473684210527,0.154135338345865,
4,chatgpt,2025q2,11,original,,-0.0457317759296683,0.0455682153047128,
4,chatgpt,2025q2,11,path,,-0.0457326147744643,0.0455690541495087,-8.17803124777581e-05
4,chatgpt,2025q3,12,SDRM,0,-0.0939849624060152,0.161654135338346,
4,chatgpt,2025q3,12,original,,-0.0550510790165752,0.0442938370970348,
4,chatgpt,2025q3,12,path,,-0.0550519917764206,0.0442947498568802,-0.00537862095977018
4,chatgpt,2025q4,13,SDRM,0,-0.101503759398496,0.169172932330827,
4,chatgpt,2025q4,13,original,,-0.056027449218764,0.0453492228664237,
4,chatgpt,2025q4,13,path,,-0.0560283806459488,0.0453501542936085,-0.00533911317617014
4,chatgpt,2026q1,14,SDRM,0,-0.109022556390977,0.184210526315789,
4,chatgpt,2026q1,14,original,,-0.0635371656410099,0.0473590452496911,
4,chatgpt,2026q1,14,path,,-0.0635381845316816,0.0473600641403628,-0.00808906019565941
